pass,members,image_id,present,seeded,stratum,driver,exhaustive
Backpack,backpack,655,0,0,random,boat,no
Backpack,backpack,1490,0,0,random,bench,no
Backpack,backpack,1556,0,0,random,car,no
Backpack,backpack,1986,0,0,boundary,cell phone,no
Backpack,backpack,2360,0,0,boundary,stop sign,no
Backpack,backpack,3561,0,0,boundary,chair,no
Backpack,backpack,3801,0,0,random,bench,no
Backpack,backpack,4185,0,0,boundary,stop sign,no
Backpack,backpack,4214,0,0,random,fork,no
Backpack,backpack,61589,0,0,random,kite,no
Backpack,backpack,497980,0,0,random,bench,no
Backpack,backpack,498270,0,0,boundary,boat,no
Backpack,backpack,1159420,0,0,boundary,truck,yes
Backpack,backpack,1159799,0,0,random,bowl,no
Backpack,backpack,1592013,0,0,boundary,bench,yes
Backpack,backpack,1592557,0,0,random,fork,no
Backpack,backpack,1593184,0,0,random,dog,yes
Backpack,backpack,2315792,0,0,boundary,bench,yes
Backpack,backpack,2315796,1,0,random,car,no
Backpack,backpack,2316043,0,0,random,car,yes
Backpack,backpack,2316125,0,0,boundary,kite,no
Backpack,backpack,2316533,0,0,random,kite,yes
Backpack,backpack,2318153,0,0,random,fork,yes
Backpack,backpack,2320159,0,0,random,spoon,yes
Backpack,backpack,2320550,0,0,random,bench,yes
Backpack,backpack,2321487,0,0,random,bird,yes
Backpack,backpack,2322248,0,0,boundary,kite,yes
Backpack,backpack,2322535,0,0,boundary,kite,yes
Backpack,backpack,2322849,0,0,boundary,backpack,no
Backpack,backpack,2323085,0,0,random,kite,yes
Backpack,backpack,2323658,0,0,boundary,dog,no
Backpack,backpack,2323842,0,0,boundary,kite,no
Backpack,backpack,2325332,0,0,boundary,truck,yes
Backpack,backpack,2325379,0,0,boundary,kite,no
Backpack,backpack,2325700,0,0,boundary,kite,yes
Backpack,backpack,2326762,0,0,boundary,sink,no
Backpack,backpack,2327098,0,0,boundary,sink,no
Backpack,backpack,2327398,0,0,boundary,kite,yes
Backpack,backpack,2327535,0,0,random,cup,no
Backpack,backpack,2328476,0,0,random,bench,no
Backpack,backpack,2329296,0,0,boundary,stop sign,yes
Backpack,backpack,2329538,0,0,random,bench,no
Backpack,backpack,2330568,0,0,boundary,bus,yes
Backpack,backpack,2331220,0,0,boundary,kite,no
Backpack,backpack,2332648,0,0,random,sink,no
Backpack,backpack,2333001,0,0,boundary,kite,yes
Backpack,backpack,2334397,0,0,random,bowl,no
Backpack,backpack,2334729,0,0,random,bus,no
Backpack,backpack,2334823,0,0,random,kite,yes
Backpack,backpack,2334934,0,0,boundary,kite,yes
Backpack,backpack,2335019,0,0,random,bench,no
Backpack,backpack,2336335,0,0,random,car,no
Backpack,backpack,2336569,0,0,boundary,stop sign,yes
Backpack,backpack,2336745,0,0,boundary,bus,no
Backpack,backpack,2338255,0,0,boundary,bench,yes
Backpack,backpack,2338452,0,0,random,bird,yes
Backpack,backpack,2339643,0,0,boundary,kite,yes
Backpack,backpack,2340056,0,0,random,knife,yes
Backpack,backpack,2340667,0,0,random,bicycle,no
Backpack,backpack,2341076,0,0,random,bowl,yes
Backpack,backpack,2341258,0,0,random,bench,no
Backpack,backpack,2342757,0,0,random,car,no
Backpack,backpack,2343133,0,0,random,bench,no
Backpack,backpack,2343839,0,0,boundary,stop sign,yes
Backpack,backpack,2346019,0,0,boundary,stop sign,yes
Backpack,backpack,2346929,0,0,boundary,bus,no
Backpack,backpack,2348108,0,0,boundary,stop sign,no
Backpack,backpack,2350334,0,0,boundary,knife,yes
Backpack,backpack,2350610,0,0,boundary,kite,yes
Backpack,backpack,2352095,0,0,random,bus,yes
Backpack,backpack,2352709,0,0,boundary,kite,no
Backpack,backpack,2352911,0,0,random,bowl,no
Backpack,backpack,2353402,0,0,random,bus,no
Backpack,backpack,2353986,0,0,boundary,kite,no
Backpack,backpack,2354790,0,0,boundary,bus,yes
Backpack,backpack,2355650,0,0,boundary,stop sign,no
Backpack,backpack,2355890,0,0,boundary,stop sign,yes
Backpack,backpack,2357470,0,0,random,dog,yes
Backpack,backpack,2357898,0,0,random,bench,no
Backpack,backpack,2358000,0,0,boundary,cell phone,yes
Backpack,backpack,2358239,0,0,random,bird,yes
Backpack,backpack,2358316,0,0,boundary,sink,yes
Backpack,backpack,2358419,0,0,random,bus,no
Backpack,backpack,2359994,0,0,random,bus,no
Backpack,backpack,2360117,0,0,boundary,kite,yes
Backpack,backpack,2360975,0,0,boundary,kite,yes
Backpack,backpack,2361029,0,0,boundary,cell phone,no
Backpack,backpack,2361524,0,0,random,boat,yes
Backpack,backpack,2362065,0,0,boundary,sink,yes
Backpack,backpack,2362762,0,0,boundary,vase,yes
Backpack,backpack,2363160,0,0,random,bird,yes
Backpack,backpack,2363995,0,0,boundary,sink,no
Backpack,backpack,2364216,0,0,random,bus,yes
Backpack,backpack,2364952,0,0,random,bird,yes
Backpack,backpack,2365421,0,0,boundary,cell phone,yes
Backpack,backpack,2366442,0,0,random,bowl,yes
Backpack,backpack,2367117,0,0,boundary,kite,no
Backpack,backpack,2367901,0,0,boundary,stop sign,no
