image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Backpack,boundary,,0.1055,,no,0,Backpack,kite
2393864,Backpack,boundary,,0.1016,absent,yes,0,Backpack,fire hydrant
2392337,Backpack,boundary,,0.101,absent,yes,0,Backpack,sink
2315792,Backpack,boundary,,0.0966,absent,yes,0,Backpack,bench
2360117,Backpack,boundary,,0.0912,absent,yes,0,Backpack,kite
2384924,Backpack,boundary,,0.0906,absent,yes,0,Backpack,truck
2334934,Backpack,boundary,,0.0893,absent,yes,0,Backpack,kite
2322248,Backpack,boundary,,0.0874,absent,yes,0,Backpack,kite
2391377,Backpack,boundary,,0.0874,,no,0,Backpack,kite
2326762,Backpack,boundary,,0.085,,no,0,Backpack,sink
498270,Backpack,boundary,,0.0849,,no,0,Backpack,boat
2400821,Backpack,boundary,,0.0844,absent,yes,0,Backpack,sink
2385504,Backpack,boundary,,0.0834,absent,yes,0,Backpack,kite
2367901,Backpack,boundary,,0.0832,,no,0,Backpack,stop sign
2339643,Backpack,boundary,,0.0827,absent,yes,0,Backpack,kite
2325700,Backpack,boundary,,0.0819,absent,yes,0,Backpack,kite
3561,Backpack,boundary,,0.0818,,no,0,Backpack,chair
2404693,Backpack,boundary,,0.0817,,no,0,Backpack,kite
2395745,Backpack,boundary,,0.0806,,no,0,Backpack,kite
2394130,Backpack,boundary,,0.0803,absent,yes,0,Backpack,kite
2322535,Backpack,boundary,,0.0799,absent,yes,0,Backpack,kite
2352709,Backpack,boundary,,0.0792,,no,0,Backpack,kite
2411912,Backpack,boundary,,0.0786,absent,yes,0,Backpack,stop sign
2346019,Backpack,boundary,,0.0784,absent,yes,0,Backpack,stop sign
2383707,Backpack,boundary,,0.077,,no,0,Backpack,kite
2365421,Backpack,boundary,,0.0766,absent,yes,0,Backpack,cell phone
2325332,Backpack,boundary,,0.0766,absent,yes,0,Backpack,truck
2331220,Backpack,boundary,,0.0759,,no,0,Backpack,kite
2361029,Backpack,boundary,,0.0758,,no,0,Backpack,cell phone
2376806,Backpack,boundary,,0.0755,absent,yes,0,Backpack,stop sign
2402410,Backpack,boundary,,0.0753,,no,0,Backpack,stop sign
2379075,Backpack,boundary,,0.0751,,no,0,Backpack,dog
2374487,Backpack,boundary,,0.0749,absent,yes,0,Backpack,stop sign
2350610,Backpack,boundary,,0.0745,absent,yes,0,Backpack,kite
2392128,Backpack,boundary,,0.0745,absent,yes,0,Backpack,stop sign
2333001,Backpack,boundary,,0.0739,absent,yes,0,Backpack,kite
1159420,Backpack,boundary,,0.0735,absent,yes,0,Backpack,truck
2392264,Backpack,boundary,,0.0734,,no,0,Backpack,stop sign
2358316,Backpack,boundary,,0.0732,absent,yes,0,Backpack,sink
2393671,Backpack,boundary,,0.073,absent,yes,0,Backpack,dog
2323658,Backpack,boundary,,0.0729,,no,0,Backpack,dog
2407548,Backpack,boundary,,0.0729,,no,0,Backpack,bus
2407502,Backpack,boundary,,0.0728,absent,yes,0,Backpack,spoon
2367117,Backpack,boundary,,0.0723,,no,0,Backpack,kite
2327398,Backpack,boundary,,0.0721,absent,yes,0,Backpack,kite
2350334,Backpack,boundary,,0.0718,absent,yes,0,Backpack,knife
2369018,Backpack,boundary,,0.0714,,no,0,Backpack,kite
2399091,Backpack,boundary,,0.0711,,no,0,Backpack,sink
2358000,Backpack,boundary,,0.0706,absent,yes,0,Backpack,cell phone
2336745,Backpack,boundary,,0.0704,,no,0,Backpack,bus
2413072,Backpack,boundary,,0.0701,,no,0,Backpack,stop sign
2391765,Backpack,boundary,,0.0697,absent,yes,0,Backpack,chair
2330568,Backpack,boundary,,0.0697,absent,yes,0,Backpack,bus
2410628,Backpack,boundary,,0.0695,,no,0,Backpack,dog
2348108,Backpack,boundary,,0.0692,,no,0,Backpack,stop sign
2354790,Backpack,boundary,,0.0692,absent,yes,0,Backpack,bus
2394898,Backpack,boundary,,0.0685,,no,0,Backpack,dog
2416246,Backpack,boundary,,0.0685,absent,yes,0,Backpack,stop sign
2316125,Backpack,boundary,,0.0684,,no,0,Backpack,kite
2327098,Backpack,boundary,,0.0683,,no,0,Backpack,sink
2362065,Backpack,boundary,,0.0679,absent,yes,0,Backpack,sink
2336569,Backpack,boundary,,0.0676,absent,yes,0,Backpack,stop sign
2413495,Backpack,boundary,,0.0673,absent,yes,0,Backpack,stop sign
2338255,Backpack,boundary,,0.0673,absent,yes,0,Backpack,bench
2362762,Backpack,boundary,,0.067,absent,yes,0,Backpack,vase
2322849,Backpack,boundary,,0.0669,,no,0,Backpack,backpack
2392420,Backpack,boundary,,0.0667,absent,yes,0,Backpack,vase
2329296,Backpack,boundary,,0.0665,absent,yes,0,Backpack,stop sign
2416700,Backpack,boundary,,0.0664,absent,yes,0,Backpack,cell phone
2417852,Backpack,boundary,,0.0664,,no,0,Backpack,boat
4185,Backpack,boundary,,0.0662,,no,0,Backpack,stop sign
2325379,Backpack,boundary,,0.0661,,no,0,Backpack,kite
2368073,Backpack,boundary,,0.0661,,no,0,Backpack,stop sign
2355890,Backpack,boundary,,0.066,absent,yes,0,Backpack,stop sign
1592013,Backpack,boundary,,0.0657,absent,yes,0,Backpack,bench
2417678,Backpack,boundary,,0.0657,,no,0,Backpack,kite
2360975,Backpack,boundary,,0.0656,absent,yes,0,Backpack,kite
2407927,Backpack,boundary,,0.0656,,no,0,Backpack,bowl
2355650,Backpack,boundary,,0.0656,,no,0,Backpack,stop sign
2415598,Backpack,boundary,,0.0652,,no,0,Backpack,sink
2393732,Backpack,boundary,,0.0648,,no,0,Backpack,stop sign
2398807,Backpack,boundary,,0.0647,,no,0,Backpack,stop sign
2360,Backpack,boundary,,0.0646,,no,0,Backpack,stop sign
2400101,Backpack,boundary,,0.0644,,no,0,Backpack,kite
2380685,Backpack,boundary,,0.0641,,no,0,Backpack,sink
1986,Backpack,boundary,,0.0639,,no,0,Backpack,cell phone
2353986,Backpack,boundary,,0.0638,,no,0,Backpack,kite
2388314,Backpack,boundary,,0.0637,absent,yes,0,Backpack,bench
2383506,Backpack,boundary,,0.0634,absent,yes,0,Backpack,sink
2379050,Backpack,boundary,,0.0632,absent,yes,0,Backpack,dog
2323842,Backpack,boundary,,0.0627,,no,0,Backpack,kite
2372457,Backpack,boundary,,0.0624,,no,0,Backpack,spoon
2363995,Backpack,boundary,,0.062,,no,0,Backpack,sink
2346929,Backpack,boundary,,0.0619,,no,0,Backpack,bus
2343839,Backpack,boundary,,0.0618,absent,yes,0,Backpack,stop sign
2417271,Backpack,boundary,,0.0617,absent,yes,0,Backpack,cell phone
2399554,Backpack,boundary,,0.0616,,no,0,Backpack,sink
2393952,Backpack,boundary,,0.0616,,no,0,Backpack,sink
2398287,Backpack,boundary,,0.0614,absent,yes,0,Backpack,bowl
2380089,Backpack,boundary,,0.0613,absent,yes,0,Backpack,kite
2379377,Backpack,random,,0.006,,no,0,Backpack,bird
2389518,Backpack,random,,0.0262,,no,0,Backpack,boat
2387690,Backpack,random,,0.0414,absent,yes,0,Backpack,bus
2341258,Backpack,random,,0.0075,,no,0,Backpack,bench
2343133,Backpack,random,,0.0122,,no,0,Backpack,bench
2410471,Backpack,random,,0.0238,,no,0,Backpack,bird
