image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Bench,boundary,,0.1055,,no,0,Bench,kite
2393864,Bench,boundary,,0.1016,absent,yes,0,Bench,fire hydrant
2392337,Bench,boundary,,0.101,absent,yes,0,Bench,sink
2315792,Bench,boundary,,0.0966,present,yes,0,Bench,bench
2360117,Bench,boundary,,0.0912,absent,yes,0,Bench,kite
2384924,Bench,boundary,,0.0906,absent,yes,0,Bench,truck
2334934,Bench,boundary,,0.0893,absent,yes,0,Bench,kite
2322248,Bench,boundary,,0.0874,absent,yes,0,Bench,kite
2391377,Bench,boundary,,0.0874,,no,0,Bench,kite
2326762,Bench,boundary,,0.085,,no,0,Bench,sink
498270,Bench,boundary,,0.0849,,no,0,Bench,boat
2400821,Bench,boundary,,0.0844,absent,yes,0,Bench,sink
2385504,Bench,boundary,,0.0834,absent,yes,0,Bench,kite
2367901,Bench,boundary,,0.0832,,no,0,Bench,stop sign
2339643,Bench,boundary,,0.0827,absent,yes,0,Bench,kite
2325700,Bench,boundary,,0.0819,absent,yes,0,Bench,kite
3561,Bench,boundary,,0.0818,,no,0,Bench,chair
2404693,Bench,boundary,,0.0817,,no,0,Bench,kite
2395745,Bench,boundary,,0.0806,,no,0,Bench,kite
2394130,Bench,boundary,,0.0803,absent,yes,0,Bench,kite
2322535,Bench,boundary,,0.0799,absent,yes,0,Bench,kite
2352709,Bench,boundary,,0.0792,,no,0,Bench,kite
2411912,Bench,boundary,,0.0786,absent,yes,0,Bench,stop sign
2346019,Bench,boundary,,0.0784,absent,yes,0,Bench,stop sign
2383707,Bench,boundary,,0.077,,no,0,Bench,kite
2365421,Bench,boundary,,0.0766,absent,yes,0,Bench,cell phone
2325332,Bench,boundary,,0.0766,absent,yes,0,Bench,truck
2331220,Bench,boundary,,0.0759,,no,0,Bench,kite
2361029,Bench,boundary,,0.0758,,no,0,Bench,cell phone
2376806,Bench,boundary,,0.0755,absent,yes,0,Bench,stop sign
2402410,Bench,boundary,,0.0753,,no,0,Bench,stop sign
2379075,Bench,boundary,,0.0751,,no,0,Bench,dog
2374487,Bench,boundary,,0.0749,absent,yes,0,Bench,stop sign
2350610,Bench,boundary,,0.0745,absent,yes,0,Bench,kite
2392128,Bench,boundary,,0.0745,absent,yes,0,Bench,stop sign
2333001,Bench,boundary,,0.0739,absent,yes,0,Bench,kite
1159420,Bench,boundary,,0.0735,absent,yes,0,Bench,truck
2392264,Bench,boundary,,0.0734,,no,0,Bench,stop sign
2358316,Bench,boundary,,0.0732,absent,yes,0,Bench,sink
2393671,Bench,boundary,,0.073,absent,yes,0,Bench,dog
2323658,Bench,boundary,,0.0729,,no,0,Bench,dog
2407548,Bench,boundary,,0.0729,,no,0,Bench,bus
2407502,Bench,boundary,,0.0728,absent,yes,0,Bench,spoon
2367117,Bench,boundary,,0.0723,,no,0,Bench,kite
2327398,Bench,boundary,,0.0721,absent,yes,0,Bench,kite
2350334,Bench,boundary,,0.0718,absent,yes,0,Bench,knife
2369018,Bench,boundary,,0.0714,,no,0,Bench,kite
2399091,Bench,boundary,,0.0711,,no,0,Bench,sink
2358000,Bench,boundary,,0.0706,absent,yes,0,Bench,cell phone
2336745,Bench,boundary,,0.0704,,no,0,Bench,bus
2413072,Bench,boundary,,0.0701,,no,0,Bench,stop sign
2391765,Bench,boundary,,0.0697,absent,yes,0,Bench,chair
2330568,Bench,boundary,,0.0697,absent,yes,0,Bench,bus
2410628,Bench,boundary,,0.0695,,no,0,Bench,dog
2348108,Bench,boundary,,0.0692,,no,0,Bench,stop sign
2354790,Bench,boundary,,0.0692,absent,yes,0,Bench,bus
2394898,Bench,boundary,,0.0685,,no,0,Bench,dog
2416246,Bench,boundary,,0.0685,absent,yes,0,Bench,stop sign
2316125,Bench,boundary,,0.0684,,no,0,Bench,kite
2327098,Bench,boundary,,0.0683,,no,0,Bench,sink
2362065,Bench,boundary,,0.0679,absent,yes,0,Bench,sink
2336569,Bench,boundary,,0.0676,absent,yes,0,Bench,stop sign
2413495,Bench,boundary,,0.0673,absent,yes,0,Bench,stop sign
2338255,Bench,boundary,,0.0673,present,yes,0,Bench,bench
2362762,Bench,boundary,,0.067,absent,yes,0,Bench,vase
2322849,Bench,boundary,,0.0669,,no,0,Bench,backpack
2392420,Bench,boundary,,0.0667,absent,yes,0,Bench,vase
2329296,Bench,boundary,,0.0665,absent,yes,0,Bench,stop sign
2416700,Bench,boundary,,0.0664,absent,yes,0,Bench,cell phone
2417852,Bench,boundary,,0.0664,,no,0,Bench,boat
4185,Bench,boundary,,0.0662,,no,0,Bench,stop sign
2325379,Bench,boundary,,0.0661,,no,0,Bench,kite
2368073,Bench,boundary,,0.0661,,no,0,Bench,stop sign
2355890,Bench,boundary,,0.066,absent,yes,0,Bench,stop sign
1592013,Bench,boundary,,0.0657,absent,yes,0,Bench,bench
2417678,Bench,boundary,,0.0657,,no,0,Bench,kite
2360975,Bench,boundary,,0.0656,absent,yes,0,Bench,kite
2407927,Bench,boundary,,0.0656,,no,0,Bench,bowl
2355650,Bench,boundary,,0.0656,,no,0,Bench,stop sign
2415598,Bench,boundary,,0.0652,,no,0,Bench,sink
2393732,Bench,boundary,,0.0648,,no,0,Bench,stop sign
2398807,Bench,boundary,,0.0647,,no,0,Bench,stop sign
2360,Bench,boundary,,0.0646,,no,0,Bench,stop sign
2400101,Bench,boundary,,0.0644,,no,0,Bench,kite
2380685,Bench,boundary,,0.0641,,no,0,Bench,sink
1986,Bench,boundary,,0.0639,,no,0,Bench,cell phone
2353986,Bench,boundary,,0.0638,,no,0,Bench,kite
2388314,Bench,boundary,,0.0637,present,yes,0,Bench,bench
2383506,Bench,boundary,,0.0634,absent,yes,0,Bench,sink
2379050,Bench,boundary,,0.0632,absent,yes,0,Bench,dog
2323842,Bench,boundary,,0.0627,,no,0,Bench,kite
2372457,Bench,boundary,,0.0624,,no,0,Bench,spoon
2363995,Bench,boundary,,0.062,,no,0,Bench,sink
2346929,Bench,boundary,,0.0619,,no,0,Bench,bus
2343839,Bench,boundary,,0.0618,absent,yes,0,Bench,stop sign
2417271,Bench,boundary,,0.0617,absent,yes,0,Bench,cell phone
2399554,Bench,boundary,,0.0616,,no,0,Bench,sink
2393952,Bench,boundary,,0.0616,,no,0,Bench,sink
2398287,Bench,boundary,,0.0614,absent,yes,0,Bench,bowl
2380089,Bench,boundary,,0.0613,absent,yes,0,Bench,kite
2379377,Bench,random,,0.006,,no,0,Bench,bird
2389518,Bench,random,,0.0262,,no,0,Bench,boat
2387690,Bench,random,,0.0414,absent,yes,0,Bench,bus
2341258,Bench,random,,0.0075,,no,0,Bench,bench
2343133,Bench,random,,0.0122,,no,0,Bench,bench
2410471,Bench,random,,0.0238,,no,0,Bench,bird
2338452,Bench,random,,0.0149,absent,yes,0,Bench,bird
2399496,Bench,random,,0.0389,,no,0,Bench,kite
655,Bench,random,,0.0285,,no,0,Bench,boat
2406950,Bench,random,,0.0483,,no,0,Bench,bowl
2416176,Bench,random,,0.0246,,no,0,Bench,bus
2379431,Bench,random,,0.0299,absent,yes,0,Bench,bus
2386624,Bench,random,,0.0363,absent,yes,0,Bench,dog
2376171,Bench,random,,0.0455,,no,0,Bench,bicycle
2342757,Bench,random,,0.0091,,no,0,Bench,car
2370802,Bench,random,,0.0289,absent,yes,0,Bench,stop sign
2379036,Bench,random,,0.0487,,no,0,Bench,kite
2372245,Bench,random,,0.0584,,no,0,Bench,stop sign
1556,Bench,random,,0.0293,,no,0,Bench,car
2328476,Bench,random,,0.0054,,no,0,Bench,bench
2379254,Bench,random,,0.0072,absent,yes,0,Bench,dog
2334823,Bench,random,,0.0328,absent,yes,0,Bench,kite
2413407,Bench,random,,0.0297,,no,0,Bench,spoon
1490,Bench,random,,0.0228,,no,0,Bench,bench
2368814,Bench,random,,0.0076,,no,0,Bench,bird
2408671,Bench,random,,0.048,absent,yes,0,Bench,bowl
2381000,Bench,random,,0.0398,absent,yes,0,Bench,cup
2410237,Bench,random,,0.0191,absent,yes,0,Bench,fork
2395379,Bench,random,,0.0472,,no,0,Bench,sink
2375949,Bench,random,,0.0249,,no,0,Bench,cup
2415129,Bench,random,,0.0367,absent,yes,0,Bench,kite
2399434,Bench,random,,0.0178,,no,0,Bench,bowl
2382828,Bench,random,,0.0059,present,yes,0,Bench,dog
2364216,Bench,random,,0.0505,absent,yes,0,Bench,bus
2416508,Bench,random,,0.0089,,no,0,Bench,bird
2323085,Bench,random,,0.0491,absent,yes,0,Bench,kite
2334729,Bench,random,,0.0472,,no,0,Bench,bus
2411277,Bench,random,,0.0112,,no,0,Bench,bowl
2392094,Bench,random,,0.0195,absent,yes,0,Bench,truck
2386347,Bench,random,,0.039,present,yes,0,Bench,bowl
2340056,Bench,random,,0.0461,absent,yes,0,Bench,knife
2392807,Bench,random,,0.0315,absent,yes,0,Bench,bus
2382264,Bench,random,,0.0122,,no,0,Bench,dog
2398852,Bench,random,,0.0303,,no,0,Bench,knife
2336335,Bench,random,,0.0054,,no,0,Bench,car
2357898,Bench,random,,0.0097,,no,0,Bench,bench
2384185,Bench,random,,0.0402,,no,0,Bench,backpack
2352095,Bench,random,,0.0262,absent,yes,0,Bench,bus
2385477,Bench,random,,0.0176,,no,0,Bench,kite
2332648,Bench,random,,0.0099,,no,0,Bench,sink
2368984,Bench,random,,0.0302,,no,0,Bench,bus
2370144,Bench,random,,0.0122,,no,0,Bench,bowl
2358419,Bench,random,,0.0443,,no,0,Bench,bus
3801,Bench,random,,0.0487,,no,0,Bench,bench
2315796,Bench,random,,0.0284,,no,0,Bench,car
2370271,Bench,random,,0.0186,absent,yes,0,Bench,bird
2393325,Bench,random,,0.01,absent,yes,0,Bench,cup
2388486,Bench,random,,0.0236,absent,yes,0,Bench,bowl
1592557,Bench,random,,0.0233,,no,0,Bench,fork
497980,Bench,random,,0.0123,,no,0,Bench,bench
2403285,Bench,random,,0.019,absent,yes,0,Bench,kite
2411445,Bench,random,,0.0491,,no,0,Bench,bicycle
2402404,Bench,random,,0.032,,no,0,Bench,umbrella
2341076,Bench,random,,0.0401,absent,yes,0,Bench,bowl
2392734,Bench,random,,0.0268,absent,yes,0,Bench,kite
2320550,Bench,random,,0.0117,absent,yes,0,Bench,bench
2318153,Bench,random,,0.0302,absent,yes,0,Bench,fork
2358239,Bench,random,,0.0114,absent,yes,0,Bench,bird
2373243,Bench,random,,0.013,,no,0,Bench,bird
2392277,Bench,random,,0.0255,,no,0,Bench,bowl
4214,Bench,random,,0.0134,,no,0,Bench,fork
2352911,Bench,random,,0.0331,,no,0,Bench,bowl
2329538,Bench,random,,0.0147,,no,0,Bench,bench
2409231,Bench,random,,0.017,,no,0,Bench,bowl
2321487,Bench,random,,0.0043,absent,yes,0,Bench,bird
2386652,Bench,random,,0.014,absent,yes,0,Bench,bird
2316043,Bench,random,,0.0192,absent,yes,0,Bench,car
2340667,Bench,random,,0.02,,no,0,Bench,bicycle
2353402,Bench,random,,0.0515,,no,0,Bench,bus
1593184,Bench,random,,0.0417,absent,yes,0,Bench,dog
2392480,Bench,random,,0.0531,,no,0,Bench,bowl
2361524,Bench,random,,0.0098,absent,yes,0,Bench,boat
2334397,Bench,random,,0.007,,no,0,Bench,bowl
2320159,Bench,random,,0.0198,absent,yes,0,Bench,spoon
2359994,Bench,random,,0.02,,no,0,Bench,bus
2366442,Bench,random,,0.0404,absent,yes,0,Bench,bowl
2380376,Bench,random,,0.0097,,no,0,Bench,car
2416293,Bench,random,,0.0191,absent,yes,0,Bench,kite
2335019,Bench,random,,0.0156,,no,0,Bench,bench
2374137,Bench,random,,0.0087,,no,0,Bench,dog
2316533,Bench,random,,0.025,absent,yes,0,Bench,kite
2372204,Bench,random,,0.0081,,no,0,Bench,bowl
2364952,Bench,random,,0.0186,absent,yes,0,Bench,bird
2327535,Bench,random,,0.0311,,no,0,Bench,cup
1159799,Bench,random,,0.0239,,no,0,Bench,bowl
61589,Bench,random,,0.0178,,no,0,Bench,kite
2396098,Bench,random,,0.0475,present,yes,0,Bench,bench
2363160,Bench,random,,0.0104,absent,yes,0,Bench,bird
2357470,Bench,random,,0.0348,absent,yes,0,Bench,dog
2410026,Bench,random,,0.0285,,no,0,Bench,kite
