image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Book,boundary,,0.1055,,no,0,Book,kite
2393864,Book,boundary,,0.1016,absent,yes,0,Book,fire hydrant
2392337,Book,boundary,,0.101,absent,yes,0,Book,sink
2315792,Book,boundary,,0.0966,absent,yes,0,Book,bench
2360117,Book,boundary,,0.0912,absent,yes,0,Book,kite
2384924,Book,boundary,,0.0906,absent,yes,0,Book,truck
2334934,Book,boundary,,0.0893,absent,yes,0,Book,kite
2322248,Book,boundary,,0.0874,absent,yes,0,Book,kite
2391377,Book,boundary,,0.0874,,no,0,Book,kite
2326762,Book,boundary,,0.085,,no,0,Book,sink
498270,Book,boundary,,0.0849,,no,0,Book,boat
2400821,Book,boundary,,0.0844,absent,yes,0,Book,sink
2385504,Book,boundary,,0.0834,absent,yes,0,Book,kite
2367901,Book,boundary,,0.0832,,no,0,Book,stop sign
2339643,Book,boundary,,0.0827,absent,yes,0,Book,kite
2325700,Book,boundary,,0.0819,absent,yes,0,Book,kite
3561,Book,boundary,,0.0818,,no,0,Book,chair
2404693,Book,boundary,,0.0817,,no,0,Book,kite
2395745,Book,boundary,,0.0806,,no,0,Book,kite
2394130,Book,boundary,,0.0803,absent,yes,0,Book,kite
2322535,Book,boundary,,0.0799,absent,yes,0,Book,kite
2352709,Book,boundary,,0.0792,,no,0,Book,kite
2411912,Book,boundary,,0.0786,absent,yes,0,Book,stop sign
2346019,Book,boundary,,0.0784,absent,yes,0,Book,stop sign
2383707,Book,boundary,,0.077,,no,0,Book,kite
2365421,Book,boundary,,0.0766,absent,yes,0,Book,cell phone
2325332,Book,boundary,,0.0766,absent,yes,0,Book,truck
2331220,Book,boundary,,0.0759,,no,0,Book,kite
2361029,Book,boundary,,0.0758,,no,0,Book,cell phone
2376806,Book,boundary,,0.0755,absent,yes,0,Book,stop sign
2402410,Book,boundary,,0.0753,,no,0,Book,stop sign
2379075,Book,boundary,,0.0751,,no,0,Book,dog
2374487,Book,boundary,,0.0749,absent,yes,0,Book,stop sign
2350610,Book,boundary,,0.0745,absent,yes,0,Book,kite
2392128,Book,boundary,,0.0745,absent,yes,0,Book,stop sign
2333001,Book,boundary,,0.0739,absent,yes,0,Book,kite
1159420,Book,boundary,,0.0735,absent,yes,0,Book,truck
2392264,Book,boundary,,0.0734,,no,0,Book,stop sign
2358316,Book,boundary,,0.0732,absent,yes,0,Book,sink
2393671,Book,boundary,,0.073,absent,yes,0,Book,dog
2323658,Book,boundary,,0.0729,,no,0,Book,dog
2407548,Book,boundary,,0.0729,,no,0,Book,bus
2407502,Book,boundary,,0.0728,absent,yes,0,Book,spoon
2367117,Book,boundary,,0.0723,,no,0,Book,kite
2327398,Book,boundary,,0.0721,absent,yes,0,Book,kite
2350334,Book,boundary,,0.0718,absent,yes,0,Book,knife
2369018,Book,boundary,,0.0714,,no,0,Book,kite
2399091,Book,boundary,,0.0711,,no,0,Book,sink
2358000,Book,boundary,,0.0706,absent,yes,0,Book,cell phone
2336745,Book,boundary,,0.0704,,no,0,Book,bus
2413072,Book,boundary,,0.0701,,no,0,Book,stop sign
2391765,Book,boundary,,0.0697,absent,yes,0,Book,chair
2330568,Book,boundary,,0.0697,absent,yes,0,Book,bus
2410628,Book,boundary,,0.0695,,no,0,Book,dog
2348108,Book,boundary,,0.0692,,no,0,Book,stop sign
2354790,Book,boundary,,0.0692,absent,yes,0,Book,bus
2394898,Book,boundary,,0.0685,,no,0,Book,dog
2416246,Book,boundary,,0.0685,absent,yes,0,Book,stop sign
2316125,Book,boundary,,0.0684,,no,0,Book,kite
2327098,Book,boundary,,0.0683,,no,0,Book,sink
2362065,Book,boundary,,0.0679,absent,yes,0,Book,sink
2336569,Book,boundary,,0.0676,absent,yes,0,Book,stop sign
2413495,Book,boundary,,0.0673,absent,yes,0,Book,stop sign
2338255,Book,boundary,,0.0673,absent,yes,0,Book,bench
2362762,Book,boundary,,0.067,absent,yes,0,Book,vase
2322849,Book,boundary,,0.0669,,no,0,Book,backpack
2392420,Book,boundary,,0.0667,absent,yes,0,Book,vase
2329296,Book,boundary,,0.0665,absent,yes,0,Book,stop sign
2416700,Book,boundary,,0.0664,absent,yes,0,Book,cell phone
2417852,Book,boundary,,0.0664,,no,0,Book,boat
4185,Book,boundary,,0.0662,,no,0,Book,stop sign
2325379,Book,boundary,,0.0661,,no,0,Book,kite
2368073,Book,boundary,,0.0661,,no,0,Book,stop sign
2355890,Book,boundary,,0.066,absent,yes,0,Book,stop sign
1592013,Book,boundary,,0.0657,absent,yes,0,Book,bench
2417678,Book,boundary,,0.0657,,no,0,Book,kite
2360975,Book,boundary,,0.0656,absent,yes,0,Book,kite
2407927,Book,boundary,,0.0656,,no,0,Book,bowl
2355650,Book,boundary,,0.0656,,no,0,Book,stop sign
2415598,Book,boundary,,0.0652,,no,0,Book,sink
2393732,Book,boundary,,0.0648,,no,0,Book,stop sign
2398807,Book,boundary,,0.0647,,no,0,Book,stop sign
2360,Book,boundary,,0.0646,,no,0,Book,stop sign
2400101,Book,boundary,,0.0644,,no,0,Book,kite
2380685,Book,boundary,,0.0641,,no,0,Book,sink
1986,Book,boundary,,0.0639,,no,0,Book,cell phone
2353986,Book,boundary,,0.0638,,no,0,Book,kite
2388314,Book,boundary,,0.0637,absent,yes,0,Book,bench
2383506,Book,boundary,,0.0634,absent,yes,0,Book,sink
2379050,Book,boundary,,0.0632,absent,yes,0,Book,dog
2323842,Book,boundary,,0.0627,,no,0,Book,kite
2372457,Book,boundary,,0.0624,,no,0,Book,spoon
2363995,Book,boundary,,0.062,,no,0,Book,sink
2346929,Book,boundary,,0.0619,,no,0,Book,bus
2343839,Book,boundary,,0.0618,absent,yes,0,Book,stop sign
2417271,Book,boundary,,0.0617,absent,yes,0,Book,cell phone
2399554,Book,boundary,,0.0616,,no,0,Book,sink
2393952,Book,boundary,,0.0616,,no,0,Book,sink
2398287,Book,boundary,,0.0614,absent,yes,0,Book,bowl
2380089,Book,boundary,,0.0613,absent,yes,0,Book,kite
2379377,Book,random,,0.006,,no,0,Book,bird
2389518,Book,random,,0.0262,,no,0,Book,boat
2387690,Book,random,,0.0414,absent,yes,0,Book,bus
2341258,Book,random,,0.0075,,no,0,Book,bench
2343133,Book,random,,0.0122,,no,0,Book,bench
2410471,Book,random,,0.0238,,no,0,Book,bird
2338452,Book,random,,0.0149,absent,yes,0,Book,bird
2399496,Book,random,,0.0389,,no,0,Book,kite
655,Book,random,,0.0285,,no,0,Book,boat
2406950,Book,random,,0.0483,,no,0,Book,bowl
2416176,Book,random,,0.0246,,no,0,Book,bus
2379431,Book,random,,0.0299,absent,yes,0,Book,bus
2386624,Book,random,,0.0363,absent,yes,0,Book,dog
2376171,Book,random,,0.0455,,no,0,Book,bicycle
2342757,Book,random,,0.0091,,no,0,Book,car
2370802,Book,random,,0.0289,absent,yes,0,Book,stop sign
2379036,Book,random,,0.0487,,no,0,Book,kite
2372245,Book,random,,0.0584,,no,0,Book,stop sign
1556,Book,random,,0.0293,,no,0,Book,car
2328476,Book,random,,0.0054,,no,0,Book,bench
2379254,Book,random,,0.0072,absent,yes,0,Book,dog
2334823,Book,random,,0.0328,absent,yes,0,Book,kite
2413407,Book,random,,0.0297,,no,0,Book,spoon
1490,Book,random,,0.0228,,no,0,Book,bench
2368814,Book,random,,0.0076,,no,0,Book,bird
2408671,Book,random,,0.048,absent,yes,0,Book,bowl
2381000,Book,random,,0.0398,absent,yes,0,Book,cup
2410237,Book,random,,0.0191,absent,yes,0,Book,fork
2395379,Book,random,,0.0472,,no,0,Book,sink
2375949,Book,random,,0.0249,,no,0,Book,cup
2415129,Book,random,,0.0367,absent,yes,0,Book,kite
2399434,Book,random,,0.0178,,no,0,Book,bowl
2382828,Book,random,,0.0059,absent,yes,0,Book,dog
2364216,Book,random,,0.0505,absent,yes,0,Book,bus
2416508,Book,random,,0.0089,,no,0,Book,bird
2323085,Book,random,,0.0491,absent,yes,0,Book,kite
2334729,Book,random,,0.0472,,no,0,Book,bus
2411277,Book,random,,0.0112,,no,0,Book,bowl
2392094,Book,random,,0.0195,absent,yes,0,Book,truck
2386347,Book,random,,0.039,absent,yes,0,Book,bowl
2340056,Book,random,,0.0461,absent,yes,0,Book,knife
