image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Cell Phone,boundary,,0.1055,,no,0,Cell Phone,kite
2393864,Cell Phone,boundary,,0.1016,present,yes,0,Cell Phone,fire hydrant
2392337,Cell Phone,boundary,,0.101,absent,yes,0,Cell Phone,sink
2315792,Cell Phone,boundary,,0.0966,absent,yes,0,Cell Phone,bench
2360117,Cell Phone,boundary,,0.0912,absent,yes,0,Cell Phone,kite
2384924,Cell Phone,boundary,,0.0906,absent,yes,0,Cell Phone,truck
2334934,Cell Phone,boundary,,0.0893,absent,yes,0,Cell Phone,kite
2322248,Cell Phone,boundary,,0.0874,absent,yes,0,Cell Phone,kite
2391377,Cell Phone,boundary,,0.0874,,no,0,Cell Phone,kite
2326762,Cell Phone,boundary,,0.085,,no,0,Cell Phone,sink
498270,Cell Phone,boundary,,0.0849,,no,0,Cell Phone,boat
2400821,Cell Phone,boundary,,0.0844,absent,yes,0,Cell Phone,sink
2385504,Cell Phone,boundary,,0.0834,absent,yes,0,Cell Phone,kite
2367901,Cell Phone,boundary,,0.0832,,no,0,Cell Phone,stop sign
2339643,Cell Phone,boundary,,0.0827,absent,yes,0,Cell Phone,kite
2325700,Cell Phone,boundary,,0.0819,absent,yes,0,Cell Phone,kite
3561,Cell Phone,boundary,,0.0818,,no,0,Cell Phone,chair
2404693,Cell Phone,boundary,,0.0817,,no,0,Cell Phone,kite
2395745,Cell Phone,boundary,,0.0806,,no,0,Cell Phone,kite
2394130,Cell Phone,boundary,,0.0803,absent,yes,0,Cell Phone,kite
2322535,Cell Phone,boundary,,0.0799,absent,yes,0,Cell Phone,kite
2352709,Cell Phone,boundary,,0.0792,,no,0,Cell Phone,kite
2411912,Cell Phone,boundary,,0.0786,absent,yes,0,Cell Phone,stop sign
2346019,Cell Phone,boundary,,0.0784,absent,yes,0,Cell Phone,stop sign
2383707,Cell Phone,boundary,,0.077,,no,0,Cell Phone,kite
2365421,Cell Phone,boundary,,0.0766,absent,yes,0,Cell Phone,cell phone
2325332,Cell Phone,boundary,,0.0766,absent,yes,0,Cell Phone,truck
2331220,Cell Phone,boundary,,0.0759,,no,0,Cell Phone,kite
2361029,Cell Phone,boundary,,0.0758,,no,0,Cell Phone,cell phone
2376806,Cell Phone,boundary,,0.0755,absent,yes,0,Cell Phone,stop sign
2402410,Cell Phone,boundary,,0.0753,,no,0,Cell Phone,stop sign
2379075,Cell Phone,boundary,,0.0751,,no,0,Cell Phone,dog
2374487,Cell Phone,boundary,,0.0749,absent,yes,0,Cell Phone,stop sign
2350610,Cell Phone,boundary,,0.0745,absent,yes,0,Cell Phone,kite
2392128,Cell Phone,boundary,,0.0745,absent,yes,0,Cell Phone,stop sign
2333001,Cell Phone,boundary,,0.0739,absent,yes,0,Cell Phone,kite
1159420,Cell Phone,boundary,,0.0735,absent,yes,0,Cell Phone,truck
2392264,Cell Phone,boundary,,0.0734,,no,0,Cell Phone,stop sign
