image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Clock,boundary,,0.1055,,no,0,Clock,kite
2393864,Clock,boundary,,0.1016,absent,yes,0,Clock,fire hydrant
2392337,Clock,boundary,,0.101,absent,yes,0,Clock,sink
2315792,Clock,boundary,,0.0966,absent,yes,0,Clock,bench
2360117,Clock,boundary,,0.0912,absent,yes,0,Clock,kite
2384924,Clock,boundary,,0.0906,absent,yes,0,Clock,truck
2334934,Clock,boundary,,0.0893,absent,yes,0,Clock,kite
2322248,Clock,boundary,,0.0874,absent,yes,0,Clock,kite
2391377,Clock,boundary,,0.0874,,no,0,Clock,kite
2326762,Clock,boundary,,0.085,,no,0,Clock,sink
498270,Clock,boundary,,0.0849,,no,0,Clock,boat
2400821,Clock,boundary,,0.0844,absent,yes,0,Clock,sink
2385504,Clock,boundary,,0.0834,absent,yes,0,Clock,kite
2367901,Clock,boundary,,0.0832,,no,0,Clock,stop sign
2339643,Clock,boundary,,0.0827,absent,yes,0,Clock,kite
2325700,Clock,boundary,,0.0819,absent,yes,0,Clock,kite
3561,Clock,boundary,,0.0818,,no,0,Clock,chair
2404693,Clock,boundary,,0.0817,,no,0,Clock,kite
2395745,Clock,boundary,,0.0806,,no,0,Clock,kite
2394130,Clock,boundary,,0.0803,absent,yes,0,Clock,kite
2322535,Clock,boundary,,0.0799,absent,yes,0,Clock,kite
2352709,Clock,boundary,,0.0792,,no,0,Clock,kite
2411912,Clock,boundary,,0.0786,absent,yes,0,Clock,stop sign
2346019,Clock,boundary,,0.0784,absent,yes,0,Clock,stop sign
2383707,Clock,boundary,,0.077,,no,0,Clock,kite
2365421,Clock,boundary,,0.0766,absent,yes,0,Clock,cell phone
2325332,Clock,boundary,,0.0766,absent,yes,0,Clock,truck
2331220,Clock,boundary,,0.0759,,no,0,Clock,kite
2361029,Clock,boundary,,0.0758,,no,0,Clock,cell phone
2376806,Clock,boundary,,0.0755,absent,yes,0,Clock,stop sign
2402410,Clock,boundary,,0.0753,,no,0,Clock,stop sign
2379075,Clock,boundary,,0.0751,,no,0,Clock,dog
2374487,Clock,boundary,,0.0749,absent,yes,0,Clock,stop sign
2350610,Clock,boundary,,0.0745,absent,yes,0,Clock,kite
2392128,Clock,boundary,,0.0745,absent,yes,0,Clock,stop sign
2333001,Clock,boundary,,0.0739,absent,yes,0,Clock,kite
1159420,Clock,boundary,,0.0735,absent,yes,0,Clock,truck
2392264,Clock,boundary,,0.0734,,no,0,Clock,stop sign
2358316,Clock,boundary,,0.0732,absent,yes,0,Clock,sink
2393671,Clock,boundary,,0.073,absent,yes,0,Clock,dog
2323658,Clock,boundary,,0.0729,,no,0,Clock,dog
