image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Fire Hydrant,boundary,,0.1055,,no,0,Fire Hydrant,kite
2393864,Fire Hydrant,boundary,,0.1016,present,yes,0,Fire Hydrant,fire hydrant
2392337,Fire Hydrant,boundary,,0.101,absent,yes,0,Fire Hydrant,sink
2315792,Fire Hydrant,boundary,,0.0966,absent,yes,0,Fire Hydrant,bench
2360117,Fire Hydrant,boundary,,0.0912,absent,yes,0,Fire Hydrant,kite
2384924,Fire Hydrant,boundary,,0.0906,absent,yes,0,Fire Hydrant,truck
2334934,Fire Hydrant,boundary,,0.0893,absent,yes,0,Fire Hydrant,kite
2322248,Fire Hydrant,boundary,,0.0874,absent,yes,0,Fire Hydrant,kite
2391377,Fire Hydrant,boundary,,0.0874,,no,0,Fire Hydrant,kite
2326762,Fire Hydrant,boundary,,0.085,,no,0,Fire Hydrant,sink
498270,Fire Hydrant,boundary,,0.0849,,no,0,Fire Hydrant,boat
2400821,Fire Hydrant,boundary,,0.0844,absent,yes,0,Fire Hydrant,sink
2385504,Fire Hydrant,boundary,,0.0834,absent,yes,0,Fire Hydrant,kite
2367901,Fire Hydrant,boundary,,0.0832,,no,0,Fire Hydrant,stop sign
2339643,Fire Hydrant,boundary,,0.0827,absent,yes,0,Fire Hydrant,kite
2325700,Fire Hydrant,boundary,,0.0819,absent,yes,0,Fire Hydrant,kite
3561,Fire Hydrant,boundary,,0.0818,,no,0,Fire Hydrant,chair
2404693,Fire Hydrant,boundary,,0.0817,,no,0,Fire Hydrant,kite
2395745,Fire Hydrant,boundary,,0.0806,,no,0,Fire Hydrant,kite
2394130,Fire Hydrant,boundary,,0.0803,absent,yes,0,Fire Hydrant,kite
2322535,Fire Hydrant,boundary,,0.0799,absent,yes,0,Fire Hydrant,kite
2352709,Fire Hydrant,boundary,,0.0792,,no,0,Fire Hydrant,kite
2411912,Fire Hydrant,boundary,,0.0786,absent,yes,0,Fire Hydrant,stop sign
2346019,Fire Hydrant,boundary,,0.0784,absent,yes,0,Fire Hydrant,stop sign
2383707,Fire Hydrant,boundary,,0.077,,no,0,Fire Hydrant,kite
2365421,Fire Hydrant,boundary,,0.0766,absent,yes,0,Fire Hydrant,cell phone
2325332,Fire Hydrant,boundary,,0.0766,absent,yes,0,Fire Hydrant,truck
2331220,Fire Hydrant,boundary,,0.0759,,no,0,Fire Hydrant,kite
2361029,Fire Hydrant,boundary,,0.0758,,no,0,Fire Hydrant,cell phone
2376806,Fire Hydrant,boundary,,0.0755,absent,yes,0,Fire Hydrant,stop sign
2402410,Fire Hydrant,boundary,,0.0753,,no,0,Fire Hydrant,stop sign
2379075,Fire Hydrant,boundary,,0.0751,,no,0,Fire Hydrant,dog
2374487,Fire Hydrant,boundary,,0.0749,absent,yes,0,Fire Hydrant,stop sign
2350610,Fire Hydrant,boundary,,0.0745,absent,yes,0,Fire Hydrant,kite
2392128,Fire Hydrant,boundary,,0.0745,absent,yes,0,Fire Hydrant,stop sign
2333001,Fire Hydrant,boundary,,0.0739,absent,yes,0,Fire Hydrant,kite
1159420,Fire Hydrant,boundary,,0.0735,absent,yes,0,Fire Hydrant,truck
2392264,Fire Hydrant,boundary,,0.0734,,no,0,Fire Hydrant,stop sign
2358316,Fire Hydrant,boundary,,0.0732,absent,yes,0,Fire Hydrant,sink
2393671,Fire Hydrant,boundary,,0.073,absent,yes,0,Fire Hydrant,dog
2323658,Fire Hydrant,boundary,,0.0729,,no,0,Fire Hydrant,dog
2407548,Fire Hydrant,boundary,,0.0729,,no,0,Fire Hydrant,bus
2407502,Fire Hydrant,boundary,,0.0728,absent,yes,0,Fire Hydrant,spoon
2367117,Fire Hydrant,boundary,,0.0723,,no,0,Fire Hydrant,kite
2327398,Fire Hydrant,boundary,,0.0721,absent,yes,0,Fire Hydrant,kite
2350334,Fire Hydrant,boundary,,0.0718,absent,yes,0,Fire Hydrant,knife
2369018,Fire Hydrant,boundary,,0.0714,,no,0,Fire Hydrant,kite
2399091,Fire Hydrant,boundary,,0.0711,,no,0,Fire Hydrant,sink
2358000,Fire Hydrant,boundary,,0.0706,absent,yes,0,Fire Hydrant,cell phone
2336745,Fire Hydrant,boundary,,0.0704,,no,0,Fire Hydrant,bus
2413072,Fire Hydrant,boundary,,0.0701,,no,0,Fire Hydrant,stop sign
2391765,Fire Hydrant,boundary,,0.0697,absent,yes,0,Fire Hydrant,chair
2330568,Fire Hydrant,boundary,,0.0697,absent,yes,0,Fire Hydrant,bus
2410628,Fire Hydrant,boundary,,0.0695,,no,0,Fire Hydrant,dog
2348108,Fire Hydrant,boundary,,0.0692,,no,0,Fire Hydrant,stop sign
2354790,Fire Hydrant,boundary,,0.0692,absent,yes,0,Fire Hydrant,bus
2394898,Fire Hydrant,boundary,,0.0685,,no,0,Fire Hydrant,dog
2416246,Fire Hydrant,boundary,,0.0685,absent,yes,0,Fire Hydrant,stop sign
2316125,Fire Hydrant,boundary,,0.0684,,no,0,Fire Hydrant,kite
2327098,Fire Hydrant,boundary,,0.0683,,no,0,Fire Hydrant,sink
2362065,Fire Hydrant,boundary,,0.0679,absent,yes,0,Fire Hydrant,sink
2336569,Fire Hydrant,boundary,,0.0676,absent,yes,0,Fire Hydrant,stop sign
2413495,Fire Hydrant,boundary,,0.0673,absent,yes,0,Fire Hydrant,stop sign
2338255,Fire Hydrant,boundary,,0.0673,absent,yes,0,Fire Hydrant,bench
2362762,Fire Hydrant,boundary,,0.067,absent,yes,0,Fire Hydrant,vase
2322849,Fire Hydrant,boundary,,0.0669,,no,0,Fire Hydrant,backpack
2392420,Fire Hydrant,boundary,,0.0667,absent,yes,0,Fire Hydrant,vase
2329296,Fire Hydrant,boundary,,0.0665,absent,yes,0,Fire Hydrant,stop sign
2416700,Fire Hydrant,boundary,,0.0664,absent,yes,0,Fire Hydrant,cell phone
2417852,Fire Hydrant,boundary,,0.0664,,no,0,Fire Hydrant,boat
4185,Fire Hydrant,boundary,,0.0662,,no,0,Fire Hydrant,stop sign
2325379,Fire Hydrant,boundary,,0.0661,,no,0,Fire Hydrant,kite
2368073,Fire Hydrant,boundary,,0.0661,,no,0,Fire Hydrant,stop sign
2355890,Fire Hydrant,boundary,,0.066,absent,yes,0,Fire Hydrant,stop sign
1592013,Fire Hydrant,boundary,,0.0657,absent,yes,0,Fire Hydrant,bench
2417678,Fire Hydrant,boundary,,0.0657,,no,0,Fire Hydrant,kite
2360975,Fire Hydrant,boundary,,0.0656,absent,yes,0,Fire Hydrant,kite
2407927,Fire Hydrant,boundary,,0.0656,,no,0,Fire Hydrant,bowl
2355650,Fire Hydrant,boundary,,0.0656,,no,0,Fire Hydrant,stop sign
2415598,Fire Hydrant,boundary,,0.0652,,no,0,Fire Hydrant,sink
2393732,Fire Hydrant,boundary,,0.0648,,no,0,Fire Hydrant,stop sign
2398807,Fire Hydrant,boundary,,0.0647,,no,0,Fire Hydrant,stop sign
2360,Fire Hydrant,boundary,,0.0646,,no,0,Fire Hydrant,stop sign
2400101,Fire Hydrant,boundary,,0.0644,,no,0,Fire Hydrant,kite
2380685,Fire Hydrant,boundary,,0.0641,,no,0,Fire Hydrant,sink
1986,Fire Hydrant,boundary,,0.0639,,no,0,Fire Hydrant,cell phone
2353986,Fire Hydrant,boundary,,0.0638,,no,0,Fire Hydrant,kite
2388314,Fire Hydrant,boundary,,0.0637,absent,yes,0,Fire Hydrant,bench
2383506,Fire Hydrant,boundary,,0.0634,absent,yes,0,Fire Hydrant,sink
2379050,Fire Hydrant,boundary,,0.0632,absent,yes,0,Fire Hydrant,dog
2323842,Fire Hydrant,boundary,,0.0627,,no,0,Fire Hydrant,kite
2372457,Fire Hydrant,boundary,,0.0624,,no,0,Fire Hydrant,spoon
2363995,Fire Hydrant,boundary,,0.062,,no,0,Fire Hydrant,sink
2346929,Fire Hydrant,boundary,,0.0619,,no,0,Fire Hydrant,bus
2343839,Fire Hydrant,boundary,,0.0618,absent,yes,0,Fire Hydrant,stop sign
2417271,Fire Hydrant,boundary,,0.0617,absent,yes,0,Fire Hydrant,cell phone
2399554,Fire Hydrant,boundary,,0.0616,,no,0,Fire Hydrant,sink
2393952,Fire Hydrant,boundary,,0.0616,,no,0,Fire Hydrant,sink
2398287,Fire Hydrant,boundary,,0.0614,absent,yes,0,Fire Hydrant,bowl
2380089,Fire Hydrant,boundary,,0.0613,absent,yes,0,Fire Hydrant,kite
2379377,Fire Hydrant,random,,0.006,,no,0,Fire Hydrant,bird
2389518,Fire Hydrant,random,,0.0262,,no,0,Fire Hydrant,boat
2387690,Fire Hydrant,random,,0.0414,absent,yes,0,Fire Hydrant,bus
2341258,Fire Hydrant,random,,0.0075,,no,0,Fire Hydrant,bench
2343133,Fire Hydrant,random,,0.0122,,no,0,Fire Hydrant,bench
2410471,Fire Hydrant,random,,0.0238,,no,0,Fire Hydrant,bird
2338452,Fire Hydrant,random,,0.0149,absent,yes,0,Fire Hydrant,bird
2399496,Fire Hydrant,random,,0.0389,,no,0,Fire Hydrant,kite
655,Fire Hydrant,random,,0.0285,,no,0,Fire Hydrant,boat
2406950,Fire Hydrant,random,,0.0483,,no,0,Fire Hydrant,bowl
2416176,Fire Hydrant,random,,0.0246,,no,0,Fire Hydrant,bus
2379431,Fire Hydrant,random,,0.0299,absent,yes,0,Fire Hydrant,bus
2386624,Fire Hydrant,random,,0.0363,absent,yes,0,Fire Hydrant,dog
2376171,Fire Hydrant,random,,0.0455,,no,0,Fire Hydrant,bicycle
2342757,Fire Hydrant,random,,0.0091,,no,0,Fire Hydrant,car
2370802,Fire Hydrant,random,,0.0289,absent,yes,0,Fire Hydrant,stop sign
2379036,Fire Hydrant,random,,0.0487,,no,0,Fire Hydrant,kite
2372245,Fire Hydrant,random,,0.0584,,no,0,Fire Hydrant,stop sign
1556,Fire Hydrant,random,,0.0293,,no,0,Fire Hydrant,car
2328476,Fire Hydrant,random,,0.0054,,no,0,Fire Hydrant,bench
2379254,Fire Hydrant,random,,0.0072,absent,yes,0,Fire Hydrant,dog
2334823,Fire Hydrant,random,,0.0328,absent,yes,0,Fire Hydrant,kite
2413407,Fire Hydrant,random,,0.0297,,no,0,Fire Hydrant,spoon
1490,Fire Hydrant,random,,0.0228,,no,0,Fire Hydrant,bench
2368814,Fire Hydrant,random,,0.0076,,no,0,Fire Hydrant,bird
2408671,Fire Hydrant,random,,0.048,absent,yes,0,Fire Hydrant,bowl
2381000,Fire Hydrant,random,,0.0398,absent,yes,0,Fire Hydrant,cup
2410237,Fire Hydrant,random,,0.0191,absent,yes,0,Fire Hydrant,fork
2395379,Fire Hydrant,random,,0.0472,,no,0,Fire Hydrant,sink
2375949,Fire Hydrant,random,,0.0249,,no,0,Fire Hydrant,cup
2415129,Fire Hydrant,random,,0.0367,absent,yes,0,Fire Hydrant,kite
2399434,Fire Hydrant,random,,0.0178,,no,0,Fire Hydrant,bowl
2382828,Fire Hydrant,random,,0.0059,absent,yes,0,Fire Hydrant,dog
2364216,Fire Hydrant,random,,0.0505,absent,yes,0,Fire Hydrant,bus
2416508,Fire Hydrant,random,,0.0089,,no,0,Fire Hydrant,bird
2323085,Fire Hydrant,random,,0.0491,absent,yes,0,Fire Hydrant,kite
2334729,Fire Hydrant,random,,0.0472,,no,0,Fire Hydrant,bus
2411277,Fire Hydrant,random,,0.0112,,no,0,Fire Hydrant,bowl
2392094,Fire Hydrant,random,,0.0195,absent,yes,0,Fire Hydrant,truck
2386347,Fire Hydrant,random,,0.039,absent,yes,0,Fire Hydrant,bowl
2340056,Fire Hydrant,random,,0.0461,absent,yes,0,Fire Hydrant,knife
2392807,Fire Hydrant,random,,0.0315,absent,yes,0,Fire Hydrant,bus
2382264,Fire Hydrant,random,,0.0122,,no,0,Fire Hydrant,dog
2398852,Fire Hydrant,random,,0.0303,,no,0,Fire Hydrant,knife
2336335,Fire Hydrant,random,,0.0054,,no,0,Fire Hydrant,car
2357898,Fire Hydrant,random,,0.0097,,no,0,Fire Hydrant,bench
2384185,Fire Hydrant,random,,0.0402,,no,0,Fire Hydrant,backpack
2352095,Fire Hydrant,random,,0.0262,absent,yes,0,Fire Hydrant,bus
2385477,Fire Hydrant,random,,0.0176,,no,0,Fire Hydrant,kite
2332648,Fire Hydrant,random,,0.0099,,no,0,Fire Hydrant,sink
2368984,Fire Hydrant,random,,0.0302,,no,0,Fire Hydrant,bus
2370144,Fire Hydrant,random,,0.0122,,no,0,Fire Hydrant,bowl
2358419,Fire Hydrant,random,,0.0443,,no,0,Fire Hydrant,bus
3801,Fire Hydrant,random,,0.0487,,no,0,Fire Hydrant,bench
2315796,Fire Hydrant,random,,0.0284,,no,0,Fire Hydrant,car
2370271,Fire Hydrant,random,,0.0186,absent,yes,0,Fire Hydrant,bird
