image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Handheld Objects,boundary,,0.1055,,no,0,Handheld Objects,kite
2393864,Handheld Objects,boundary,,0.1016,present,yes,0,Handheld Objects,fire hydrant
2392337,Handheld Objects,boundary,,0.101,present,yes,0,Handheld Objects,sink
2315792,Handheld Objects,boundary,,0.0966,present,yes,0,Handheld Objects,bench
2360117,Handheld Objects,boundary,,0.0912,present,yes,0,Handheld Objects,kite
2384924,Handheld Objects,boundary,,0.0906,present,yes,0,Handheld Objects,truck
2334934,Handheld Objects,boundary,,0.0893,present,yes,0,Handheld Objects,kite
2322248,Handheld Objects,boundary,,0.0874,present,yes,0,Handheld Objects,kite
2391377,Handheld Objects,boundary,,0.0874,,no,0,Handheld Objects,kite
2326762,Handheld Objects,boundary,,0.085,,no,0,Handheld Objects,sink
498270,Handheld Objects,boundary,,0.0849,,no,0,Handheld Objects,boat
2400821,Handheld Objects,boundary,,0.0844,present,yes,0,Handheld Objects,sink
2385504,Handheld Objects,boundary,,0.0834,present,yes,0,Handheld Objects,kite
2367901,Handheld Objects,boundary,,0.0832,,no,0,Handheld Objects,stop sign
2339643,Handheld Objects,boundary,,0.0827,present,yes,0,Handheld Objects,kite
2325700,Handheld Objects,boundary,,0.0819,present,yes,0,Handheld Objects,kite
3561,Handheld Objects,boundary,,0.0818,,no,0,Handheld Objects,chair
2404693,Handheld Objects,boundary,,0.0817,,no,0,Handheld Objects,kite
2395745,Handheld Objects,boundary,,0.0806,,no,0,Handheld Objects,kite
2394130,Handheld Objects,boundary,,0.0803,present,yes,0,Handheld Objects,kite
2322535,Handheld Objects,boundary,,0.0799,present,yes,0,Handheld Objects,kite
2352709,Handheld Objects,boundary,,0.0792,,no,0,Handheld Objects,kite
2411912,Handheld Objects,boundary,,0.0786,present,yes,0,Handheld Objects,stop sign
2346019,Handheld Objects,boundary,,0.0784,present,yes,0,Handheld Objects,stop sign
