image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Outdoor Objects,boundary,,0.1055,,no,0,Outdoor Objects,kite
2393864,Outdoor Objects,boundary,,0.1016,present,yes,0,Outdoor Objects,fire hydrant
2392337,Outdoor Objects,boundary,,0.101,present,yes,0,Outdoor Objects,sink
2315792,Outdoor Objects,boundary,,0.0966,present,yes,0,Outdoor Objects,bench
2360117,Outdoor Objects,boundary,,0.0912,present,yes,0,Outdoor Objects,kite
2384924,Outdoor Objects,boundary,,0.0906,present,yes,0,Outdoor Objects,truck
2334934,Outdoor Objects,boundary,,0.0893,present,yes,0,Outdoor Objects,kite
2322248,Outdoor Objects,boundary,,0.0874,present,yes,0,Outdoor Objects,kite
2391377,Outdoor Objects,boundary,,0.0874,,no,0,Outdoor Objects,kite
2326762,Outdoor Objects,boundary,,0.085,,no,0,Outdoor Objects,sink
498270,Outdoor Objects,boundary,,0.0849,,no,0,Outdoor Objects,boat
2400821,Outdoor Objects,boundary,,0.0844,present,yes,0,Outdoor Objects,sink
2385504,Outdoor Objects,boundary,,0.0834,present,yes,0,Outdoor Objects,kite
2367901,Outdoor Objects,boundary,,0.0832,,no,0,Outdoor Objects,stop sign
2339643,Outdoor Objects,boundary,,0.0827,present,yes,0,Outdoor Objects,kite
2325700,Outdoor Objects,boundary,,0.0819,present,yes,0,Outdoor Objects,kite
3561,Outdoor Objects,boundary,,0.0818,,no,0,Outdoor Objects,chair
2404693,Outdoor Objects,boundary,,0.0817,,no,0,Outdoor Objects,kite
2395745,Outdoor Objects,boundary,,0.0806,,no,0,Outdoor Objects,kite
2394130,Outdoor Objects,boundary,,0.0803,present,yes,0,Outdoor Objects,kite
2322535,Outdoor Objects,boundary,,0.0799,present,yes,0,Outdoor Objects,kite
2352709,Outdoor Objects,boundary,,0.0792,,no,0,Outdoor Objects,kite
2411912,Outdoor Objects,boundary,,0.0786,present,yes,0,Outdoor Objects,stop sign
2346019,Outdoor Objects,boundary,,0.0784,present,yes,0,Outdoor Objects,stop sign
2383707,Outdoor Objects,boundary,,0.077,,no,0,Outdoor Objects,kite
2365421,Outdoor Objects,boundary,,0.0766,present,yes,0,Outdoor Objects,cell phone
2325332,Outdoor Objects,boundary,,0.0766,present,yes,0,Outdoor Objects,truck
2331220,Outdoor Objects,boundary,,0.0759,,no,0,Outdoor Objects,kite
2361029,Outdoor Objects,boundary,,0.0758,,no,0,Outdoor Objects,cell phone
2376806,Outdoor Objects,boundary,,0.0755,present,yes,0,Outdoor Objects,stop sign
2402410,Outdoor Objects,boundary,,0.0753,,no,0,Outdoor Objects,stop sign
2379075,Outdoor Objects,boundary,,0.0751,,no,0,Outdoor Objects,dog
2374487,Outdoor Objects,boundary,,0.0749,present,yes,0,Outdoor Objects,stop sign
2350610,Outdoor Objects,boundary,,0.0745,present,yes,0,Outdoor Objects,kite
2392128,Outdoor Objects,boundary,,0.0745,present,yes,0,Outdoor Objects,stop sign
2333001,Outdoor Objects,boundary,,0.0739,present,yes,0,Outdoor Objects,kite
1159420,Outdoor Objects,boundary,,0.0735,present,yes,0,Outdoor Objects,truck
2392264,Outdoor Objects,boundary,,0.0734,,no,0,Outdoor Objects,stop sign
2358316,Outdoor Objects,boundary,,0.0732,present,yes,0,Outdoor Objects,sink
2393671,Outdoor Objects,boundary,,0.073,present,yes,0,Outdoor Objects,dog
2323658,Outdoor Objects,boundary,,0.0729,,no,0,Outdoor Objects,dog
2407548,Outdoor Objects,boundary,,0.0729,,no,0,Outdoor Objects,bus
2407502,Outdoor Objects,boundary,,0.0728,present,yes,0,Outdoor Objects,spoon
2367117,Outdoor Objects,boundary,,0.0723,,no,0,Outdoor Objects,kite
2327398,Outdoor Objects,boundary,,0.0721,present,yes,0,Outdoor Objects,kite
2350334,Outdoor Objects,boundary,,0.0718,present,yes,0,Outdoor Objects,knife
2369018,Outdoor Objects,boundary,,0.0714,,no,0,Outdoor Objects,kite
2399091,Outdoor Objects,boundary,,0.0711,,no,0,Outdoor Objects,sink
2358000,Outdoor Objects,boundary,,0.0706,present,yes,0,Outdoor Objects,cell phone
2336745,Outdoor Objects,boundary,,0.0704,,no,0,Outdoor Objects,bus
