image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Street Objects,boundary,,0.1055,,no,0,Street Objects,kite
2393864,Street Objects,boundary,,0.1016,present,yes,0,Street Objects,fire hydrant
2392337,Street Objects,boundary,,0.101,present,yes,0,Street Objects,sink
2315792,Street Objects,boundary,,0.0966,present,yes,0,Street Objects,bench
2360117,Street Objects,boundary,,0.0912,present,yes,0,Street Objects,kite
2384924,Street Objects,boundary,,0.0906,present,yes,0,Street Objects,truck
2334934,Street Objects,boundary,,0.0893,present,yes,0,Street Objects,kite
2322248,Street Objects,boundary,,0.0874,present,yes,0,Street Objects,kite
2391377,Street Objects,boundary,,0.0874,,no,0,Street Objects,kite
2326762,Street Objects,boundary,,0.085,,no,0,Street Objects,sink
498270,Street Objects,boundary,,0.0849,,no,0,Street Objects,boat
2400821,Street Objects,boundary,,0.0844,present,yes,0,Street Objects,sink
2385504,Street Objects,boundary,,0.0834,present,yes,0,Street Objects,kite
2367901,Street Objects,boundary,,0.0832,,no,0,Street Objects,stop sign
2339643,Street Objects,boundary,,0.0827,present,yes,0,Street Objects,kite
2325700,Street Objects,boundary,,0.0819,present,yes,0,Street Objects,kite
3561,Street Objects,boundary,,0.0818,,no,0,Street Objects,chair
2404693,Street Objects,boundary,,0.0817,,no,0,Street Objects,kite
2395745,Street Objects,boundary,,0.0806,,no,0,Street Objects,kite
2394130,Street Objects,boundary,,0.0803,present,yes,0,Street Objects,kite
2322535,Street Objects,boundary,,0.0799,present,yes,0,Street Objects,kite
2352709,Street Objects,boundary,,0.0792,,no,0,Street Objects,kite
2411912,Street Objects,boundary,,0.0786,present,yes,0,Street Objects,stop sign
2346019,Street Objects,boundary,,0.0784,present,yes,0,Street Objects,stop sign
2383707,Street Objects,boundary,,0.077,,no,0,Street Objects,kite
2365421,Street Objects,boundary,,0.0766,present,yes,0,Street Objects,cell phone
2325332,Street Objects,boundary,,0.0766,present,yes,0,Street Objects,truck
2331220,Street Objects,boundary,,0.0759,,no,0,Street Objects,kite
2361029,Street Objects,boundary,,0.0758,,no,0,Street Objects,cell phone
2376806,Street Objects,boundary,,0.0755,present,yes,0,Street Objects,stop sign
2402410,Street Objects,boundary,,0.0753,,no,0,Street Objects,stop sign
2379075,Street Objects,boundary,,0.0751,,no,0,Street Objects,dog
2374487,Street Objects,boundary,,0.0749,present,yes,0,Street Objects,stop sign
2350610,Street Objects,boundary,,0.0745,present,yes,0,Street Objects,kite
2392128,Street Objects,boundary,,0.0745,present,yes,0,Street Objects,stop sign
2333001,Street Objects,boundary,,0.0739,present,yes,0,Street Objects,kite
1159420,Street Objects,boundary,,0.0735,present,yes,0,Street Objects,truck
2392264,Street Objects,boundary,,0.0734,,no,0,Street Objects,stop sign
2358316,Street Objects,boundary,,0.0732,present,yes,0,Street Objects,sink
2393671,Street Objects,boundary,,0.073,present,yes,0,Street Objects,dog
2323658,Street Objects,boundary,,0.0729,,no,0,Street Objects,dog
2407548,Street Objects,boundary,,0.0729,,no,0,Street Objects,bus
2407502,Street Objects,boundary,,0.0728,present,yes,0,Street Objects,spoon
2367117,Street Objects,boundary,,0.0723,,no,0,Street Objects,kite
2327398,Street Objects,boundary,,0.0721,present,yes,0,Street Objects,kite
2350334,Street Objects,boundary,,0.0718,present,yes,0,Street Objects,knife
2369018,Street Objects,boundary,,0.0714,,no,0,Street Objects,kite
2399091,Street Objects,boundary,,0.0711,,no,0,Street Objects,sink
2358000,Street Objects,boundary,,0.0706,present,yes,0,Street Objects,cell phone
2336745,Street Objects,boundary,,0.0704,,no,0,Street Objects,bus
2413072,Street Objects,boundary,,0.0701,,no,0,Street Objects,stop sign
2391765,Street Objects,boundary,,0.0697,present,yes,0,Street Objects,chair
2330568,Street Objects,boundary,,0.0697,present,yes,0,Street Objects,bus
2410628,Street Objects,boundary,,0.0695,,no,0,Street Objects,dog
2348108,Street Objects,boundary,,0.0692,,no,0,Street Objects,stop sign
2354790,Street Objects,boundary,,0.0692,present,yes,0,Street Objects,bus
2394898,Street Objects,boundary,,0.0685,,no,0,Street Objects,dog
2416246,Street Objects,boundary,,0.0685,present,yes,0,Street Objects,stop sign
2316125,Street Objects,boundary,,0.0684,,no,0,Street Objects,kite
2327098,Street Objects,boundary,,0.0683,,no,0,Street Objects,sink
2362065,Street Objects,boundary,,0.0679,present,yes,0,Street Objects,sink
2336569,Street Objects,boundary,,0.0676,present,yes,0,Street Objects,stop sign
2413495,Street Objects,boundary,,0.0673,present,yes,0,Street Objects,stop sign
2338255,Street Objects,boundary,,0.0673,present,yes,0,Street Objects,bench
2362762,Street Objects,boundary,,0.067,present,yes,0,Street Objects,vase
2322849,Street Objects,boundary,,0.0669,,no,0,Street Objects,backpack
2392420,Street Objects,boundary,,0.0667,present,yes,0,Street Objects,vase
2329296,Street Objects,boundary,,0.0665,present,yes,0,Street Objects,stop sign
2416700,Street Objects,boundary,,0.0664,present,yes,0,Street Objects,cell phone
2417852,Street Objects,boundary,,0.0664,,no,0,Street Objects,boat
4185,Street Objects,boundary,,0.0662,,no,0,Street Objects,stop sign
2325379,Street Objects,boundary,,0.0661,,no,0,Street Objects,kite
2368073,Street Objects,boundary,,0.0661,,no,0,Street Objects,stop sign
2355890,Street Objects,boundary,,0.066,present,yes,0,Street Objects,stop sign
1592013,Street Objects,boundary,,0.0657,present,yes,0,Street Objects,bench
2417678,Street Objects,boundary,,0.0657,,no,0,Street Objects,kite
2360975,Street Objects,boundary,,0.0656,present,yes,0,Street Objects,kite
2407927,Street Objects,boundary,,0.0656,,no,0,Street Objects,bowl
2355650,Street Objects,boundary,,0.0656,,no,0,Street Objects,stop sign
2415598,Street Objects,boundary,,0.0652,,no,0,Street Objects,sink
2393732,Street Objects,boundary,,0.0648,,no,0,Street Objects,stop sign
2398807,Street Objects,boundary,,0.0647,,no,0,Street Objects,stop sign
2360,Street Objects,boundary,,0.0646,,no,0,Street Objects,stop sign
2400101,Street Objects,boundary,,0.0644,,no,0,Street Objects,kite
2380685,Street Objects,boundary,,0.0641,,no,0,Street Objects,sink
1986,Street Objects,boundary,,0.0639,,no,0,Street Objects,cell phone
