image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Table Objects,boundary,,0.1055,,no,0,Table Objects,kite
2393864,Table Objects,boundary,,0.1016,absent,yes,0,Table Objects,fire hydrant
2392337,Table Objects,boundary,,0.101,absent,yes,0,Table Objects,sink
2315792,Table Objects,boundary,,0.0966,absent,yes,0,Table Objects,bench
2360117,Table Objects,boundary,,0.0912,absent,yes,0,Table Objects,kite
2384924,Table Objects,boundary,,0.0906,absent,yes,0,Table Objects,truck
2334934,Table Objects,boundary,,0.0893,absent,yes,0,Table Objects,kite
2322248,Table Objects,boundary,,0.0874,absent,yes,0,Table Objects,kite
2391377,Table Objects,boundary,,0.0874,,no,0,Table Objects,kite
2326762,Table Objects,boundary,,0.085,,no,0,Table Objects,sink
498270,Table Objects,boundary,,0.0849,,no,0,Table Objects,boat
2400821,Table Objects,boundary,,0.0844,absent,yes,0,Table Objects,sink
2385504,Table Objects,boundary,,0.0834,absent,yes,0,Table Objects,kite
2367901,Table Objects,boundary,,0.0832,,no,0,Table Objects,stop sign
2339643,Table Objects,boundary,,0.0827,absent,yes,0,Table Objects,kite
2325700,Table Objects,boundary,,0.0819,absent,yes,0,Table Objects,kite
3561,Table Objects,boundary,,0.0818,,no,0,Table Objects,chair
2404693,Table Objects,boundary,,0.0817,,no,0,Table Objects,kite
2395745,Table Objects,boundary,,0.0806,,no,0,Table Objects,kite
2394130,Table Objects,boundary,,0.0803,absent,yes,0,Table Objects,kite
2322535,Table Objects,boundary,,0.0799,absent,yes,0,Table Objects,kite
2352709,Table Objects,boundary,,0.0792,,no,0,Table Objects,kite
2411912,Table Objects,boundary,,0.0786,absent,yes,0,Table Objects,stop sign
2346019,Table Objects,boundary,,0.0784,absent,yes,0,Table Objects,stop sign
2383707,Table Objects,boundary,,0.077,,no,0,Table Objects,kite
2365421,Table Objects,boundary,,0.0766,absent,yes,0,Table Objects,cell phone
2325332,Table Objects,boundary,,0.0766,absent,yes,0,Table Objects,truck
2331220,Table Objects,boundary,,0.0759,,no,0,Table Objects,kite
2361029,Table Objects,boundary,,0.0758,,no,0,Table Objects,cell phone
