image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector,driver
2387068,Umbrella,boundary,,0.1055,,no,0,Umbrella,kite
2393864,Umbrella,boundary,,0.1016,absent,yes,0,Umbrella,fire hydrant
2392337,Umbrella,boundary,,0.101,absent,yes,0,Umbrella,sink
2315792,Umbrella,boundary,,0.0966,absent,yes,0,Umbrella,bench
2360117,Umbrella,boundary,,0.0912,absent,yes,0,Umbrella,kite
2384924,Umbrella,boundary,,0.0906,absent,yes,0,Umbrella,truck
2334934,Umbrella,boundary,,0.0893,absent,yes,0,Umbrella,kite
2322248,Umbrella,boundary,,0.0874,absent,yes,0,Umbrella,kite
2391377,Umbrella,boundary,,0.0874,,no,0,Umbrella,kite
2326762,Umbrella,boundary,,0.085,,no,0,Umbrella,sink
498270,Umbrella,boundary,,0.0849,,no,0,Umbrella,boat
2400821,Umbrella,boundary,,0.0844,absent,yes,0,Umbrella,sink
2385504,Umbrella,boundary,,0.0834,absent,yes,0,Umbrella,kite
2367901,Umbrella,boundary,,0.0832,,no,0,Umbrella,stop sign
2339643,Umbrella,boundary,,0.0827,absent,yes,0,Umbrella,kite
2325700,Umbrella,boundary,,0.0819,absent,yes,0,Umbrella,kite
3561,Umbrella,boundary,,0.0818,,no,0,Umbrella,chair
2404693,Umbrella,boundary,,0.0817,,no,0,Umbrella,kite
2395745,Umbrella,boundary,,0.0806,,no,0,Umbrella,kite
2394130,Umbrella,boundary,,0.0803,absent,yes,0,Umbrella,kite
2322535,Umbrella,boundary,,0.0799,absent,yes,0,Umbrella,kite
2352709,Umbrella,boundary,,0.0792,,no,0,Umbrella,kite
2411912,Umbrella,boundary,,0.0786,absent,yes,0,Umbrella,stop sign
2346019,Umbrella,boundary,,0.0784,absent,yes,0,Umbrella,stop sign
2383707,Umbrella,boundary,,0.077,,no,0,Umbrella,kite
2365421,Umbrella,boundary,,0.0766,absent,yes,0,Umbrella,cell phone
2325332,Umbrella,boundary,,0.0766,absent,yes,0,Umbrella,truck
2331220,Umbrella,boundary,,0.0759,,no,0,Umbrella,kite
2361029,Umbrella,boundary,,0.0758,,no,0,Umbrella,cell phone
2376806,Umbrella,boundary,,0.0755,absent,yes,0,Umbrella,stop sign
2402410,Umbrella,boundary,,0.0753,,no,0,Umbrella,stop sign
2379075,Umbrella,boundary,,0.0751,,no,0,Umbrella,dog
2374487,Umbrella,boundary,,0.0749,absent,yes,0,Umbrella,stop sign
2350610,Umbrella,boundary,,0.0745,absent,yes,0,Umbrella,kite
2392128,Umbrella,boundary,,0.0745,absent,yes,0,Umbrella,stop sign
2333001,Umbrella,boundary,,0.0739,absent,yes,0,Umbrella,kite
1159420,Umbrella,boundary,,0.0735,absent,yes,0,Umbrella,truck
2392264,Umbrella,boundary,,0.0734,,no,0,Umbrella,stop sign
2358316,Umbrella,boundary,,0.0732,absent,yes,0,Umbrella,sink
2393671,Umbrella,boundary,,0.073,absent,yes,0,Umbrella,dog
2323658,Umbrella,boundary,,0.0729,,no,0,Umbrella,dog
2407548,Umbrella,boundary,,0.0729,,no,0,Umbrella,bus
2407502,Umbrella,boundary,,0.0728,absent,yes,0,Umbrella,spoon
2367117,Umbrella,boundary,,0.0723,,no,0,Umbrella,kite
2327398,Umbrella,boundary,,0.0721,absent,yes,0,Umbrella,kite
2350334,Umbrella,boundary,,0.0718,absent,yes,0,Umbrella,knife
2369018,Umbrella,boundary,,0.0714,,no,0,Umbrella,kite
2399091,Umbrella,boundary,,0.0711,,no,0,Umbrella,sink
2358000,Umbrella,boundary,,0.0706,absent,yes,0,Umbrella,cell phone
2336745,Umbrella,boundary,,0.0704,,no,0,Umbrella,bus
