image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2367980,bench,boundary,,0.1008,absent,no,0,bench not chairs
2348897,bench,boundary,,0.0842,absent,no,0,bench not chairs
2403706,bench,boundary,,0.0837,absent,no,0,bench not chairs
2383564,bench,boundary,,0.0731,absent,no,0,bench not chairs
1159755,bench,boundary,,0.0683,absent,no,0,bench not chairs
2341082,bench,boundary,,0.0665,absent,no,0,bench not chairs
3546,bench,boundary,,0.0643,absent,no,0,bench not chairs
2636,bench,boundary,,0.0603,absent,no,0,bench not chairs
2410787,bench,boundary,,0.0593,absent,no,0,bench not chairs
2398671,bench,boundary,,0.0585,absent,no,0,bench not chairs
2408107,bench,boundary,,0.0564,absent,no,0,bench not chairs
2360756,bench,boundary,,0.0558,absent,no,0,bench not chairs
2372524,bench,boundary,,0.0555,absent,no,0,bench not chairs
3561,bench,boundary,,0.0537,absent,no,0,bench not chairs
150287,bench,boundary,,0.0532,absent,no,0,bench not chairs
2407573,bench,boundary,,0.0526,absent,no,0,bench not chairs
2780,bench,boundary,,0.0522,absent,no,0,bench not chairs
2407821,bench,boundary,,0.0519,absent,no,0,bench not chairs
2365474,bench,boundary,,0.0518,absent,no,0,bench not chairs
2360455,bench,boundary,,0.051,absent,no,0,bench not chairs
936,bench,boundary,,0.0507,absent,no,0,bench not chairs
3603,bench,boundary,,0.0497,absent,no,0,bench not chairs
1591864,bench,boundary,,0.0493,absent,no,0,bench not chairs
3801,bench,boundary,,0.0487,absent,no,0,bench not chairs
2406376,bench,boundary,,0.0486,absent,no,0,bench not chairs
2402561,bench,boundary,,0.0484,absent,no,0,bench not chairs
2337960,bench,boundary,,0.0479,absent,no,0,bench not chairs
1591846,bench,boundary,,0.0479,absent,no,0,bench not chairs
3547,bench,boundary,,0.0478,absent,no,0,bench not chairs
2374321,bench,boundary,,0.0473,absent,no,0,bench not chairs
2092,bench,boundary,,0.0472,absent,no,0,bench not chairs
2340984,bench,boundary,,0.0471,absent,no,0,bench not chairs
2367143,bench,boundary,,0.0467,absent,no,0,bench not chairs
4544,bench,boundary,,0.0463,absent,no,0,bench not chairs
2321688,bench,boundary,,0.0459,absent,no,0,bench not chairs
2405875,bench,boundary,,0.0457,absent,no,0,bench not chairs
2329904,bench,boundary,,0.0456,absent,no,0,bench not chairs
2356125,bench,boundary,,0.0451,absent,no,0,bench not chairs
2363784,bench,boundary,,0.0443,absent,no,0,bench not chairs
2347899,bench,boundary,,0.044,absent,no,0,bench not chairs
2407670,bench,boundary,,0.0435,absent,no,0,bench not chairs
1159560,bench,boundary,,0.043,absent,no,0,bench not chairs
1199,bench,boundary,,0.0427,absent,no,0,bench not chairs
2392683,bench,boundary,,0.0427,absent,no,0,bench not chairs
2356037,bench,boundary,,0.0421,absent,no,0,bench not chairs
2403697,bench,boundary,,0.0421,absent,no,0,bench not chairs
2343784,bench,boundary,,0.0419,absent,no,0,bench not chairs
2371535,bench,boundary,,0.0418,absent,no,0,bench not chairs
148,bench,boundary,,0.0417,absent,no,0,bench not chairs
2395868,bench,boundary,,0.0415,absent,no,0,bench not chairs
2380023,bench,boundary,,0.0415,absent,no,0,bench not chairs
2364894,bench,boundary,,0.0414,absent,no,0,bench not chairs
3809,bench,boundary,,0.0414,absent,no,0,bench not chairs
2367538,bench,boundary,,0.0412,absent,no,0,bench not chairs
2346307,bench,boundary,,0.041,absent,no,0,bench not chairs
2372724,bench,boundary,,0.0409,absent,no,0,bench not chairs
3593,bench,boundary,,0.0409,absent,no,0,bench not chairs
2326791,bench,boundary,,0.0408,absent,no,0,bench not chairs
2338679,bench,boundary,,0.0402,absent,no,0,bench not chairs
249,bench,boundary,,0.0399,absent,no,0,bench not chairs
2365023,bench,boundary,,0.0399,absent,no,0,bench not chairs
2352055,bench,boundary,,0.0398,absent,no,0,bench not chairs
2366570,bench,boundary,,0.0398,absent,no,0,bench not chairs
2399824,bench,boundary,,0.0396,absent,no,0,bench not chairs
2399091,bench,boundary,,0.0396,absent,no,0,bench not chairs
2333364,bench,boundary,,0.0396,absent,no,0,bench not chairs
2398217,bench,boundary,,0.0393,absent,no,0,bench not chairs
2327529,bench,boundary,,0.0392,absent,no,0,bench not chairs
2332116,bench,boundary,,0.0391,absent,no,0,bench not chairs
2331629,bench,boundary,,0.039,absent,no,0,bench not chairs
2938,bench,boundary,,0.039,absent,no,0,bench not chairs
2416997,bench,boundary,,0.0387,absent,no,0,bench not chairs
2112,bench,boundary,,0.0384,absent,no,0,bench not chairs
4216,bench,boundary,,0.0381,absent,no,0,bench not chairs
1592248,bench,boundary,,0.0377,absent,no,0,bench not chairs
2330522,bench,boundary,,0.0376,absent,no,0,bench not chairs
2344109,bench,boundary,,0.0376,absent,no,0,bench not chairs
2406453,bench,boundary,,0.0375,absent,no,0,bench not chairs
3810,bench,boundary,,0.0375,absent,no,0,bench not chairs
2321178,bench,boundary,,0.0374,absent,no,0,bench not chairs
2814,bench,boundary,,0.0371,absent,no,0,bench not chairs
2404665,bench,boundary,,0.037,absent,no,0,bench not chairs
2352751,bench,boundary,,0.0369,absent,no,0,bench not chairs
1022,bench,boundary,,0.0369,absent,no,0,bench not chairs
2370525,bench,boundary,,0.0365,absent,no,0,bench not chairs
2364127,bench,boundary,,0.0364,absent,no,0,bench not chairs
2378334,bench,boundary,,0.0363,absent,no,0,bench not chairs
2382555,bench,boundary,,0.0363,absent,no,0,bench not chairs
