image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2323456,bottle,boundary,,0.0695,absent,no,0,bottle incl jars
2393384,bottle,boundary,,0.0521,absent,no,0,bottle incl jars
2398885,bottle,boundary,,0.0502,absent,no,0,bottle incl jars
2414323,bottle,boundary,,0.0465,absent,no,0,bottle incl jars
2355359,bottle,boundary,,0.0457,absent,no,0,bottle incl jars
2349351,bottle,boundary,,0.0454,absent,no,0,bottle incl jars
2326567,bottle,boundary,,0.0453,absent,no,0,bottle incl jars
2434,bottle,boundary,,0.0436,absent,no,0,bottle incl jars
2395599,bottle,boundary,,0.0417,absent,no,0,bottle incl jars
2381945,bottle,boundary,,0.039,absent,no,0,bottle incl jars
2330522,bottle,boundary,,0.0366,absent,no,0,bottle incl jars
2404223,bottle,boundary,,0.036,absent,no,0,bottle incl jars
2406885,bottle,boundary,,0.0351,absent,no,0,bottle incl jars
2411395,bottle,boundary,,0.0336,absent,no,0,bottle incl jars
2371744,bottle,boundary,,0.0335,absent,no,0,bottle incl jars
2373582,bottle,boundary,,0.0327,absent,no,0,bottle incl jars
2412014,bottle,boundary,,0.0325,absent,no,0,bottle incl jars
2346009,bottle,boundary,,0.0324,absent,no,0,bottle incl jars
3593,bottle,boundary,,0.0323,absent,no,0,bottle incl jars
2344364,bottle,boundary,,0.0323,absent,no,0,bottle incl jars
2404734,bottle,boundary,,0.0322,absent,no,0,bottle incl jars
2342675,bottle,boundary,,0.0319,absent,no,0,bottle incl jars
2339026,bottle,boundary,,0.0312,absent,no,0,bottle incl jars
2387439,bottle,boundary,,0.0298,absent,no,0,bottle incl jars
2340704,bottle,boundary,,0.0295,absent,no,0,bottle incl jars
2375837,bottle,boundary,,0.0294,absent,no,0,bottle incl jars
2383000,bottle,boundary,,0.0287,absent,no,0,bottle incl jars
2374224,bottle,boundary,,0.0285,absent,no,0,bottle incl jars
2327550,bottle,boundary,,0.0282,absent,no,0,bottle incl jars
2353002,bottle,boundary,,0.028,absent,no,0,bottle incl jars
2415598,bottle,boundary,,0.0278,absent,no,0,bottle incl jars
2409021,bottle,boundary,,0.0277,absent,no,0,bottle incl jars
2377089,bottle,boundary,,0.0265,absent,no,0,bottle incl jars
2355374,bottle,boundary,,0.0259,absent,no,0,bottle incl jars
2403697,bottle,boundary,,0.0258,absent,no,0,bottle incl jars
2337087,bottle,boundary,,0.0256,absent,no,0,bottle incl jars
2360756,bottle,boundary,,0.0255,absent,no,0,bottle incl jars
150327,bottle,boundary,,0.0255,absent,no,0,bottle incl jars
2370714,bottle,boundary,,0.0243,absent,no,0,bottle incl jars
2385600,bottle,boundary,,0.0242,absent,no,0,bottle incl jars
2396609,bottle,boundary,,0.0241,absent,no,0,bottle incl jars
2409699,bottle,boundary,,0.0237,absent,no,0,bottle incl jars
2317040,bottle,boundary,,0.0232,absent,no,0,bottle incl jars
2372457,bottle,boundary,,0.0231,absent,no,0,bottle incl jars
2399464,bottle,boundary,,0.0227,absent,no,0,bottle incl jars
