image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2407927,bowl,boundary,,0.0656,absent,no,0,bowl incl plates and food containers not wrappers
2398108,bowl,boundary,,0.0643,absent,no,0,bowl incl plates and food containers not wrappers
2342300,bowl,boundary,,0.0596,absent,no,0,bowl incl plates and food containers not wrappers
2327550,bowl,boundary,,0.0582,absent,no,0,bowl incl plates and food containers not wrappers
2393005,bowl,boundary,,0.0566,absent,no,0,bowl incl plates and food containers not wrappers
2338112,bowl,boundary,,0.055,absent,no,0,bowl incl plates and food containers not wrappers
2381172,bowl,boundary,,0.0545,absent,no,0,bowl incl plates and food containers not wrappers
2370389,bowl,boundary,,0.0543,absent,no,0,bowl incl plates and food containers not wrappers
2330282,bowl,boundary,,0.0542,absent,no,0,bowl incl plates and food containers not wrappers
2406273,bowl,boundary,,0.0534,absent,no,0,bowl incl plates and food containers not wrappers
2371626,bowl,boundary,,0.0533,absent,no,0,bowl incl plates and food containers not wrappers
1159600,bowl,boundary,,0.0531,absent,no,0,bowl incl plates and food containers not wrappers
2392480,bowl,boundary,,0.0531,absent,no,0,bowl incl plates and food containers not wrappers
2325163,bowl,boundary,,0.0531,absent,no,0,bowl incl plates and food containers not wrappers
2408824,bowl,boundary,,0.0527,absent,no,0,bowl incl plates and food containers not wrappers
2409638,bowl,boundary,,0.0524,absent,no,0,bowl incl plates and food containers not wrappers
2398133,bowl,boundary,,0.0523,absent,no,0,bowl incl plates and food containers not wrappers
713337,bowl,boundary,,0.0522,absent,no,0,bowl incl plates and food containers not wrappers
2364587,bowl,boundary,,0.0519,absent,no,0,bowl incl plates and food containers not wrappers
2335280,bowl,boundary,,0.0515,absent,no,0,bowl incl plates and food containers not wrappers
2325472,bowl,boundary,,0.0513,absent,no,0,bowl incl plates and food containers not wrappers
2353986,bowl,boundary,,0.051,absent,no,0,bowl incl plates and food containers not wrappers
2330522,bowl,boundary,,0.05,absent,no,0,bowl incl plates and food containers not wrappers
2374475,bowl,boundary,,0.0495,absent,no,0,bowl incl plates and food containers not wrappers
2344890,bowl,boundary,,0.0492,absent,no,0,bowl incl plates and food containers not wrappers
2371661,bowl,boundary,,0.049,absent,no,0,bowl incl plates and food containers not wrappers
2406950,bowl,boundary,,0.0483,absent,no,0,bowl incl plates and food containers not wrappers
2331718,bowl,boundary,,0.048,absent,no,0,bowl incl plates and food containers not wrappers
2359283,bowl,boundary,,0.0479,absent,no,0,bowl incl plates and food containers not wrappers
2415598,bowl,boundary,,0.0477,absent,no,0,bowl incl plates and food containers not wrappers
285797,bowl,boundary,,0.0471,absent,no,0,bowl incl plates and food containers not wrappers
2356689,bowl,boundary,,0.047,absent,no,0,bowl incl plates and food containers not wrappers
2332462,bowl,boundary,,0.047,absent,no,0,bowl incl plates and food containers not wrappers
2349553,bowl,boundary,,0.0469,absent,no,0,bowl incl plates and food containers not wrappers
2329399,bowl,boundary,,0.0468,absent,no,0,bowl incl plates and food containers not wrappers
2369583,bowl,boundary,,0.0467,absent,no,0,bowl incl plates and food containers not wrappers
2353092,bowl,boundary,,0.0466,absent,no,0,bowl incl plates and food containers not wrappers
285725,bowl,boundary,,0.0465,absent,no,0,bowl incl plates and food containers not wrappers
2362164,bowl,boundary,,0.0463,absent,no,0,bowl incl plates and food containers not wrappers
2370423,bowl,boundary,,0.046,absent,no,0,bowl incl plates and food containers not wrappers
2363825,bowl,boundary,,0.0458,absent,no,0,bowl incl plates and food containers not wrappers
2406158,bowl,boundary,,0.0452,absent,no,0,bowl incl plates and food containers not wrappers
2380435,bowl,boundary,,0.045,absent,no,0,bowl incl plates and food containers not wrappers
4216,bowl,boundary,,0.044,absent,no,0,bowl incl plates and food containers not wrappers
2404864,bowl,boundary,,0.0437,absent,no,0,bowl incl plates and food containers not wrappers
2362006,bowl,boundary,,0.0435,absent,no,0,bowl incl plates and food containers not wrappers
2370857,bowl,boundary,,0.0433,absent,no,0,bowl incl plates and food containers not wrappers
2340704,bowl,boundary,,0.0431,absent,no,0,bowl incl plates and food containers not wrappers
2409728,bowl,boundary,,0.0429,absent,no,0,bowl incl plates and food containers not wrappers
2331939,bowl,boundary,,0.0426,absent,no,0,bowl incl plates and food containers not wrappers
2370044,bowl,boundary,,0.0421,absent,no,0,bowl incl plates and food containers not wrappers
2386755,bowl,boundary,,0.042,absent,no,0,bowl incl plates and food containers not wrappers
2409143,bowl,boundary,,0.0419,absent,no,0,bowl incl plates and food containers not wrappers
2329904,bowl,boundary,,0.0417,absent,no,0,bowl incl plates and food containers not wrappers
2369101,bowl,boundary,,0.0417,absent,no,0,bowl incl plates and food containers not wrappers
2327098,bowl,boundary,,0.0416,absent,no,0,bowl incl plates and food containers not wrappers
2412014,bowl,boundary,,0.0415,absent,no,0,bowl incl plates and food containers not wrappers
2320058,bowl,boundary,,0.0415,absent,no,0,bowl incl plates and food containers not wrappers
2387942,bowl,boundary,,0.0414,absent,no,0,bowl incl plates and food containers not wrappers
2405023,bowl,boundary,,0.0414,absent,no,0,bowl incl plates and food containers not wrappers
2372350,bowl,boundary,,0.0413,absent,no,0,bowl incl plates and food containers not wrappers
2408975,bowl,boundary,,0.0413,absent,no,0,bowl incl plates and food containers not wrappers
2394921,bowl,boundary,,0.0411,absent,no,0,bowl incl plates and food containers not wrappers
2351883,bowl,boundary,,0.0411,absent,no,0,bowl incl plates and food containers not wrappers
2382288,bowl,boundary,,0.0405,absent,no,0,bowl incl plates and food containers not wrappers
2317100,bowl,boundary,,0.0404,absent,no,0,bowl incl plates and food containers not wrappers
2406467,bowl,boundary,,0.0403,absent,no,0,bowl incl plates and food containers not wrappers
2315910,bowl,boundary,,0.0399,absent,no,0,bowl incl plates and food containers not wrappers
2400262,bowl,boundary,,0.0396,absent,no,0,bowl incl plates and food containers not wrappers
498049,bowl,boundary,,0.0396,absent,no,0,bowl incl plates and food containers not wrappers
2339146,bowl,boundary,,0.0393,absent,no,0,bowl incl plates and food containers not wrappers
2414532,bowl,boundary,,0.0392,absent,no,0,bowl incl plates and food containers not wrappers
2394386,bowl,boundary,,0.0391,absent,no,0,bowl incl plates and food containers not wrappers
2412065,bowl,boundary,,0.0389,absent,no,0,bowl incl plates and food containers not wrappers
2414617,bowl,boundary,,0.0388,absent,no,0,bowl incl plates and food containers not wrappers
2359135,bowl,boundary,,0.0388,absent,no,0,bowl incl plates and food containers not wrappers
2370222,bowl,boundary,,0.0384,absent,no,0,bowl incl plates and food containers not wrappers
2407423,bowl,boundary,,0.0384,absent,no,0,bowl incl plates and food containers not wrappers
2331516,bowl,boundary,,0.0383,absent,no,0,bowl incl plates and food containers not wrappers
2398885,bowl,boundary,,0.0382,absent,no,0,bowl incl plates and food containers not wrappers
1592203,bowl,boundary,,0.0382,absent,no,0,bowl incl plates and food containers not wrappers
2391819,bowl,boundary,,0.0379,absent,no,0,bowl incl plates and food containers not wrappers
2323106,bowl,boundary,,0.0379,absent,no,0,bowl incl plates and food containers not wrappers
2407306,bowl,boundary,,0.0378,absent,no,0,bowl incl plates and food containers not wrappers
2329367,bowl,boundary,,0.0374,absent,no,0,bowl incl plates and food containers not wrappers
2403305,bowl,boundary,,0.0374,absent,no,0,bowl incl plates and food containers not wrappers
2402874,bowl,boundary,,0.0371,absent,no,0,bowl incl plates and food containers not wrappers
2417784,bowl,boundary,,0.0371,absent,no,0,bowl incl plates and food containers not wrappers
2780,bowl,boundary,,0.0371,absent,no,0,bowl incl plates and food containers not wrappers
2409347,bowl,boundary,,0.0369,absent,no,0,bowl incl plates and food containers not wrappers
2399091,bowl,boundary,,0.0367,absent,no,0,bowl incl plates and food containers not wrappers
2416679,bowl,boundary,,0.0367,absent,no,0,bowl incl plates and food containers not wrappers
2387168,bowl,boundary,,0.0367,absent,no,0,bowl incl plates and food containers not wrappers
1159536,bowl,boundary,,0.0365,absent,no,0,bowl incl plates and food containers not wrappers
2388893,bowl,boundary,,0.0365,absent,no,0,bowl incl plates and food containers not wrappers
2434,bowl,boundary,,0.0364,absent,no,0,bowl incl plates and food containers not wrappers
2318471,bowl,boundary,,0.0361,absent,no,0,bowl incl plates and food containers not wrappers
2320235,bowl,boundary,,0.0361,absent,no,0,bowl incl plates and food containers not wrappers
2372724,bowl,boundary,,0.0361,absent,no,0,bowl incl plates and food containers not wrappers
2358144,bowl,boundary,,0.036,absent,no,0,bowl incl plates and food containers not wrappers
2326791,bowl,boundary,,0.0358,absent,no,0,bowl incl plates and food containers not wrappers
3593,bowl,boundary,,0.0358,absent,no,0,bowl incl plates and food containers not wrappers
2394060,bowl,boundary,,0.0358,absent,no,0,bowl incl plates and food containers not wrappers
2938,bowl,boundary,,0.0358,absent,no,0,bowl incl plates and food containers not wrappers
2400101,bowl,boundary,,0.0356,absent,no,0,bowl incl plates and food containers not wrappers
2341277,bowl,boundary,,0.0356,absent,no,0,bowl incl plates and food containers not wrappers
2341035,bowl,boundary,,0.0355,absent,no,0,bowl incl plates and food containers not wrappers
2337087,bowl,boundary,,0.0354,absent,no,0,bowl incl plates and food containers not wrappers
2389861,bowl,boundary,,0.0353,absent,no,0,bowl incl plates and food containers not wrappers
2375334,bowl,boundary,,0.0352,absent,no,0,bowl incl plates and food containers not wrappers
2359264,bowl,boundary,,0.035,absent,no,0,bowl incl plates and food containers not wrappers
2329926,bowl,boundary,,0.035,absent,no,0,bowl incl plates and food containers not wrappers
2321672,bowl,boundary,,0.0348,absent,no,0,bowl incl plates and food containers not wrappers
2402722,bowl,boundary,,0.0347,absent,no,0,bowl incl plates and food containers not wrappers
2367917,bowl,boundary,,0.0347,absent,no,0,bowl incl plates and food containers not wrappers
2372819,bowl,boundary,,0.0346,absent,no,0,bowl incl plates and food containers not wrappers
2389243,bowl,boundary,,0.0346,absent,no,0,bowl incl plates and food containers not wrappers
2982,bowl,boundary,,0.0345,absent,no,0,bowl incl plates and food containers not wrappers
2343815,bowl,boundary,,0.0345,absent,no,0,bowl incl plates and food containers not wrappers
2378387,bowl,boundary,,0.0344,absent,no,0,bowl incl plates and food containers not wrappers
2389084,bowl,boundary,,0.0343,absent,no,0,bowl incl plates and food containers not wrappers
2390771,bowl,boundary,,0.0341,absent,no,0,bowl incl plates and food containers not wrappers
2394634,bowl,boundary,,0.0341,absent,no,0,bowl incl plates and food containers not wrappers
2319673,bowl,boundary,,0.034,absent,no,0,bowl incl plates and food containers not wrappers
2344503,bowl,boundary,,0.034,absent,no,0,bowl incl plates and food containers not wrappers
2381463,bowl,boundary,,0.0339,absent,no,0,bowl incl plates and food containers not wrappers
2406531,bowl,boundary,,0.0338,absent,no,0,bowl incl plates and food containers not wrappers
2317826,bowl,boundary,,0.0336,absent,no,0,bowl incl plates and food containers not wrappers
2371124,bowl,boundary,,0.0334,absent,no,0,bowl incl plates and food containers not wrappers
2384768,bowl,boundary,,0.0334,absent,no,0,bowl incl plates and food containers not wrappers
2393561,bowl,boundary,,0.0334,absent,no,0,bowl incl plates and food containers not wrappers
2402185,bowl,boundary,,0.0333,absent,no,0,bowl incl plates and food containers not wrappers
2326762,bowl,boundary,,0.0332,absent,no,0,bowl incl plates and food containers not wrappers
2323936,bowl,boundary,,0.0332,absent,no,0,bowl incl plates and food containers not wrappers
2384318,bowl,boundary,,0.0332,absent,no,0,bowl incl plates and food containers not wrappers
2363003,bowl,boundary,,0.0331,absent,no,0,bowl incl plates and food containers not wrappers
2352911,bowl,boundary,,0.0331,absent,no,0,bowl incl plates and food containers not wrappers
2329999,bowl,boundary,,0.0329,absent,no,0,bowl incl plates and food containers not wrappers
2379036,bowl,boundary,,0.0328,absent,no,0,bowl incl plates and food containers not wrappers
2373503,bowl,boundary,,0.0328,absent,no,0,bowl incl plates and food containers not wrappers
2391444,bowl,boundary,,0.0328,absent,no,0,bowl incl plates and food containers not wrappers
2320090,bowl,boundary,,0.0328,absent,no,0,bowl incl plates and food containers not wrappers
2402201,bowl,boundary,,0.0327,absent,no,0,bowl incl plates and food containers not wrappers
2316157,bowl,boundary,,0.0323,absent,no,0,bowl incl plates and food containers not wrappers
2338258,bowl,boundary,,0.0321,absent,no,0,bowl incl plates and food containers not wrappers
2396302,bowl,boundary,,0.0319,absent,no,0,bowl incl plates and food containers not wrappers
2383448,bowl,boundary,,0.0318,absent,no,0,bowl incl plates and food containers not wrappers
2353002,bowl,boundary,,0.0318,absent,no,0,bowl incl plates and food containers not wrappers
2363340,bowl,boundary,,0.0315,absent,no,0,bowl incl plates and food containers not wrappers
2348751,bowl,boundary,,0.0314,absent,no,0,bowl incl plates and food containers not wrappers
2318003,bowl,boundary,,0.0314,absent,no,0,bowl incl plates and food containers not wrappers
2341861,bowl,boundary,,0.0314,absent,no,0,bowl incl plates and food containers not wrappers
2375837,bowl,boundary,,0.0312,absent,no,0,bowl incl plates and food containers not wrappers
2379894,bowl,boundary,,0.0312,absent,no,0,bowl incl plates and food containers not wrappers
2404211,bowl,boundary,,0.0312,absent,no,0,bowl incl plates and food containers not wrappers
2343722,bowl,boundary,,0.0311,absent,no,0,bowl incl plates and food containers not wrappers
2349351,bowl,boundary,,0.031,absent,no,0,bowl incl plates and food containers not wrappers
2346597,bowl,boundary,,0.0309,absent,no,0,bowl incl plates and food containers not wrappers
2363245,bowl,boundary,,0.0308,absent,no,0,bowl incl plates and food containers not wrappers
2411326,bowl,boundary,,0.0308,absent,no,0,bowl incl plates and food containers not wrappers
2391360,bowl,boundary,,0.0706,absent,yes,0,bowl incl plates and food containers not wrappers
2338949,bowl,boundary,,0.0645,absent,yes,0,bowl incl plates and food containers not wrappers
2398287,bowl,boundary,,0.0614,absent,yes,0,bowl incl plates and food containers not wrappers
2318871,bowl,boundary,,0.0612,absent,yes,0,bowl incl plates and food containers not wrappers
2415555,bowl,boundary,,0.0578,absent,yes,0,bowl incl plates and food containers not wrappers
2334034,bowl,boundary,,0.0569,absent,yes,0,bowl incl plates and food containers not wrappers
2321763,bowl,boundary,,0.0558,absent,yes,0,bowl incl plates and food containers not wrappers
2347372,bowl,boundary,,0.0552,absent,yes,0,bowl incl plates and food containers not wrappers
2346557,bowl,boundary,,0.0547,absent,yes,0,bowl incl plates and food containers not wrappers
2384911,bowl,boundary,,0.0533,absent,yes,0,bowl incl plates and food containers not wrappers
2315628,bowl,boundary,,0.0528,absent,yes,0,bowl incl plates and food containers not wrappers
2391032,bowl,boundary,,0.0528,absent,yes,0,bowl incl plates and food containers not wrappers
2400821,bowl,boundary,,0.0527,absent,yes,0,bowl incl plates and food containers not wrappers
2407664,bowl,boundary,,0.0526,absent,yes,0,bowl incl plates and food containers not wrappers
2409590,bowl,boundary,,0.051,absent,yes,0,bowl incl plates and food containers not wrappers
2323925,bowl,boundary,,0.0503,absent,yes,0,bowl incl plates and food containers not wrappers
2315488,bowl,boundary,,0.0502,absent,yes,0,bowl incl plates and food containers not wrappers
2393387,bowl,boundary,,0.0492,absent,yes,0,bowl incl plates and food containers not wrappers
150326,bowl,boundary,,0.0491,absent,yes,0,bowl incl plates and food containers not wrappers
2412669,bowl,boundary,,0.0483,absent,yes,0,bowl incl plates and food containers not wrappers
2408671,bowl,boundary,,0.048,absent,yes,0,bowl incl plates and food containers not wrappers
2373197,bowl,boundary,,0.0479,absent,yes,0,bowl incl plates and food containers not wrappers
2396332,bowl,boundary,,0.0479,absent,yes,0,bowl incl plates and food containers not wrappers
2371567,bowl,boundary,,0.0478,absent,yes,0,bowl incl plates and food containers not wrappers
2319928,bowl,boundary,,0.0476,absent,yes,0,bowl incl plates and food containers not wrappers
2359423,bowl,boundary,,0.0476,absent,yes,0,bowl incl plates and food containers not wrappers
2372816,bowl,boundary,,0.0469,absent,yes,0,bowl incl plates and food containers not wrappers
2330628,bowl,boundary,,0.0468,absent,yes,0,bowl incl plates and food containers not wrappers
2398029,bowl,boundary,,0.0464,absent,yes,0,bowl incl plates and food containers not wrappers
2410270,bowl,boundary,,0.0463,absent,yes,0,bowl incl plates and food containers not wrappers
2324347,bowl,boundary,,0.0459,absent,yes,0,bowl incl plates and food containers not wrappers
2397746,bowl,boundary,,0.0459,absent,yes,0,bowl incl plates and food containers not wrappers
2402068,bowl,boundary,,0.0455,absent,yes,0,bowl incl plates and food containers not wrappers
2386489,bowl,boundary,,0.0452,absent,yes,0,bowl incl plates and food containers not wrappers
2406789,bowl,boundary,,0.045,absent,yes,0,bowl incl plates and food containers not wrappers
2375571,bowl,boundary,,0.0445,absent,yes,0,bowl incl plates and food containers not wrappers
2390216,bowl,boundary,,0.0439,absent,yes,0,bowl incl plates and food containers not wrappers
2409788,bowl,boundary,,0.0438,absent,yes,0,bowl incl plates and food containers not wrappers
2359372,bowl,boundary,,0.0433,absent,yes,0,bowl incl plates and food containers not wrappers
2356966,bowl,boundary,,0.043,absent,yes,0,bowl incl plates and food containers not wrappers
2327334,bowl,random,,0.0045,absent,no,0,bowl incl plates and food containers not wrappers
2394530,bowl,random,,-0.0012,absent,no,0,bowl incl plates and food containers not wrappers
2352949,bowl,random,,0.0279,absent,no,0,bowl incl plates and food containers not wrappers
2316989,bowl,random,,-0.0306,absent,no,0,bowl incl plates and food containers not wrappers
