image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2360399,car,boundary,,0.067,absent,no,0,car incl SUVs and minivans
2335149,car,boundary,,0.0586,absent,no,0,car incl SUVs and minivans
2393876,car,boundary,,0.0572,absent,no,0,car incl SUVs and minivans
2384073,car,boundary,,0.0532,absent,no,0,car incl SUVs and minivans
2382053,car,boundary,,0.0531,absent,no,0,car incl SUVs and minivans
1592588,car,boundary,,0.0528,absent,no,0,car incl SUVs and minivans
2403272,car,boundary,,0.0528,absent,no,0,car incl SUVs and minivans
2318953,car,boundary,,0.0517,absent,no,0,car incl SUVs and minivans
2332432,car,boundary,,0.0491,absent,no,0,car incl SUVs and minivans
2322687,car,boundary,,0.0488,absent,no,0,car incl SUVs and minivans
2334129,car,boundary,,0.0485,absent,no,0,car incl SUVs and minivans
703,car,boundary,,0.0473,absent,no,0,car incl SUVs and minivans
3228,car,boundary,,0.0472,absent,no,0,car incl SUVs and minivans
2396831,car,boundary,,0.0461,absent,no,0,car incl SUVs and minivans
2391183,car,boundary,,0.0448,absent,no,0,car incl SUVs and minivans
2369928,car,boundary,,0.0437,absent,no,0,car incl SUVs and minivans
2331048,car,boundary,,0.0437,absent,no,0,car incl SUVs and minivans
2400,car,boundary,,0.0418,absent,no,0,car incl SUVs and minivans
2381531,car,boundary,,0.0416,absent,no,0,car incl SUVs and minivans
2407008,car,boundary,,0.0416,absent,no,0,car incl SUVs and minivans
2394991,car,boundary,,0.0406,absent,no,0,car incl SUVs and minivans
2326806,car,boundary,,0.0405,absent,no,0,car incl SUVs and minivans
2409680,car,boundary,,0.0403,absent,no,0,car incl SUVs and minivans
312,car,boundary,,0.0399,absent,no,0,car incl SUVs and minivans
2399870,car,boundary,,0.0399,absent,no,0,car incl SUVs and minivans
1160088,car,boundary,,0.0397,absent,no,0,car incl SUVs and minivans
2357224,car,boundary,,0.0395,absent,no,0,car incl SUVs and minivans
2261,car,boundary,,0.0378,absent,no,0,car incl SUVs and minivans
2346624,car,boundary,,0.0376,absent,no,0,car incl SUVs and minivans
2380874,car,boundary,,0.0376,absent,no,0,car incl SUVs and minivans
2344628,car,boundary,,0.0375,absent,no,0,car incl SUVs and minivans
702,car,boundary,,0.0374,absent,no,0,car incl SUVs and minivans
2386998,car,boundary,,0.037,absent,no,0,car incl SUVs and minivans
2346929,car,boundary,,0.0369,absent,no,0,car incl SUVs and minivans
2347422,car,boundary,,0.0368,absent,no,0,car incl SUVs and minivans
150314,car,boundary,,0.0367,absent,no,0,car incl SUVs and minivans
2402381,car,boundary,,0.036,absent,no,0,car incl SUVs and minivans
1592114,car,boundary,,0.0354,absent,no,0,car incl SUVs and minivans
107948,car,boundary,,0.035,absent,no,0,car incl SUVs and minivans
2414696,car,boundary,,0.0348,absent,no,0,car incl SUVs and minivans
2367739,car,boundary,,0.0344,absent,no,0,car incl SUVs and minivans
2409877,car,boundary,,0.0344,absent,no,0,car incl SUVs and minivans
2401873,car,boundary,,0.034,absent,no,0,car incl SUVs and minivans
2323132,car,boundary,,0.0337,absent,no,0,car incl SUVs and minivans
2231,car,boundary,,0.0337,absent,no,0,car incl SUVs and minivans
2396256,car,boundary,,0.0336,absent,no,0,car incl SUVs and minivans
2360718,car,boundary,,0.0334,absent,no,0,car incl SUVs and minivans
2398805,car,boundary,,0.0333,absent,no,0,car incl SUVs and minivans
2411445,car,boundary,,0.0333,absent,no,0,car incl SUVs and minivans
2378291,car,boundary,,0.033,absent,no,0,car incl SUVs and minivans
2368275,car,boundary,,0.0327,absent,no,0,car incl SUVs and minivans
2324742,car,boundary,,0.0327,absent,no,0,car incl SUVs and minivans
2376171,car,boundary,,0.0323,absent,no,0,car incl SUVs and minivans
2318011,car,boundary,,0.032,absent,no,0,car incl SUVs and minivans
2368262,car,boundary,,0.0319,absent,no,0,car incl SUVs and minivans
2366195,car,boundary,,0.0319,absent,no,0,car incl SUVs and minivans
2404001,car,boundary,,0.0316,absent,no,0,car incl SUVs and minivans
2357109,car,boundary,,0.0315,absent,no,0,car incl SUVs and minivans
2395687,car,boundary,,0.0315,absent,no,0,car incl SUVs and minivans
2394600,car,boundary,,0.0315,absent,no,0,car incl SUVs and minivans
2412923,car,boundary,,0.0313,absent,no,0,car incl SUVs and minivans
2380708,car,boundary,,0.0313,absent,no,0,car incl SUVs and minivans
1160144,car,boundary,,0.0309,absent,no,0,car incl SUVs and minivans
1802,car,boundary,,0.0303,absent,no,0,car incl SUVs and minivans
2325923,car,boundary,,0.0298,absent,no,0,car incl SUVs and minivans
2355927,car,boundary,,0.0297,absent,no,0,car incl SUVs and minivans
1556,car,boundary,,0.0293,absent,no,0,car incl SUVs and minivans
4714,car,boundary,,0.0293,absent,no,0,car incl SUVs and minivans
2407548,car,boundary,,0.0293,absent,no,0,car incl SUVs and minivans
2343351,car,boundary,,0.0287,absent,no,0,car incl SUVs and minivans
2408753,car,boundary,,0.0286,absent,no,0,car incl SUVs and minivans
2315796,car,boundary,,0.0284,absent,no,0,car incl SUVs and minivans
2364161,car,boundary,,0.0284,absent,no,0,car incl SUVs and minivans
2586,car,boundary,,0.0283,absent,no,0,car incl SUVs and minivans
2390933,car,boundary,,0.0282,absent,no,0,car incl SUVs and minivans
4119,car,boundary,,0.0282,absent,no,0,car incl SUVs and minivans
2337673,car,boundary,,0.028,absent,no,0,car incl SUVs and minivans
2320106,car,boundary,,0.0279,absent,no,0,car incl SUVs and minivans
2350656,car,boundary,,0.0279,absent,no,0,car incl SUVs and minivans
2400514,car,boundary,,0.0278,absent,no,0,car incl SUVs and minivans
2324044,car,boundary,,0.0276,absent,no,0,car incl SUVs and minivans
1423,car,boundary,,0.0275,absent,no,0,car incl SUVs and minivans
3366,car,boundary,,0.0275,absent,no,0,car incl SUVs and minivans
2415184,car,boundary,,0.0275,absent,no,0,car incl SUVs and minivans
2404999,car,boundary,,0.0273,absent,no,0,car incl SUVs and minivans
56,car,boundary,,0.0273,absent,no,0,car incl SUVs and minivans
2368650,car,boundary,,0.0272,absent,no,0,car incl SUVs and minivans
2358407,car,boundary,,0.0265,absent,no,0,car incl SUVs and minivans
2323933,car,boundary,,0.0264,absent,no,0,car incl SUVs and minivans
2370880,car,boundary,,0.0264,absent,no,0,car incl SUVs and minivans
1159919,car,boundary,,0.0263,absent,no,0,car incl SUVs and minivans
2325067,car,boundary,,0.0258,absent,no,0,car incl SUVs and minivans
2388098,car,boundary,,0.0256,absent,no,0,car incl SUVs and minivans
2378474,car,boundary,,0.0255,absent,no,0,car incl SUVs and minivans
2401386,car,boundary,,0.0254,absent,no,0,car incl SUVs and minivans
1592575,car,boundary,,0.0251,absent,no,0,car incl SUVs and minivans
2417980,car,boundary,,0.0248,absent,no,0,car incl SUVs and minivans
2358724,car,boundary,,0.0247,absent,no,0,car incl SUVs and minivans
2390436,car,boundary,,0.0246,absent,no,0,car incl SUVs and minivans
1592771,car,boundary,,0.0243,absent,no,0,car incl SUVs and minivans
1908,car,boundary,,0.0243,absent,no,0,car incl SUVs and minivans
2416902,car,boundary,,0.0243,absent,no,0,car incl SUVs and minivans
2414448,car,boundary,,0.0242,absent,no,0,car incl SUVs and minivans
2347532,car,boundary,,0.0241,absent,no,0,car incl SUVs and minivans
2397370,car,boundary,,0.0241,absent,no,0,car incl SUVs and minivans
2399183,car,boundary,,0.024,absent,no,0,car incl SUVs and minivans
2373903,car,boundary,,0.024,absent,no,0,car incl SUVs and minivans
2327380,car,boundary,,0.0235,absent,no,0,car incl SUVs and minivans
713083,car,boundary,,0.0233,absent,no,0,car incl SUVs and minivans
498364,car,boundary,,0.0232,absent,no,0,car incl SUVs and minivans
2400450,car,boundary,,0.0232,absent,no,0,car incl SUVs and minivans
3464,car,boundary,,0.0231,absent,no,0,car incl SUVs and minivans
713062,car,boundary,,0.023,absent,no,0,car incl SUVs and minivans
2352773,car,boundary,,0.0229,absent,no,0,car incl SUVs and minivans
2322828,car,boundary,,0.0226,absent,no,0,car incl SUVs and minivans
2399773,car,boundary,,0.0226,absent,no,0,car incl SUVs and minivans
498142,car,boundary,,0.0223,absent,no,0,car incl SUVs and minivans
2328712,car,boundary,,0.0223,absent,no,0,car incl SUVs and minivans
2331335,car,boundary,,0.0222,absent,no,0,car incl SUVs and minivans
2409796,car,boundary,,0.0222,absent,no,0,car incl SUVs and minivans
2337901,car,boundary,,0.0222,absent,no,0,car incl SUVs and minivans
2394368,car,boundary,,0.0221,absent,no,0,car incl SUVs and minivans
1592557,car,boundary,,0.0221,absent,no,0,car incl SUVs and minivans
2395979,car,boundary,,0.022,absent,no,0,car incl SUVs and minivans
2398041,car,boundary,,0.0219,absent,no,0,car incl SUVs and minivans
2387576,car,boundary,,0.0219,absent,no,0,car incl SUVs and minivans
2373503,car,boundary,,0.0217,absent,no,0,car incl SUVs and minivans
2317509,car,boundary,,0.0215,absent,no,0,car incl SUVs and minivans
2370481,car,boundary,,0.0213,absent,no,0,car incl SUVs and minivans
2319427,car,boundary,,0.0209,absent,no,0,car incl SUVs and minivans
2335445,car,boundary,,0.0208,absent,no,0,car incl SUVs and minivans
