image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2361957,cell phone,boundary,,0.1115,absent,no,0,cell phone not landlines
2334641,cell phone,boundary,,0.1102,absent,no,0,cell phone not landlines
107908,cell phone,boundary,,0.0787,absent,no,0,cell phone not landlines
2361029,cell phone,boundary,,0.0758,absent,no,0,cell phone not landlines
2381190,cell phone,boundary,,0.0744,absent,no,0,cell phone not landlines
1986,cell phone,boundary,,0.0639,absent,no,0,cell phone not landlines
1159560,cell phone,boundary,,0.0609,absent,no,0,cell phone not landlines
2392709,cell phone,boundary,,0.0532,absent,no,0,cell phone not landlines
2385586,cell phone,boundary,,0.0436,absent,no,0,cell phone not landlines
2331335,cell phone,boundary,,0.0435,absent,no,0,cell phone not landlines
2333132,cell phone,boundary,,0.041,absent,no,0,cell phone not landlines
3546,cell phone,boundary,,0.0403,absent,no,0,cell phone not landlines
2385084,cell phone,boundary,,0.0378,absent,no,0,cell phone not landlines
2389955,cell phone,boundary,,0.0369,absent,no,0,cell phone not landlines
4119,cell phone,boundary,,0.0362,absent,no,0,cell phone not landlines
2391817,cell phone,boundary,,0.036,absent,no,0,cell phone not landlines
2374224,cell phone,boundary,,0.0359,absent,no,0,cell phone not landlines
2382944,cell phone,boundary,,0.0353,absent,no,0,cell phone not landlines
713057,cell phone,boundary,,0.0351,absent,no,0,cell phone not landlines
2350085,cell phone,boundary,,0.0327,absent,no,0,cell phone not landlines
2316989,cell phone,boundary,,0.0319,absent,no,0,cell phone not landlines
2328360,cell phone,boundary,,0.0317,absent,no,0,cell phone not landlines
2323502,cell phone,boundary,,0.0313,absent,no,0,cell phone not landlines
2365126,cell phone,boundary,,0.031,absent,no,0,cell phone not landlines
2400917,cell phone,boundary,,0.0305,absent,no,0,cell phone not landlines
2368618,cell phone,boundary,,0.0296,absent,no,0,cell phone not landlines
2399824,cell phone,boundary,,0.0295,absent,no,0,cell phone not landlines
1592588,cell phone,boundary,,0.0288,absent,no,0,cell phone not landlines
2367,cell phone,boundary,,0.0287,absent,no,0,cell phone not landlines
2385956,cell phone,boundary,,0.0285,absent,no,0,cell phone not landlines
2406885,cell phone,boundary,,0.0285,absent,no,0,cell phone not landlines
2354355,cell phone,boundary,,0.0284,absent,no,0,cell phone not landlines
2388336,cell phone,boundary,,0.0283,absent,no,0,cell phone not landlines
2386056,cell phone,boundary,,0.0282,absent,no,0,cell phone not landlines
2371208,cell phone,boundary,,0.028,absent,no,0,cell phone not landlines
2360753,cell phone,boundary,,0.028,absent,no,0,cell phone not landlines
2407642,cell phone,boundary,,0.0275,absent,no,0,cell phone not landlines
2372953,cell phone,boundary,,0.0266,absent,no,0,cell phone not landlines
2316790,cell phone,boundary,,0.0264,absent,no,0,cell phone not landlines
2384968,cell phone,boundary,,0.0261,absent,no,0,cell phone not landlines
2334354,cell phone,boundary,,0.0257,absent,no,0,cell phone not landlines
2322731,cell phone,boundary,,0.0249,absent,no,0,cell phone not landlines
2376326,cell phone,boundary,,0.0248,absent,no,0,cell phone not landlines
3402,cell phone,boundary,,0.0239,absent,no,0,cell phone not landlines
2336186,cell phone,boundary,,0.0229,absent,no,0,cell phone not landlines
3561,cell phone,boundary,,0.0229,absent,no,0,cell phone not landlines
2403697,cell phone,boundary,,0.0221,absent,no,0,cell phone not landlines
2408107,cell phone,boundary,,0.022,absent,no,0,cell phone not landlines
2412923,cell phone,boundary,,0.0218,absent,no,0,cell phone not landlines
2343784,cell phone,boundary,,0.0217,absent,no,0,cell phone not landlines
2413072,cell phone,boundary,,0.0215,absent,no,0,cell phone not landlines
2323361,cell phone,boundary,,0.0214,absent,no,0,cell phone not landlines
2327380,cell phone,boundary,,0.0213,absent,no,0,cell phone not landlines
127,cell phone,boundary,,0.0207,absent,no,0,cell phone not landlines
2321827,cell phone,boundary,,0.0206,absent,no,0,cell phone not landlines
2402381,cell phone,boundary,,0.0206,absent,no,0,cell phone not landlines
2402185,cell phone,boundary,,0.0203,absent,no,0,cell phone not landlines
2407548,cell phone,boundary,,0.0201,absent,no,0,cell phone not landlines
1159755,cell phone,boundary,,0.02,absent,no,0,cell phone not landlines
148,cell phone,boundary,,0.0198,absent,no,0,cell phone not landlines
2382826,cell phone,boundary,,0.0197,absent,no,0,cell phone not landlines
2334598,cell phone,boundary,,0.0197,absent,no,0,cell phone not landlines
2416228,cell phone,boundary,,0.0195,absent,no,0,cell phone not landlines
2331786,cell phone,boundary,,0.0195,absent,no,0,cell phone not landlines
2317476,cell phone,boundary,,0.0195,absent,no,0,cell phone not landlines
2367538,cell phone,boundary,,0.0195,absent,no,0,cell phone not landlines
