image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
3561,chair,boundary,,0.0818,absent,no,0,chair incl stools not couches
2347667,chair,boundary,,0.0718,absent,no,0,chair incl stools not couches
2092,chair,boundary,,0.0564,absent,no,0,chair incl stools not couches
1990,chair,boundary,,0.0556,absent,no,0,chair incl stools not couches
2367980,chair,boundary,,0.0524,absent,no,0,chair incl stools not couches
2409456,chair,boundary,,0.0514,absent,no,0,chair incl stools not couches
2006,chair,boundary,,0.0493,absent,no,0,chair incl stools not couches
2374321,chair,boundary,,0.049,absent,no,0,chair incl stools not couches
2369945,chair,boundary,,0.0474,absent,no,0,chair incl stools not couches
2341890,chair,boundary,,0.0468,absent,no,0,chair incl stools not couches
2336186,chair,boundary,,0.0457,absent,no,0,chair incl stools not couches
2354386,chair,boundary,,0.0456,absent,no,0,chair incl stools not couches
2409899,chair,boundary,,0.0454,absent,no,0,chair incl stools not couches
1592248,chair,boundary,,0.0452,absent,no,0,chair incl stools not couches
2339286,chair,boundary,,0.0451,absent,no,0,chair incl stools not couches
2350301,chair,boundary,,0.0451,absent,no,0,chair incl stools not couches
2364933,chair,boundary,,0.0448,absent,no,0,chair incl stools not couches
2334506,chair,boundary,,0.0437,absent,no,0,chair incl stools not couches
934,chair,boundary,,0.0429,absent,no,0,chair incl stools not couches
2374526,chair,boundary,,0.0422,absent,no,0,chair incl stools not couches
2350085,chair,boundary,,0.0417,absent,no,0,chair incl stools not couches
2324180,chair,boundary,,0.0416,absent,no,0,chair incl stools not couches
1591864,chair,boundary,,0.0412,absent,no,0,chair incl stools not couches
2375327,chair,boundary,,0.0406,absent,no,0,chair incl stools not couches
2341082,chair,boundary,,0.0392,absent,no,0,chair incl stools not couches
2372324,chair,boundary,,0.0389,absent,no,0,chair incl stools not couches
249,chair,boundary,,0.0384,absent,no,0,chair incl stools not couches
2335306,chair,boundary,,0.0382,absent,no,0,chair incl stools not couches
2352730,chair,boundary,,0.0375,absent,no,0,chair incl stools not couches
713547,chair,boundary,,0.0373,absent,no,0,chair incl stools not couches
2412014,chair,boundary,,0.0373,absent,no,0,chair incl stools not couches
