image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
4825,cup,boundary,,0.0842,absent,no,0,cup incl mugs and glasses not stemware
2434,cup,boundary,,0.0635,absent,no,0,cup incl mugs and glasses not stemware
2378588,cup,boundary,,0.0597,absent,no,0,cup incl mugs and glasses not stemware
2397618,cup,boundary,,0.059,absent,no,0,cup incl mugs and glasses not stemware
2339026,cup,boundary,,0.058,absent,no,0,cup incl mugs and glasses not stemware
2372350,cup,boundary,,0.056,absent,no,0,cup incl mugs and glasses not stemware
910,cup,boundary,,0.0543,absent,no,0,cup incl mugs and glasses not stemware
2377395,cup,boundary,,0.0503,absent,no,0,cup incl mugs and glasses not stemware
2407927,cup,boundary,,0.0501,absent,no,0,cup incl mugs and glasses not stemware
2404734,cup,boundary,,0.05,absent,no,0,cup incl mugs and glasses not stemware
2414323,cup,boundary,,0.0477,absent,no,0,cup incl mugs and glasses not stemware
2324971,cup,boundary,,0.0475,absent,no,0,cup incl mugs and glasses not stemware
2319673,cup,boundary,,0.0473,absent,no,0,cup incl mugs and glasses not stemware
2340704,cup,boundary,,0.0458,absent,no,0,cup incl mugs and glasses not stemware
2398108,cup,boundary,,0.045,absent,no,0,cup incl mugs and glasses not stemware
2415598,cup,boundary,,0.0447,absent,no,0,cup incl mugs and glasses not stemware
2409813,cup,boundary,,0.0438,absent,no,0,cup incl mugs and glasses not stemware
2409021,cup,boundary,,0.0437,absent,no,0,cup incl mugs and glasses not stemware
2358304,cup,boundary,,0.0435,absent,no,0,cup incl mugs and glasses not stemware
2411208,cup,boundary,,0.0434,absent,no,0,cup incl mugs and glasses not stemware
2343490,cup,boundary,,0.0434,absent,no,0,cup incl mugs and glasses not stemware
2330522,cup,boundary,,0.0431,absent,no,0,cup incl mugs and glasses not stemware
2380435,cup,boundary,,0.043,absent,no,0,cup incl mugs and glasses not stemware
2409401,cup,boundary,,0.0426,absent,no,0,cup incl mugs and glasses not stemware
2349553,cup,boundary,,0.0424,absent,no,0,cup incl mugs and glasses not stemware
2327550,cup,boundary,,0.042,absent,no,0,cup incl mugs and glasses not stemware
2395599,cup,boundary,,0.0418,absent,no,0,cup incl mugs and glasses not stemware
2340984,cup,boundary,,0.0417,absent,no,0,cup incl mugs and glasses not stemware
2398885,cup,boundary,,0.0414,absent,no,0,cup incl mugs and glasses not stemware
2331421,cup,boundary,,0.0414,absent,no,0,cup incl mugs and glasses not stemware
