image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2382355,fire hydrant,boundary,,0.1256,absent,no,0,fire hydrant not standpipes
2341194,fire hydrant,boundary,,0.1195,absent,no,0,fire hydrant not standpipes
2413733,fire hydrant,boundary,,0.117,absent,no,0,fire hydrant not standpipes
2412392,fire hydrant,boundary,,0.0968,absent,no,0,fire hydrant not standpipes
2330522,fire hydrant,boundary,,0.0636,absent,no,0,fire hydrant not standpipes
2340623,fire hydrant,boundary,,0.057,absent,no,0,fire hydrant not standpipes
2333132,fire hydrant,boundary,,0.0509,absent,no,0,fire hydrant not standpipes
2333976,fire hydrant,boundary,,0.0447,absent,no,0,fire hydrant not standpipes
713057,fire hydrant,boundary,,0.044,absent,no,0,fire hydrant not standpipes
2414448,fire hydrant,boundary,,0.0428,absent,no,0,fire hydrant not standpipes
2377196,fire hydrant,boundary,,0.0421,absent,no,0,fire hydrant not standpipes
2417715,fire hydrant,boundary,,0.0408,absent,no,0,fire hydrant not standpipes
1860,fire hydrant,boundary,,0.0403,absent,no,0,fire hydrant not standpipes
2372724,fire hydrant,boundary,,0.0398,absent,no,0,fire hydrant not standpipes
2367,fire hydrant,boundary,,0.0388,absent,no,0,fire hydrant not standpipes
2938,fire hydrant,boundary,,0.0379,absent,no,0,fire hydrant not standpipes
2346981,fire hydrant,boundary,,0.0369,absent,no,0,fire hydrant not standpipes
2406453,fire hydrant,boundary,,0.0351,absent,no,0,fire hydrant not standpipes
2400917,fire hydrant,boundary,,0.0344,absent,no,0,fire hydrant not standpipes
1159919,fire hydrant,boundary,,0.0339,absent,no,0,fire hydrant not standpipes
2348897,fire hydrant,boundary,,0.0339,absent,no,0,fire hydrant not standpipes
2341514,fire hydrant,boundary,,0.0338,absent,no,0,fire hydrant not standpipes
2414433,fire hydrant,boundary,,0.0334,absent,no,0,fire hydrant not standpipes
2380023,fire hydrant,boundary,,0.0329,absent,no,0,fire hydrant not standpipes
1485,fire hydrant,boundary,,0.0321,absent,no,0,fire hydrant not standpipes
1940,fire hydrant,boundary,,0.032,absent,no,0,fire hydrant not standpipes
2429,fire hydrant,boundary,,0.0318,absent,no,0,fire hydrant not standpipes
2397061,fire hydrant,boundary,,0.0316,absent,no,0,fire hydrant not standpipes
1159536,fire hydrant,boundary,,0.0316,absent,no,0,fire hydrant not standpipes
2336186,fire hydrant,boundary,,0.0315,absent,no,0,fire hydrant not standpipes
2384073,fire hydrant,boundary,,0.0313,absent,no,0,fire hydrant not standpipes
2331335,fire hydrant,boundary,,0.0307,absent,no,0,fire hydrant not standpipes
2382053,fire hydrant,boundary,,0.0304,absent,no,0,fire hydrant not standpipes
2344628,fire hydrant,boundary,,0.0296,absent,no,0,fire hydrant not standpipes
3402,fire hydrant,boundary,,0.0293,absent,no,0,fire hydrant not standpipes
2316381,fire hydrant,boundary,,0.0292,absent,no,0,fire hydrant not standpipes
2350353,fire hydrant,boundary,,0.0291,absent,no,0,fire hydrant not standpipes
1926,fire hydrant,boundary,,0.029,absent,no,0,fire hydrant not standpipes
312,fire hydrant,boundary,,0.0288,absent,no,0,fire hydrant not standpipes
1802,fire hydrant,boundary,,0.0288,absent,no,0,fire hydrant not standpipes
3517,fire hydrant,boundary,,0.0288,absent,no,0,fire hydrant not standpipes
2230,fire hydrant,boundary,,0.0284,absent,no,0,fire hydrant not standpipes
2407670,fire hydrant,boundary,,0.0283,absent,no,0,fire hydrant not standpipes
1423,fire hydrant,boundary,,0.0283,absent,no,0,fire hydrant not standpipes
1862,fire hydrant,boundary,,0.0282,absent,no,0,fire hydrant not standpipes
3831,fire hydrant,boundary,,0.0278,absent,no,0,fire hydrant not standpipes
2327394,fire hydrant,boundary,,0.0273,absent,no,0,fire hydrant not standpipes
3547,fire hydrant,boundary,,0.0269,absent,no,0,fire hydrant not standpipes
2396794,fire hydrant,boundary,,0.0267,absent,no,0,fire hydrant not standpipes
