image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2416679,fork,boundary,,0.0647,absent,no,0,fork incl plastic
2370423,fork,boundary,,0.0602,absent,no,0,fork incl plastic
2396054,fork,boundary,,0.053,absent,no,0,fork incl plastic
2410103,fork,boundary,,0.0525,absent,no,0,fork incl plastic
2367860,fork,boundary,,0.0498,absent,no,0,fork incl plastic
2368150,fork,boundary,,0.0485,absent,no,0,fork incl plastic
2392453,fork,boundary,,0.0483,absent,no,0,fork incl plastic
2360322,fork,boundary,,0.0473,absent,no,0,fork incl plastic
2386549,fork,boundary,,0.0465,absent,no,0,fork incl plastic
2337960,fork,boundary,,0.046,absent,no,0,fork incl plastic
2331505,fork,boundary,,0.0458,absent,no,0,fork incl plastic
2324165,fork,boundary,,0.0453,absent,no,0,fork incl plastic
2363340,fork,boundary,,0.0448,absent,no,0,fork incl plastic
2382558,fork,boundary,,0.0414,absent,no,0,fork incl plastic
2329736,fork,boundary,,0.0411,absent,no,0,fork incl plastic
3872,fork,boundary,,0.041,absent,no,0,fork incl plastic
2407928,fork,boundary,,0.0406,absent,no,0,fork incl plastic
2319047,fork,boundary,,0.0406,absent,no,0,fork incl plastic
2360756,fork,boundary,,0.0404,absent,no,0,fork incl plastic
2404428,fork,boundary,,0.0404,absent,no,0,fork incl plastic
2329789,fork,boundary,,0.0394,absent,no,0,fork incl plastic
2417784,fork,boundary,,0.0391,absent,no,0,fork incl plastic
2331937,fork,boundary,,0.0385,absent,no,0,fork incl plastic
4216,fork,boundary,,0.0376,absent,no,0,fork incl plastic
2346181,fork,boundary,,0.0374,absent,no,0,fork incl plastic
1593122,fork,boundary,,0.0372,absent,no,0,fork incl plastic
2388915,fork,boundary,,0.0371,absent,no,0,fork incl plastic
2357163,fork,boundary,,0.037,absent,no,0,fork incl plastic
2339146,fork,boundary,,0.0368,absent,no,0,fork incl plastic
2316449,fork,boundary,,0.0366,absent,no,0,fork incl plastic
2335811,fork,boundary,,0.0365,absent,no,0,fork incl plastic
1592592,fork,boundary,,0.0364,absent,no,0,fork incl plastic
