image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
285725,sink,boundary,,0.0917,absent,no,0,sink basin not counter
2326762,sink,boundary,,0.085,absent,no,0,sink basin not counter
1593148,sink,boundary,,0.083,absent,no,0,sink basin not counter
2335585,sink,boundary,,0.081,absent,no,0,sink basin not counter
2397152,sink,boundary,,0.0764,absent,no,0,sink basin not counter
2320267,sink,boundary,,0.0742,absent,no,0,sink basin not counter
2369763,sink,boundary,,0.0736,absent,no,0,sink basin not counter
2399091,sink,boundary,,0.0711,absent,no,0,sink basin not counter
2368086,sink,boundary,,0.071,absent,no,0,sink basin not counter
2384075,sink,boundary,,0.07,absent,no,0,sink basin not counter
2327098,sink,boundary,,0.0683,absent,no,0,sink basin not counter
936,sink,boundary,,0.0671,absent,no,0,sink basin not counter
2415598,sink,boundary,,0.0652,absent,no,0,sink basin not counter
2331939,sink,boundary,,0.0641,absent,no,0,sink basin not counter
2380685,sink,boundary,,0.0641,absent,no,0,sink basin not counter
2386755,sink,boundary,,0.0641,absent,no,0,sink basin not counter
2353058,sink,boundary,,0.0629,absent,no,0,sink basin not counter
2363995,sink,boundary,,0.062,absent,no,0,sink basin not counter
2399554,sink,boundary,,0.0616,absent,no,0,sink basin not counter
2393952,sink,boundary,,0.0616,absent,no,0,sink basin not counter
2393420,sink,boundary,,0.061,absent,no,0,sink basin not counter
2341607,sink,boundary,,0.06,absent,no,0,sink basin not counter
2374224,sink,boundary,,0.0593,absent,no,0,sink basin not counter
2356041,sink,boundary,,0.0592,absent,no,0,sink basin not counter
1160015,sink,boundary,,0.0591,absent,no,0,sink basin not counter
4281,sink,boundary,,0.0587,absent,no,0,sink basin not counter
2370044,sink,boundary,,0.0586,absent,no,0,sink basin not counter
2412065,sink,boundary,,0.0576,absent,no,0,sink basin not counter
2323484,sink,boundary,,0.057,absent,no,0,sink basin not counter
2414323,sink,boundary,,0.0551,absent,no,0,sink basin not counter
2411395,sink,boundary,,0.0551,absent,no,0,sink basin not counter
1187,sink,boundary,,0.0549,absent,no,0,sink basin not counter
2365086,sink,boundary,,0.0544,absent,no,0,sink basin not counter
2346307,sink,boundary,,0.0543,absent,no,0,sink basin not counter
2339420,sink,boundary,,0.0534,absent,no,0,sink basin not counter
2392377,sink,boundary,,0.053,absent,no,0,sink basin not counter
2358202,sink,boundary,,0.0525,absent,no,0,sink basin not counter
2381142,sink,boundary,,0.0521,absent,no,0,sink basin not counter
2335028,sink,boundary,,0.052,absent,no,0,sink basin not counter
2394798,sink,boundary,,0.0519,absent,no,0,sink basin not counter
2402533,sink,boundary,,0.0513,absent,no,0,sink basin not counter
498049,sink,boundary,,0.0509,absent,no,0,sink basin not counter
2377089,sink,boundary,,0.0506,absent,no,0,sink basin not counter
2353162,sink,boundary,,0.0504,absent,no,0,sink basin not counter
2340640,sink,boundary,,0.0503,absent,no,0,sink basin not counter
2385895,sink,boundary,,0.0502,absent,no,0,sink basin not counter
2374475,sink,boundary,,0.0501,absent,no,0,sink basin not counter
2416752,sink,boundary,,0.049,absent,no,0,sink basin not counter
2328059,sink,boundary,,0.0488,absent,no,0,sink basin not counter
2358889,sink,boundary,,0.0486,absent,no,0,sink basin not counter
2372457,sink,boundary,,0.0484,absent,no,0,sink basin not counter
2363245,sink,boundary,,0.0482,absent,no,0,sink basin not counter
2377395,sink,boundary,,0.0475,absent,no,0,sink basin not counter
2389243,sink,boundary,,0.0475,absent,no,0,sink basin not counter
2411208,sink,boundary,,0.0475,absent,no,0,sink basin not counter
2395379,sink,boundary,,0.0472,absent,no,0,sink basin not counter
2356037,sink,boundary,,0.0471,absent,no,0,sink basin not counter
2388216,sink,boundary,,0.0469,absent,no,0,sink basin not counter
2406273,sink,boundary,,0.0469,absent,no,0,sink basin not counter
2353703,sink,boundary,,0.0468,absent,no,0,sink basin not counter
2388119,sink,boundary,,0.0466,absent,no,0,sink basin not counter
2403697,sink,boundary,,0.0463,absent,no,0,sink basin not counter
2405305,sink,boundary,,0.0461,absent,no,0,sink basin not counter
2347477,sink,boundary,,0.046,absent,no,0,sink basin not counter
2399126,sink,boundary,,0.0459,absent,no,0,sink basin not counter
2399853,sink,boundary,,0.0457,absent,no,0,sink basin not counter
2362702,sink,boundary,,0.0455,absent,no,0,sink basin not counter
4046,sink,boundary,,0.0452,absent,no,0,sink basin not counter
2329237,sink,boundary,,0.0451,absent,no,0,sink basin not counter
2330522,sink,boundary,,0.0451,absent,no,0,sink basin not counter
1591846,sink,boundary,,0.0449,absent,no,0,sink basin not counter
2331421,sink,boundary,,0.0447,absent,no,0,sink basin not counter
2370803,sink,boundary,,0.0443,absent,no,0,sink basin not counter
2317040,sink,boundary,,0.0439,absent,no,0,sink basin not counter
2409682,sink,boundary,,0.0439,absent,no,0,sink basin not counter
396,sink,boundary,,0.0437,absent,no,0,sink basin not counter
2413092,sink,boundary,,0.0437,absent,no,0,sink basin not counter
3593,sink,boundary,,0.0434,absent,no,0,sink basin not counter
2382355,sink,boundary,,0.0433,absent,no,0,sink basin not counter
2345965,sink,boundary,,0.043,absent,no,0,sink basin not counter
2332462,sink,boundary,,0.0422,absent,no,0,sink basin not counter
4013,sink,boundary,,0.0419,absent,no,0,sink basin not counter
2381805,sink,boundary,,0.0418,absent,no,0,sink basin not counter
4289,sink,boundary,,0.0416,absent,no,0,sink basin not counter
2362115,sink,boundary,,0.0414,absent,no,0,sink basin not counter
2400546,sink,boundary,,0.041,absent,no,0,sink basin not counter
