image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2344890,spoon,boundary,,0.0663,absent,no,0,spoon incl plastic not spatulas
2372457,spoon,boundary,,0.0624,absent,no,0,spoon incl plastic not spatulas
2316449,spoon,boundary,,0.0617,absent,no,0,spoon incl plastic not spatulas
2361217,spoon,boundary,,0.0587,absent,no,0,spoon incl plastic not spatulas
2375943,spoon,boundary,,0.0564,absent,no,0,spoon incl plastic not spatulas
2335302,spoon,boundary,,0.0559,absent,no,0,spoon incl plastic not spatulas
2373582,spoon,boundary,,0.0529,absent,no,0,spoon incl plastic not spatulas
2361029,spoon,boundary,,0.052,absent,no,0,spoon incl plastic not spatulas
2398108,spoon,boundary,,0.0513,absent,no,0,spoon incl plastic not spatulas
936,spoon,boundary,,0.0506,absent,no,0,spoon incl plastic not spatulas
2332462,spoon,boundary,,0.0499,absent,no,0,spoon incl plastic not spatulas
2377395,spoon,boundary,,0.0489,absent,no,0,spoon incl plastic not spatulas
2371626,spoon,boundary,,0.0484,absent,no,0,spoon incl plastic not spatulas
2370423,spoon,boundary,,0.0474,absent,no,0,spoon incl plastic not spatulas
2360756,spoon,boundary,,0.0439,absent,no,0,spoon incl plastic not spatulas
2323145,spoon,boundary,,0.0421,absent,no,0,spoon incl plastic not spatulas
2359135,spoon,boundary,,0.0408,absent,no,0,spoon incl plastic not spatulas
2372302,spoon,boundary,,0.04,absent,no,0,spoon incl plastic not spatulas
2410103,spoon,boundary,,0.0397,absent,no,0,spoon incl plastic not spatulas
2339026,spoon,boundary,,0.0397,absent,no,0,spoon incl plastic not spatulas
1592603,spoon,boundary,,0.0382,absent,no,0,spoon incl plastic not spatulas
1593122,spoon,boundary,,0.0371,absent,no,0,spoon incl plastic not spatulas
2335196,spoon,boundary,,0.0369,absent,no,0,spoon incl plastic not spatulas
3872,spoon,boundary,,0.0365,absent,no,0,spoon incl plastic not spatulas
2319673,spoon,boundary,,0.0365,absent,no,0,spoon incl plastic not spatulas
2410042,spoon,boundary,,0.0365,absent,no,0,spoon incl plastic not spatulas
2346181,spoon,boundary,,0.0363,absent,no,0,spoon incl plastic not spatulas
2360956,spoon,boundary,,0.036,absent,no,0,spoon incl plastic not spatulas
2412014,spoon,boundary,,0.0359,absent,no,0,spoon incl plastic not spatulas
2409347,spoon,boundary,,0.0359,absent,no,0,spoon incl plastic not spatulas
2364536,spoon,boundary,,0.0358,absent,no,0,spoon incl plastic not spatulas
2417784,spoon,boundary,,0.0358,absent,no,0,spoon incl plastic not spatulas
3593,spoon,boundary,,0.0357,absent,no,0,spoon incl plastic not spatulas
2407928,spoon,boundary,,0.0355,absent,no,0,spoon incl plastic not spatulas
2386549,spoon,boundary,,0.0354,absent,no,0,spoon incl plastic not spatulas
2374569,spoon,boundary,,0.0353,absent,no,0,spoon incl plastic not spatulas
2392453,spoon,boundary,,0.0351,absent,no,0,spoon incl plastic not spatulas
2370857,spoon,boundary,,0.0349,absent,no,0,spoon incl plastic not spatulas
2343490,spoon,boundary,,0.0344,absent,no,0,spoon incl plastic not spatulas
2331421,spoon,boundary,,0.0341,absent,no,0,spoon incl plastic not spatulas
2331629,spoon,boundary,,0.0338,absent,no,0,spoon incl plastic not spatulas
2368150,spoon,boundary,,0.0337,absent,no,0,spoon incl plastic not spatulas
3599,spoon,boundary,,0.0335,absent,no,0,spoon incl plastic not spatulas
4817,spoon,boundary,,0.0332,absent,no,0,spoon incl plastic not spatulas
2358304,spoon,boundary,,0.0332,absent,no,0,spoon incl plastic not spatulas
2349351,spoon,boundary,,0.0323,absent,no,0,spoon incl plastic not spatulas
2382127,spoon,boundary,,0.032,absent,no,0,spoon incl plastic not spatulas
2367860,spoon,boundary,,0.0319,absent,no,0,spoon incl plastic not spatulas
2362006,spoon,boundary,,0.0316,absent,no,0,spoon incl plastic not spatulas
2394433,spoon,boundary,,0.0315,absent,no,0,spoon incl plastic not spatulas
2407927,spoon,boundary,,0.0312,absent,no,0,spoon incl plastic not spatulas
3603,spoon,boundary,,0.0311,absent,no,0,spoon incl plastic not spatulas
2392042,spoon,boundary,,0.0311,absent,no,0,spoon incl plastic not spatulas
2396167,spoon,boundary,,0.031,absent,no,0,spoon incl plastic not spatulas
2331937,spoon,boundary,,0.0309,absent,no,0,spoon incl plastic not spatulas
2319047,spoon,boundary,,0.0309,absent,no,0,spoon incl plastic not spatulas
2347094,spoon,boundary,,0.0307,absent,no,0,spoon incl plastic not spatulas
2335210,spoon,boundary,,0.0303,absent,no,0,spoon incl plastic not spatulas
2409638,spoon,boundary,,0.03,absent,no,0,spoon incl plastic not spatulas
2377089,spoon,boundary,,0.03,absent,no,0,spoon incl plastic not spatulas
2348751,spoon,boundary,,0.0299,absent,no,0,spoon incl plastic not spatulas
4216,spoon,boundary,,0.0298,absent,no,0,spoon incl plastic not spatulas
2413407,spoon,boundary,,0.0297,absent,no,0,spoon incl plastic not spatulas
2372350,spoon,boundary,,0.0297,absent,no,0,spoon incl plastic not spatulas
2331505,spoon,boundary,,0.0294,absent,no,0,spoon incl plastic not spatulas
2318003,spoon,boundary,,0.0293,absent,no,0,spoon incl plastic not spatulas
2345483,spoon,boundary,,0.0291,absent,no,0,spoon incl plastic not spatulas
2388915,spoon,boundary,,0.029,absent,no,0,spoon incl plastic not spatulas
2357521,spoon,boundary,,0.0289,absent,no,0,spoon incl plastic not spatulas
2340134,spoon,boundary,,0.0288,absent,no,0,spoon incl plastic not spatulas
2402104,spoon,boundary,,0.0287,absent,no,0,spoon incl plastic not spatulas
2374458,spoon,boundary,,0.0286,absent,no,0,spoon incl plastic not spatulas
2362314,spoon,boundary,,0.0283,absent,no,0,spoon incl plastic not spatulas
2343668,spoon,boundary,,0.0282,absent,no,0,spoon incl plastic not spatulas
2399464,spoon,boundary,,0.0282,absent,no,0,spoon incl plastic not spatulas
2382125,spoon,boundary,,0.028,absent,no,0,spoon incl plastic not spatulas
2372751,spoon,boundary,,0.028,absent,no,0,spoon incl plastic not spatulas
2394798,spoon,boundary,,0.0279,absent,no,0,spoon incl plastic not spatulas
1188,spoon,boundary,,0.0277,absent,no,0,spoon incl plastic not spatulas
2342142,spoon,boundary,,0.0276,absent,no,0,spoon incl plastic not spatulas
2364221,spoon,boundary,,0.0273,absent,no,0,spoon incl plastic not spatulas
2342321,spoon,boundary,,0.0272,absent,no,0,spoon incl plastic not spatulas
1572,spoon,boundary,,0.0266,absent,no,0,spoon incl plastic not spatulas
2353092,spoon,boundary,,0.0263,absent,no,0,spoon incl plastic not spatulas
2354806,spoon,boundary,,0.0261,absent,no,0,spoon incl plastic not spatulas
2338218,spoon,boundary,,0.026,absent,no,0,spoon incl plastic not spatulas
2395321,spoon,boundary,,0.0259,absent,no,0,spoon incl plastic not spatulas
2320058,spoon,boundary,,0.0255,absent,no,0,spoon incl plastic not spatulas
2406885,spoon,boundary,,0.0253,absent,no,0,spoon incl plastic not spatulas
2414323,spoon,boundary,,0.0253,absent,no,0,spoon incl plastic not spatulas
2357899,spoon,boundary,,0.0251,absent,no,0,spoon incl plastic not spatulas
2395318,spoon,boundary,,0.025,absent,no,0,spoon incl plastic not spatulas
2371744,spoon,boundary,,0.0248,absent,no,0,spoon incl plastic not spatulas
1159600,spoon,boundary,,0.0248,absent,no,0,spoon incl plastic not spatulas
