image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2369928,truck,boundary,,0.0851,absent,no,0,truck incl vans not SUVs
2332432,truck,boundary,,0.0799,absent,no,0,truck incl vans not SUVs
2382053,truck,boundary,,0.0798,absent,no,0,truck incl vans not SUVs
2393876,truck,boundary,,0.0792,absent,no,0,truck incl vans not SUVs
2331048,truck,boundary,,0.0672,absent,no,0,truck incl vans not SUVs
2414448,truck,boundary,,0.0655,absent,no,0,truck incl vans not SUVs
2357224,truck,boundary,,0.0651,absent,no,0,truck incl vans not SUVs
1160144,truck,boundary,,0.0644,absent,no,0,truck incl vans not SUVs
2322687,truck,boundary,,0.0613,absent,no,0,truck incl vans not SUVs
2349511,truck,boundary,,0.06,absent,no,0,truck incl vans not SUVs
2407548,truck,boundary,,0.0561,absent,no,0,truck incl vans not SUVs
2394368,truck,boundary,,0.0481,absent,no,0,truck incl vans not SUVs
1159919,truck,boundary,,0.0476,absent,no,0,truck incl vans not SUVs
2417715,truck,boundary,,0.0469,absent,no,0,truck incl vans not SUVs
703,truck,boundary,,0.0455,absent,no,0,truck incl vans not SUVs
2332352,truck,boundary,,0.045,absent,no,0,truck incl vans not SUVs
2231,truck,boundary,,0.0446,absent,no,0,truck incl vans not SUVs
2372881,truck,boundary,,0.0425,absent,no,0,truck incl vans not SUVs
2332766,truck,boundary,,0.0419,absent,no,0,truck incl vans not SUVs
2329005,truck,boundary,,0.0411,absent,no,0,truck incl vans not SUVs
2364960,truck,boundary,,0.0408,absent,no,0,truck incl vans not SUVs
702,truck,boundary,,0.04,absent,no,0,truck incl vans not SUVs
2332055,truck,boundary,,0.0391,absent,no,0,truck incl vans not SUVs
3302,truck,boundary,,0.0387,absent,no,0,truck incl vans not SUVs
2324742,truck,boundary,,0.0387,absent,no,0,truck incl vans not SUVs
2391183,truck,boundary,,0.0386,absent,no,0,truck incl vans not SUVs
2370523,truck,boundary,,0.0383,absent,no,0,truck incl vans not SUVs
2370880,truck,boundary,,0.0378,absent,no,0,truck incl vans not SUVs
2261,truck,boundary,,0.0373,absent,no,0,truck incl vans not SUVs
2409680,truck,boundary,,0.0371,absent,no,0,truck incl vans not SUVs
2346500,truck,boundary,,0.0362,absent,no,0,truck incl vans not SUVs
2398805,truck,boundary,,0.0348,absent,no,0,truck incl vans not SUVs
2322223,truck,boundary,,0.034,absent,no,0,truck incl vans not SUVs
2399183,truck,boundary,,0.0339,absent,no,0,truck incl vans not SUVs
2381043,truck,boundary,,0.0338,absent,no,0,truck incl vans not SUVs
2528,truck,boundary,,0.0331,absent,no,0,truck incl vans not SUVs
2367,truck,boundary,,0.033,absent,no,0,truck incl vans not SUVs
2938,truck,boundary,,0.0328,absent,no,0,truck incl vans not SUVs
2607,truck,boundary,,0.0326,absent,no,0,truck incl vans not SUVs
2411445,truck,boundary,,0.0321,absent,no,0,truck incl vans not SUVs
2404027,truck,boundary,,0.0315,absent,no,0,truck incl vans not SUVs
2320423,truck,boundary,,0.031,absent,no,0,truck incl vans not SUVs
3293,truck,boundary,,0.0308,absent,no,0,truck incl vans not SUVs
2335149,truck,boundary,,0.0307,absent,no,0,truck incl vans not SUVs
2399773,truck,boundary,,0.0297,absent,no,0,truck incl vans not SUVs
2391229,truck,boundary,,0.0296,absent,no,0,truck incl vans not SUVs
2333409,truck,boundary,,0.0287,absent,no,0,truck incl vans not SUVs
2367739,truck,boundary,,0.0283,absent,no,0,truck incl vans not SUVs
2376171,truck,boundary,,0.0282,absent,no,0,truck incl vans not SUVs
2412586,truck,boundary,,0.0282,absent,no,0,truck incl vans not SUVs
2318011,truck,boundary,,0.0278,absent,no,0,truck incl vans not SUVs
2405676,truck,boundary,,0.0276,absent,no,0,truck incl vans not SUVs
2411984,truck,boundary,,0.0276,absent,no,0,truck incl vans not SUVs
2368146,truck,boundary,,0.0274,absent,no,0,truck incl vans not SUVs
2404001,truck,boundary,,0.0271,absent,no,0,truck incl vans not SUVs
2394991,truck,boundary,,0.0269,absent,no,0,truck incl vans not SUVs
2387981,truck,boundary,,0.0268,absent,no,0,truck incl vans not SUVs
2328360,truck,boundary,,0.0267,absent,no,0,truck incl vans not SUVs
3402,truck,boundary,,0.0265,absent,no,0,truck incl vans not SUVs
2341608,truck,boundary,,0.026,absent,no,0,truck incl vans not SUVs
2404999,truck,boundary,,0.0259,absent,no,0,truck incl vans not SUVs
429,truck,boundary,,0.0254,absent,no,0,truck incl vans not SUVs
3409,truck,boundary,,0.0253,absent,no,0,truck incl vans not SUVs
2371509,truck,boundary,,0.0251,absent,no,0,truck incl vans not SUVs
713057,truck,boundary,,0.0248,absent,no,0,truck incl vans not SUVs
2402149,truck,boundary,,0.0248,absent,no,0,truck incl vans not SUVs
834,truck,boundary,,0.0247,absent,no,0,truck incl vans not SUVs
1592575,truck,boundary,,0.0245,absent,no,0,truck incl vans not SUVs
2363779,truck,boundary,,0.0242,absent,no,0,truck incl vans not SUVs
2429,truck,boundary,,0.0236,absent,no,0,truck incl vans not SUVs
2318383,truck,boundary,,0.0234,absent,no,0,truck incl vans not SUVs
2325067,truck,boundary,,0.0233,absent,no,0,truck incl vans not SUVs
2333672,truck,boundary,,0.0233,absent,no,0,truck incl vans not SUVs
2374053,truck,boundary,,0.0224,absent,no,0,truck incl vans not SUVs
4714,truck,boundary,,0.022,absent,no,0,truck incl vans not SUVs
2397733,truck,boundary,,0.0218,absent,no,0,truck incl vans not SUVs
2368618,truck,boundary,,0.0212,absent,no,0,truck incl vans not SUVs
2417980,truck,boundary,,0.021,absent,no,0,truck incl vans not SUVs
2413,truck,boundary,,0.021,absent,no,0,truck incl vans not SUVs
2360399,truck,boundary,,0.0203,absent,no,0,truck incl vans not SUVs
4119,truck,boundary,,0.0202,absent,no,0,truck incl vans not SUVs
822,truck,boundary,,0.0198,absent,no,0,truck incl vans not SUVs
3228,truck,boundary,,0.0197,absent,no,0,truck incl vans not SUVs
1444,truck,boundary,,0.0196,absent,no,0,truck incl vans not SUVs
2327380,truck,boundary,,0.0195,absent,no,0,truck incl vans not SUVs
1860,truck,boundary,,0.0194,absent,no,0,truck incl vans not SUVs
2375429,truck,boundary,,0.0192,absent,no,0,truck incl vans not SUVs
2332203,truck,boundary,,0.0192,absent,no,0,truck incl vans not SUVs
2331335,truck,boundary,,0.0191,absent,no,0,truck incl vans not SUVs
2355650,truck,boundary,,0.0191,absent,no,0,truck incl vans not SUVs
2362634,truck,boundary,,0.0191,absent,no,0,truck incl vans not SUVs
2382826,truck,boundary,,0.019,absent,no,0,truck incl vans not SUVs
2335738,truck,boundary,,0.0188,absent,no,0,truck incl vans not SUVs
2317040,truck,boundary,,0.0187,absent,no,0,truck incl vans not SUVs
2351155,truck,boundary,,0.0186,absent,no,0,truck incl vans not SUVs
1592588,truck,boundary,,0.0185,absent,no,0,truck incl vans not SUVs
3831,truck,boundary,,0.0183,absent,no,0,truck incl vans not SUVs
2370170,truck,boundary,,0.0182,absent,no,0,truck incl vans not SUVs
2370417,truck,boundary,,0.018,absent,no,0,truck incl vans not SUVs
2397825,truck,boundary,,0.0179,absent,no,0,truck incl vans not SUVs
