image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2340704,vase,boundary,,0.0881,absent,no,0,vase incl pots and planters
2337087,vase,boundary,,0.0798,absent,no,0,vase incl pots and planters
2398885,vase,boundary,,0.0769,absent,no,0,vase incl pots and planters
2326567,vase,boundary,,0.0738,absent,no,0,vase incl pots and planters
2376703,vase,boundary,,0.0711,absent,no,0,vase incl pots and planters
2343790,vase,boundary,,0.0589,absent,no,0,vase incl pots and planters
2434,vase,boundary,,0.0566,absent,no,0,vase incl pots and planters
2375837,vase,boundary,,0.0526,absent,no,0,vase incl pots and planters
2346009,vase,boundary,,0.0507,absent,no,0,vase incl pots and planters
2396054,vase,boundary,,0.049,absent,no,0,vase incl pots and planters
2412065,vase,boundary,,0.0461,absent,no,0,vase incl pots and planters
2320810,vase,boundary,,0.0446,absent,no,0,vase incl pots and planters
2414323,vase,boundary,,0.0434,absent,no,0,vase incl pots and planters
2409813,vase,boundary,,0.0433,absent,no,0,vase incl pots and planters
286045,vase,boundary,,0.0431,absent,no,0,vase incl pots and planters
2349351,vase,boundary,,0.0431,absent,no,0,vase incl pots and planters
2331421,vase,boundary,,0.0383,absent,no,0,vase incl pots and planters
2358889,vase,boundary,,0.0369,absent,no,0,vase incl pots and planters
3593,vase,boundary,,0.036,absent,no,0,vase incl pots and planters
2405305,vase,boundary,,0.0356,absent,no,0,vase incl pots and planters
2407927,vase,boundary,,0.0333,absent,no,0,vase incl pots and planters
2398108,vase,boundary,,0.0326,absent,no,0,vase incl pots and planters
2412014,vase,boundary,,0.0324,absent,no,0,vase incl pots and planters
2411208,vase,boundary,,0.0318,absent,no,0,vase incl pots and planters
2360322,vase,boundary,,0.0316,absent,no,0,vase incl pots and planters
2404368,vase,boundary,,0.0316,absent,no,0,vase incl pots and planters
2360756,vase,boundary,,0.0313,absent,no,0,vase incl pots and planters
2377395,vase,boundary,,0.0299,absent,no,0,vase incl pots and planters
2393384,vase,boundary,,0.0288,absent,no,0,vase incl pots and planters
2328886,vase,boundary,,0.0287,absent,no,0,vase incl pots and planters
2409456,vase,boundary,,0.0287,absent,no,0,vase incl pots and planters
2406273,vase,boundary,,0.0287,absent,no,0,vase incl pots and planters
2384185,vase,boundary,,0.0274,absent,no,0,vase incl pots and planters
2330522,vase,boundary,,0.0273,absent,no,0,vase incl pots and planters
2358304,vase,boundary,,0.0269,absent,no,0,vase incl pots and planters
2351236,vase,boundary,,0.0266,absent,no,0,vase incl pots and planters
2340623,vase,boundary,,0.026,absent,no,0,vase incl pots and planters
2938,vase,boundary,,0.0257,absent,no,0,vase incl pots and planters
2200,vase,boundary,,0.0256,absent,no,0,vase incl pots and planters
2396167,vase,boundary,,0.0256,absent,no,0,vase incl pots and planters
2370389,vase,boundary,,0.0252,absent,no,0,vase incl pots and planters
1159536,vase,boundary,,0.0244,absent,no,0,vase incl pots and planters
2327550,vase,boundary,,0.0237,absent,no,0,vase incl pots and planters
2415598,vase,boundary,,0.0235,absent,no,0,vase incl pots and planters
2382111,vase,boundary,,0.0233,absent,no,0,vase incl pots and planters
2339026,vase,boundary,,0.0227,absent,no,0,vase incl pots and planters
936,vase,boundary,,0.0219,absent,no,0,vase incl pots and planters
2403697,vase,boundary,,0.0214,absent,no,0,vase incl pots and planters
2353986,vase,boundary,,0.0209,absent,no,0,vase incl pots and planters
2328712,vase,boundary,,0.0207,absent,no,0,vase incl pots and planters
