image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2434,cup,boundary,,0.0635,absent,no,0,cup incl mugs glasses and stemware
2378588,cup,boundary,,0.0597,absent,no,0,cup incl mugs glasses and stemware
2397618,cup,boundary,,0.059,absent,no,0,cup incl mugs glasses and stemware
910,cup,boundary,,0.0543,absent,no,0,cup incl mugs glasses and stemware
2377395,cup,boundary,,0.0503,absent,no,0,cup incl mugs glasses and stemware
2407927,cup,boundary,,0.0501,absent,no,0,cup incl mugs glasses and stemware
2414323,cup,boundary,,0.0477,absent,no,0,cup incl mugs glasses and stemware
2324971,cup,boundary,,0.0475,absent,no,0,cup incl mugs glasses and stemware
2319673,cup,boundary,,0.0473,absent,no,0,cup incl mugs glasses and stemware
2340704,cup,boundary,,0.0458,absent,no,0,cup incl mugs glasses and stemware
2415598,cup,boundary,,0.0447,absent,no,0,cup incl mugs glasses and stemware
2409813,cup,boundary,,0.0438,absent,no,0,cup incl mugs glasses and stemware
2358304,cup,boundary,,0.0435,absent,no,0,cup incl mugs glasses and stemware
2411208,cup,boundary,,0.0434,absent,no,0,cup incl mugs glasses and stemware
2343490,cup,boundary,,0.0434,absent,no,0,cup incl mugs glasses and stemware
2330522,cup,boundary,,0.0431,absent,no,0,cup incl mugs glasses and stemware
2380435,cup,boundary,,0.043,absent,no,0,cup incl mugs glasses and stemware
2349553,cup,boundary,,0.0424,absent,no,0,cup incl mugs glasses and stemware
2327550,cup,boundary,,0.042,absent,no,0,cup incl mugs glasses and stemware
2395599,cup,boundary,,0.0418,absent,no,0,cup incl mugs glasses and stemware
2340984,cup,boundary,,0.0417,absent,no,0,cup incl mugs glasses and stemware
2398885,cup,boundary,,0.0414,absent,no,0,cup incl mugs glasses and stemware
2331421,cup,boundary,,0.0414,absent,no,0,cup incl mugs glasses and stemware
2341035,cup,boundary,,0.0407,absent,no,0,cup incl mugs glasses and stemware
2360756,cup,boundary,,0.0406,absent,no,0,cup incl mugs glasses and stemware
2370044,cup,boundary,,0.0392,absent,no,0,cup incl mugs glasses and stemware
2352055,cup,boundary,,0.0385,absent,no,0,cup incl mugs glasses and stemware
2411395,cup,boundary,,0.0382,absent,no,0,cup incl mugs glasses and stemware
286045,cup,boundary,,0.0381,absent,no,0,cup incl mugs glasses and stemware
2344890,cup,boundary,,0.0379,absent,no,0,cup incl mugs glasses and stemware
2332462,cup,boundary,,0.0376,absent,no,0,cup incl mugs glasses and stemware
2374569,cup,boundary,,0.0372,absent,no,0,cup incl mugs glasses and stemware
2412014,cup,boundary,,0.0366,absent,no,0,cup incl mugs glasses and stemware
2381945,cup,boundary,,0.0362,absent,no,0,cup incl mugs glasses and stemware
2364536,cup,boundary,,0.0361,absent,no,0,cup incl mugs glasses and stemware
3603,cup,boundary,,0.0359,absent,no,0,cup incl mugs glasses and stemware
2353986,cup,boundary,,0.0358,absent,no,0,cup incl mugs glasses and stemware
2404864,cup,boundary,,0.0352,absent,no,0,cup incl mugs glasses and stemware
2352639,cup,boundary,,0.0347,absent,no,0,cup incl mugs glasses and stemware
2373582,cup,boundary,,0.0344,absent,no,0,cup incl mugs glasses and stemware
2330282,cup,boundary,,0.0342,absent,no,0,cup incl mugs glasses and stemware
2383564,cup,boundary,,0.0342,absent,no,0,cup incl mugs glasses and stemware
2406950,cup,boundary,,0.0341,absent,no,0,cup incl mugs glasses and stemware
2370857,cup,boundary,,0.0339,absent,no,0,cup incl mugs glasses and stemware
2388806,cup,boundary,,0.0336,absent,no,0,cup incl mugs glasses and stemware
2389243,cup,boundary,,0.0333,absent,no,0,cup incl mugs glasses and stemware
2391847,cup,boundary,,0.0332,absent,no,0,cup incl mugs glasses and stemware
3872,cup,boundary,,0.0332,absent,no,0,cup incl mugs glasses and stemware
2389084,cup,boundary,,0.0331,absent,no,0,cup incl mugs glasses and stemware
2396167,cup,boundary,,0.0329,absent,no,0,cup incl mugs glasses and stemware
2323456,cup,boundary,,0.0328,absent,no,0,cup incl mugs glasses and stemware
2364221,cup,boundary,,0.0328,absent,no,0,cup incl mugs glasses and stemware
2360956,cup,boundary,,0.0327,absent,no,0,cup incl mugs glasses and stemware
2372751,cup,boundary,,0.0321,absent,no,0,cup incl mugs glasses and stemware
2335165,cup,boundary,,0.0321,absent,no,0,cup incl mugs glasses and stemware
2393384,cup,boundary,,0.0312,absent,no,0,cup incl mugs glasses and stemware
