image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2322849,backpack,boundary,,0.0669,absent,no,0
2364388,backpack,boundary,,0.0499,absent,no,0
2358456,backpack,boundary,,0.0472,absent,no,0
2382660,backpack,boundary,,0.0436,absent,no,0
2373313,backpack,boundary,,0.0434,absent,no,0
2389707,backpack,boundary,,0.0421,absent,no,0
2328012,backpack,boundary,,0.0407,absent,no,0
2384185,backpack,boundary,,0.0402,absent,no,0
713717,backpack,boundary,,0.0349,absent,no,0
2315739,backpack,boundary,,0.0345,absent,no,0
2399824,backpack,boundary,,0.0329,absent,no,0
2354145,backpack,boundary,,0.0315,absent,no,0
2316517,backpack,boundary,,0.028,absent,no,0
2316614,backpack,boundary,,0.0264,absent,no,0
1592005,backpack,boundary,,0.0253,absent,no,0
2398671,backpack,boundary,,0.0252,absent,no,0
2404527,backpack,boundary,,0.0248,absent,no,0
2415863,backpack,boundary,,0.0241,absent,no,0
2373605,backpack,boundary,,0.024,absent,no,0
2335654,backpack,boundary,,0.0228,absent,no,0
150275,backpack,boundary,,0.0225,absent,no,0
2363203,backpack,boundary,,0.0224,absent,no,0
2402789,backpack,boundary,,0.022,absent,no,0
2324044,backpack,boundary,,0.0219,absent,no,0
2416141,backpack,boundary,,0.0216,absent,no,0
2357163,backpack,boundary,,0.0216,absent,no,0
2362115,backpack,boundary,,0.0208,absent,no,0
2379785,backpack,boundary,,0.0207,absent,no,0
2371535,backpack,boundary,,0.0201,absent,no,0
2325271,backpack,boundary,,0.0192,absent,no,0
2359098,backpack,boundary,,0.0192,absent,no,0
2410026,backpack,boundary,,0.0187,absent,no,0
2400917,backpack,boundary,,0.0185,absent,no,0
2376939,backpack,boundary,,0.0185,absent,no,0
2409813,backpack,boundary,,0.0184,absent,no,0
2390855,backpack,boundary,,0.0174,absent,no,0
2363745,backpack,boundary,,0.0173,absent,no,0
2334083,backpack,boundary,,0.0166,absent,no,0
2402530,backpack,boundary,,0.016,absent,no,0
1592114,backpack,boundary,,0.0157,absent,no,0
2334042,backpack,boundary,,0.0141,absent,no,0
2363773,backpack,boundary,,0.014,absent,no,0
2376417,backpack,boundary,,0.0139,absent,no,0
2383834,backpack,boundary,,0.0127,absent,no,0
1159262,backpack,boundary,,0.0125,absent,no,0
2395868,backpack,boundary,,0.0124,absent,no,0
2375334,backpack,boundary,,0.012,absent,no,0
2316943,backpack,boundary,,0.011,absent,no,0
2319420,backpack,boundary,,0.0106,absent,no,0
2372953,backpack,boundary,,0.0106,absent,no,0
2405082,backpack,boundary,,0.0101,absent,no,0
2331453,backpack,boundary,,0.0098,absent,no,0
2376171,backpack,boundary,,0.0096,absent,no,0
2324219,backpack,boundary,,0.009,absent,no,0
2393128,backpack,boundary,,0.0089,absent,no,0
150287,backpack,boundary,,0.0087,absent,no,0
2334402,backpack,boundary,,0.0083,absent,no,0
2341507,backpack,boundary,,0.0082,absent,no,0
2365474,backpack,boundary,,0.0082,absent,no,0
2361802,backpack,boundary,,0.0081,absent,no,0
1591846,backpack,boundary,,0.0077,absent,no,0
2331543,backpack,boundary,,0.0072,absent,no,0
2340984,backpack,boundary,,0.007,absent,no,0
2330522,backpack,boundary,,0.0069,absent,no,0
2375344,backpack,boundary,,0.0066,absent,no,0
2404665,backpack,boundary,,0.0064,absent,no,0
2335196,backpack,boundary,,0.0058,absent,no,0
2389796,backpack,boundary,,0.0057,absent,no,0
2388521,backpack,boundary,,0.0051,absent,no,0
2387707,backpack,boundary,,0.005,absent,no,0
2361879,backpack,boundary,,0.0048,absent,no,0
2404330,backpack,boundary,,0.0045,absent,no,0
2374274,backpack,boundary,,0.0045,absent,no,0
2357042,backpack,boundary,,0.0044,absent,no,0
2412783,backpack,boundary,,0.0044,absent,no,0
2366293,backpack,boundary,,0.004,absent,no,0
2334329,backpack,boundary,,0.0039,absent,no,0
2346149,backpack,boundary,,0.0038,absent,no,0
2323933,backpack,boundary,,0.0037,absent,no,0
4575,backpack,boundary,,0.0035,absent,no,0
2348897,backpack,boundary,,0.0035,absent,no,0
2404238,backpack,boundary,,0.0035,absent,no,0
2362867,backpack,boundary,,0.0033,absent,no,0
2331188,backpack,boundary,,0.0033,absent,no,0
498297,backpack,boundary,,0.0033,absent,no,0
2323361,backpack,boundary,,0.0032,absent,no,0
2346624,backpack,boundary,,0.0032,absent,no,0
4248,backpack,boundary,,0.0032,absent,no,0
2375289,backpack,boundary,,0.0031,absent,no,0
2374296,backpack,boundary,,0.0029,absent,no,0
713105,backpack,boundary,,0.0029,absent,no,0
2409,backpack,boundary,,0.0029,absent,no,0
1806,backpack,boundary,,0.0029,absent,no,0
2399424,backpack,boundary,,0.0026,absent,no,0
2406005,backpack,boundary,,0.0026,absent,no,0
