image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2391557,bicycle,boundary,,0.0883,absent,no,0
2317323,bicycle,boundary,,0.0773,absent,no,0
2417856,bicycle,boundary,,0.0773,absent,no,0
1159493,bicycle,boundary,,0.0747,absent,no,0
498127,bicycle,boundary,,0.0745,absent,no,0
2366293,bicycle,boundary,,0.0703,absent,no,0
2378783,bicycle,boundary,,0.0702,absent,no,0
2329621,bicycle,boundary,,0.0696,absent,no,0
2391693,bicycle,boundary,,0.0689,absent,no,0
1591784,bicycle,boundary,,0.0683,absent,no,0
2331463,bicycle,boundary,,0.0676,absent,no,0
2366193,bicycle,boundary,,0.066,absent,no,0
2396937,bicycle,boundary,,0.0613,absent,no,0
2403358,bicycle,boundary,,0.0606,absent,no,0
2382011,bicycle,boundary,,0.0602,absent,no,0
2373903,bicycle,boundary,,0.0593,absent,no,0
2376775,bicycle,boundary,,0.0578,absent,no,0
2417961,bicycle,boundary,,0.0574,absent,no,0
2412923,bicycle,boundary,,0.0541,absent,no,0
2371153,bicycle,boundary,,0.0496,absent,no,0
2411445,bicycle,boundary,,0.0491,absent,no,0
2346624,bicycle,boundary,,0.0485,absent,no,0
2340623,bicycle,boundary,,0.0477,absent,no,0
2400917,bicycle,boundary,,0.0475,absent,no,0
2350533,bicycle,boundary,,0.0464,absent,no,0
2347422,bicycle,boundary,,0.0458,absent,no,0
2376171,bicycle,boundary,,0.0455,absent,no,0
2409877,bicycle,boundary,,0.0446,absent,no,0
2388098,bicycle,boundary,,0.0443,absent,no,0
3081,bicycle,boundary,,0.0425,absent,no,0
2378291,bicycle,boundary,,0.0422,absent,no,0
2370170,bicycle,boundary,,0.0419,absent,no,0
2331543,bicycle,boundary,,0.0415,absent,no,0
1802,bicycle,boundary,,0.0412,absent,no,0
2356826,bicycle,boundary,,0.0407,absent,no,0
2392571,bicycle,boundary,,0.0407,absent,no,0
2346929,bicycle,boundary,,0.0403,absent,no,0
1160088,bicycle,boundary,,0.0403,absent,no,0
2337673,bicycle,boundary,,0.0401,absent,no,0
2357163,bicycle,boundary,,0.0396,absent,no,0
713057,bicycle,boundary,,0.0379,absent,no,0
3228,bicycle,boundary,,0.0369,absent,no,0
2318953,bicycle,boundary,,0.0367,absent,no,0
713083,bicycle,boundary,,0.0364,absent,no,0
2323936,bicycle,boundary,,0.0362,absent,no,0
2414132,bicycle,boundary,,0.0357,absent,no,0
2323933,bicycle,boundary,,0.0352,absent,no,0
2386874,bicycle,boundary,,0.0345,absent,no,0
2938,bicycle,boundary,,0.0344,absent,no,0
1592771,bicycle,boundary,,0.0335,absent,no,0
2320106,bicycle,boundary,,0.0331,absent,no,0
2368618,bicycle,boundary,,0.0326,absent,no,0
2367860,bicycle,boundary,,0.0325,absent,no,0
1592949,bicycle,boundary,,0.0321,absent,no,0
2333132,bicycle,boundary,,0.032,absent,no,0
2331048,bicycle,boundary,,0.0318,absent,no,0
1444,bicycle,boundary,,0.0314,absent,no,0
2393876,bicycle,boundary,,0.0312,absent,no,0
2381531,bicycle,boundary,,0.0308,absent,no,0
2347532,bicycle,boundary,,0.0307,absent,no,0
2394991,bicycle,boundary,,0.0298,absent,no,0
2407008,bicycle,boundary,,0.0296,absent,no,0
2391183,bicycle,boundary,,0.0291,absent,no,0
2372724,bicycle,boundary,,0.0286,absent,no,0
150314,bicycle,boundary,,0.0281,absent,no,0
2335210,bicycle,boundary,,0.0281,absent,no,0
1592114,bicycle,boundary,,0.028,absent,no,0
2324044,bicycle,boundary,,0.0276,absent,no,0
2395687,bicycle,boundary,,0.0274,absent,no,0
1455,bicycle,boundary,,0.0274,absent,no,0
3302,bicycle,boundary,,0.0267,absent,no,0
1383,bicycle,boundary,,0.0264,absent,no,0
4186,bicycle,boundary,,0.0259,absent,no,0
2397825,bicycle,boundary,,0.0258,absent,no,0
2378474,bicycle,boundary,,0.0257,absent,no,0
2370044,bicycle,boundary,,0.0249,absent,no,0
2405583,bicycle,boundary,,0.0248,absent,no,0
3819,bicycle,boundary,,0.0248,absent,no,0
2411729,bicycle,boundary,,0.0248,absent,no,0
2336186,bicycle,boundary,,0.0247,absent,no,0
1869,bicycle,boundary,,0.0243,absent,no,0
2416228,bicycle,boundary,,0.0243,absent,no,0
2324742,bicycle,boundary,,0.0242,absent,no,0
2414696,bicycle,boundary,,0.0241,absent,no,0
2347667,bicycle,boundary,,0.0238,absent,no,0
3420,bicycle,boundary,,0.0238,absent,no,0
2347774,bicycle,boundary,,0.0238,absent,no,0
822,bicycle,boundary,,0.0235,absent,no,0
834,bicycle,boundary,,0.0234,absent,no,0
2352773,bicycle,boundary,,0.0233,absent,no,0
1592557,bicycle,boundary,,0.0229,absent,no,0
2348113,bicycle,boundary,,0.0228,absent,no,0
3409,bicycle,boundary,,0.0228,absent,no,0
2355752,bicycle,boundary,,0.0228,absent,no,0
2349065,bicycle,boundary,,0.0226,absent,no,0
2355650,bicycle,boundary,,0.0225,absent,no,0
1572,bicycle,boundary,,0.0225,absent,no,0
2396256,bicycle,boundary,,0.0224,absent,no,0
3464,bicycle,boundary,,0.0224,absent,no,0
2404665,bicycle,boundary,,0.0223,absent,no,0
1573,bicycle,boundary,,0.0223,absent,no,0
2333359,bicycle,boundary,,0.0221,absent,no,0
3024,bicycle,boundary,,0.022,absent,no,0
1485,bicycle,boundary,,0.0216,absent,no,0
2355311,bicycle,boundary,,0.0213,absent,no,0
107948,bicycle,boundary,,0.0212,absent,no,0
2379130,bicycle,boundary,,0.0208,absent,no,0
2400450,bicycle,boundary,,0.0205,absent,no,0
2321704,bicycle,boundary,,0.0205,absent,no,0
1159632,bicycle,boundary,,0.0204,absent,no,0
3402,bicycle,boundary,,0.0204,absent,no,0
2387917,bicycle,boundary,,0.0204,absent,no,0
2586,bicycle,boundary,,0.0202,absent,no,0
2340667,bicycle,boundary,,0.02,absent,no,0
2350353,bicycle,boundary,,0.02,absent,no,0
2374274,bicycle,boundary,,0.0199,absent,no,0
