image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2395430,bird,boundary,,0.0855,absent,no,0
2368439,bird,boundary,,0.0713,absent,no,0
2335335,bird,boundary,,0.0708,absent,no,0
2388503,bird,boundary,,0.0705,absent,no,0
2365412,bird,boundary,,0.0605,absent,no,0
2330109,bird,boundary,,0.0603,absent,no,0
2372821,bird,boundary,,0.0598,absent,no,0
2351431,bird,boundary,,0.0585,absent,no,0
2408164,bird,boundary,,0.0567,absent,no,0
2386661,bird,boundary,,0.0544,absent,no,0
2356315,bird,boundary,,0.054,absent,no,0
2372014,bird,boundary,,0.0499,absent,no,0
2372324,bird,boundary,,0.0478,absent,no,0
2396303,bird,boundary,,0.0477,absent,no,0
2335749,bird,boundary,,0.0472,absent,no,0
2330401,bird,boundary,,0.0438,absent,no,0
2401975,bird,boundary,,0.0437,absent,no,0
2328179,bird,boundary,,0.0429,absent,no,0
2322768,bird,boundary,,0.0429,absent,no,0
2398108,bird,boundary,,0.0423,absent,no,0
4817,bird,boundary,,0.0412,absent,no,0
1694,bird,boundary,,0.0407,absent,no,0
750,bird,boundary,,0.0405,absent,no,0
2404330,bird,boundary,,0.0404,absent,no,0
2375344,bird,boundary,,0.0399,absent,no,0
2400513,bird,boundary,,0.0398,absent,no,0
2315590,bird,boundary,,0.0396,absent,no,0
2330917,bird,boundary,,0.0377,absent,no,0
2372881,bird,boundary,,0.0374,absent,no,0
2374907,bird,boundary,,0.0372,absent,no,0
2330657,bird,boundary,,0.0369,absent,no,0
2383707,bird,boundary,,0.0369,absent,no,0
2366446,bird,boundary,,0.0358,absent,no,0
2407306,bird,boundary,,0.035,absent,no,0
2402637,bird,boundary,,0.0345,absent,no,0
2382944,bird,boundary,,0.0342,absent,no,0
2405676,bird,boundary,,0.0342,absent,no,0
3357,bird,boundary,,0.0335,absent,no,0
2336186,bird,boundary,,0.0334,absent,no,0
2329580,bird,boundary,,0.0332,absent,no,0
2354368,bird,boundary,,0.033,absent,no,0
2352497,bird,boundary,,0.0328,absent,no,0
2357899,bird,boundary,,0.0326,absent,no,0
2378828,bird,boundary,,0.0326,absent,no,0
2344766,bird,boundary,,0.0324,absent,no,0
2353986,bird,boundary,,0.0324,absent,no,0
2353402,bird,boundary,,0.0317,absent,no,0
2325504,bird,boundary,,0.0316,absent,no,0
2202,bird,boundary,,0.0311,absent,no,0
2323581,bird,boundary,,0.031,absent,no,0
2360756,bird,boundary,,0.0307,absent,no,0
2393715,bird,boundary,,0.0307,absent,no,0
2389485,bird,boundary,,0.0307,absent,no,0
2365282,bird,boundary,,0.0305,absent,no,0
2338047,bird,boundary,,0.0304,absent,no,0
2348149,bird,boundary,,0.0297,absent,no,0
2388574,bird,boundary,,0.0297,absent,no,0
1188,bird,boundary,,0.0296,absent,no,0
2328716,bird,boundary,,0.0293,absent,no,0
3819,bird,boundary,,0.0293,absent,no,0
2417658,bird,boundary,,0.0292,absent,no,0
2372724,bird,boundary,,0.0291,absent,no,0
2380819,bird,boundary,,0.0288,absent,no,0
2337167,bird,boundary,,0.0285,absent,no,0
2406453,bird,boundary,,0.0283,absent,no,0
2384363,bird,boundary,,0.0283,absent,no,0
2336599,bird,boundary,,0.0283,absent,no,0
2335496,bird,boundary,,0.028,absent,no,0
2356909,bird,boundary,,0.0279,absent,no,0
3810,bird,boundary,,0.0279,absent,no,0
2317277,bird,boundary,,0.0278,absent,no,0
2401070,bird,boundary,,0.0275,absent,no,0
2406467,bird,boundary,,0.027,absent,no,0
2399496,bird,boundary,,0.0269,absent,no,0
2397903,bird,boundary,,0.0267,absent,no,0
4248,bird,boundary,,0.0262,absent,no,0
2345091,bird,boundary,,0.0262,absent,no,0
2335158,bird,boundary,,0.0261,absent,no,0
2938,bird,boundary,,0.026,absent,no,0
2340977,bird,boundary,,0.026,absent,no,0
2409699,bird,boundary,,0.0259,absent,no,0
592,bird,boundary,,0.0259,absent,no,0
2351742,bird,boundary,,0.0258,absent,no,0
2358888,bird,boundary,,0.0258,absent,no,0
2413727,bird,boundary,,0.0257,absent,no,0
2372953,bird,boundary,,0.0257,absent,no,0
2402404,bird,boundary,,0.0256,absent,no,0
2401593,bird,boundary,,0.0256,absent,no,0
2369563,bird,boundary,,0.0255,absent,no,0
4841,bird,boundary,,0.0254,absent,no,0
2348311,bird,boundary,,0.0253,absent,no,0
2319243,bird,boundary,,0.0253,absent,no,0
2322028,bird,boundary,,0.0252,absent,no,0
2336320,bird,boundary,,0.0252,absent,no,0
2384123,bird,boundary,,0.0251,absent,no,0
2321718,bird,boundary,,0.025,absent,no,0
2404520,bird,boundary,,0.0248,absent,no,0
2368899,bird,boundary,,0.0248,absent,no,0
2340849,bird,boundary,,0.0246,absent,no,0
2326230,bird,boundary,,0.0245,absent,no,0
2350853,bird,boundary,,0.0244,absent,no,0
2366393,bird,boundary,,0.0243,absent,no,0
2415229,bird,boundary,,0.0242,absent,no,0
2370510,bird,boundary,,0.0241,absent,no,0
2319460,bird,boundary,,0.024,absent,no,0
2344180,bird,boundary,,0.024,absent,no,0
1592159,bird,boundary,,0.0239,absent,no,0
713057,bird,boundary,,0.0239,absent,no,0
2316027,bird,boundary,,0.0239,absent,no,0
2328919,bird,boundary,,0.0238,absent,no,0
2410471,bird,boundary,,0.0238,absent,no,0
2384185,bird,boundary,,0.0238,absent,no,0
3253,bird,boundary,,0.0237,absent,no,0
2387059,bird,boundary,,0.0237,absent,no,0
3831,bird,boundary,,0.0237,absent,no,0
2359283,bird,boundary,,0.0237,absent,no,0
3721,bird,boundary,,0.0236,absent,no,0
2386549,bird,boundary,,0.0236,absent,no,0
2410249,bird,boundary,,0.0236,absent,no,0
2320643,bird,boundary,,0.0234,absent,no,0
2386386,bird,boundary,,0.0234,absent,no,0
2402627,bird,boundary,,0.0233,absent,no,0
2397789,bird,boundary,,0.0232,absent,no,0
2402373,bird,boundary,,0.0231,absent,no,0
2404812,bird,boundary,,0.0231,absent,no,0
2399464,bird,boundary,,0.0231,absent,no,0
2322241,bird,boundary,,0.0231,absent,no,0
2356764,bird,boundary,,0.0229,absent,no,0
2333770,bird,boundary,,0.0229,absent,no,0
2367860,bird,boundary,,0.0229,absent,no,0
2388421,bird,boundary,,0.0228,absent,no,0
2344646,bird,boundary,,0.0228,absent,no,0
2385723,bird,boundary,,0.0226,absent,no,0
2404637,bird,boundary,,0.0226,absent,no,0
2615,bird,boundary,,0.0225,absent,no,0
2330522,bird,boundary,,0.0225,absent,no,0
2400917,bird,boundary,,0.0225,absent,no,0
2371721,bird,boundary,,0.0224,absent,no,0
2351835,bird,boundary,,0.0224,absent,no,0
2400398,bird,boundary,,0.0223,absent,no,0
2380023,bird,boundary,,0.0223,absent,no,0
2365667,bird,boundary,,0.0223,absent,no,0
1803,bird,boundary,,0.0223,absent,no,0
2316696,bird,boundary,,0.0222,absent,no,0
2410628,bird,boundary,,0.0222,absent,no,0
2380441,bird,boundary,,0.0222,absent,no,0
2347392,bird,boundary,,0.0222,absent,no,0
2395098,bird,boundary,,0.0222,absent,no,0
2368909,bird,boundary,,0.0222,absent,no,0
312,bird,boundary,,0.0221,absent,no,0
1592421,bird,boundary,,0.0221,absent,no,0
2320830,bird,boundary,,0.0221,absent,no,0
2383870,bird,boundary,,0.022,absent,no,0
2396794,bird,boundary,,0.022,absent,no,0
2404027,bird,boundary,,0.022,absent,no,0
2324180,bird,boundary,,0.022,absent,no,0
2369286,bird,boundary,,0.0219,absent,no,0
2398188,bird,boundary,,0.0218,absent,no,0
3809,bird,boundary,,0.0216,absent,no,0
2321688,bird,boundary,,0.0216,absent,no,0
2327797,bird,boundary,,0.0553,absent,yes,0
2365582,bird,boundary,,0.0509,absent,yes,0
2321461,bird,boundary,,0.0503,absent,yes,0
2404871,bird,boundary,,0.0428,absent,yes,0
2360131,bird,boundary,,0.0422,absent,yes,0
2361600,bird,boundary,,0.0411,absent,yes,0
2336964,bird,boundary,,0.0409,absent,yes,0
2322793,bird,boundary,,0.0403,absent,yes,0
2323085,bird,boundary,,0.0402,absent,yes,0
2407743,bird,boundary,,0.04,absent,yes,0
2386000,bird,boundary,,0.0399,absent,yes,0
2345137,bird,boundary,,0.0386,absent,yes,0
2400401,bird,boundary,,0.0382,absent,yes,0
2376494,bird,boundary,,0.0376,absent,yes,0
