image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2333770,boat,boundary,,0.0934,absent,no,0
2404637,boat,boundary,,0.0881,absent,no,0
498270,boat,boundary,,0.0849,absent,no,0
2361820,boat,boundary,,0.0777,absent,no,0
894,boat,boundary,,0.0757,absent,no,0
2417852,boat,boundary,,0.0664,absent,no,0
2372881,boat,boundary,,0.0615,absent,no,0
2346929,boat,boundary,,0.0593,absent,no,0
2371410,boat,boundary,,0.0567,absent,no,0
2324802,boat,boundary,,0.0555,absent,no,0
2365023,boat,boundary,,0.0533,absent,no,0
2331530,boat,boundary,,0.0485,absent,no,0
2376171,boat,boundary,,0.0453,absent,no,0
2328688,boat,boundary,,0.0427,absent,no,0
2397655,boat,boundary,,0.0399,absent,no,0
2316807,boat,boundary,,0.0384,absent,no,0
2365959,boat,boundary,,0.038,absent,no,0
2374526,boat,boundary,,0.0377,absent,no,0
2372324,boat,boundary,,0.0368,absent,no,0
2399364,boat,boundary,,0.0362,absent,no,0
2417658,boat,boundary,,0.0352,absent,no,0
2366097,boat,boundary,,0.0351,absent,no,0
2336745,boat,boundary,,0.0341,absent,no,0
2319234,boat,boundary,,0.034,absent,no,0
2399496,boat,boundary,,0.0336,absent,no,0
822,boat,boundary,,0.033,absent,no,0
2329621,boat,boundary,,0.0329,absent,no,0
2324180,boat,boundary,,0.0328,absent,no,0
2335749,boat,boundary,,0.0327,absent,no,0
3721,boat,boundary,,0.0322,absent,no,0
1575,boat,boundary,,0.0321,absent,no,0
2404200,boat,boundary,,0.0317,absent,no,0
2326806,boat,boundary,,0.0314,absent,no,0
498364,boat,boundary,,0.0313,absent,no,0
2353402,boat,boundary,,0.0311,absent,no,0
2402139,boat,boundary,,0.031,absent,no,0
2391847,boat,boundary,,0.0307,absent,no,0
2344445,boat,boundary,,0.0304,absent,no,0
2414617,boat,boundary,,0.0304,absent,no,0
2386231,boat,boundary,,0.0304,absent,no,0
2322223,boat,boundary,,0.03,absent,no,0
2397061,boat,boundary,,0.0299,absent,no,0
2317040,boat,boundary,,0.0299,absent,no,0
2336646,boat,boundary,,0.0299,absent,no,0
2371491,boat,boundary,,0.0299,absent,no,0
2360365,boat,boundary,,0.0298,absent,no,0
2330522,boat,boundary,,0.0294,absent,no,0
2397993,boat,boundary,,0.0292,absent,no,0
3889,boat,boundary,,0.0287,absent,no,0
2376717,boat,boundary,,0.0287,absent,no,0
4119,boat,boundary,,0.0286,absent,no,0
655,boat,boundary,,0.0285,absent,no,0
2372524,boat,boundary,,0.0282,absent,no,0
2371721,boat,boundary,,0.0281,absent,no,0
2340977,boat,boundary,,0.0277,absent,no,0
2404001,boat,boundary,,0.0272,absent,no,0
2319156,boat,boundary,,0.0272,absent,no,0
2410042,boat,boundary,,0.0265,absent,no,0
2368756,boat,boundary,,0.0265,absent,no,0
2335091,boat,boundary,,0.0264,absent,no,0
2387229,boat,boundary,,0.0263,absent,no,0
2389518,boat,boundary,,0.0262,absent,no,0
2346624,boat,boundary,,0.0259,absent,no,0
2387576,boat,boundary,,0.0259,absent,no,0
2334324,boat,boundary,,0.0259,absent,no,0
2367980,boat,boundary,,0.0258,absent,no,0
2386055,boat,boundary,,0.0257,absent,no,0
2348760,boat,boundary,,0.0255,absent,no,0
2369399,boat,boundary,,0.025,absent,no,0
2382605,boat,boundary,,0.0249,absent,no,0
2394991,boat,boundary,,0.0248,absent,no,0
2391377,boat,boundary,,0.0248,absent,no,0
2353523,boat,boundary,,0.0248,absent,no,0
2320643,boat,boundary,,0.0248,absent,no,0
2315442,boat,boundary,,0.0241,absent,no,0
2318772,boat,boundary,,0.0238,absent,no,0
2367202,boat,boundary,,0.0235,absent,no,0
285961,boat,boundary,,0.0234,absent,no,0
2399464,boat,boundary,,0.0234,absent,no,0
2414486,boat,boundary,,0.0233,absent,no,0
2324787,boat,boundary,,0.0233,absent,no,0
2407548,boat,boundary,,0.023,absent,no,0
2434,boat,boundary,,0.0228,absent,no,0
2360335,boat,boundary,,0.0227,absent,no,0
4186,boat,boundary,,0.0226,absent,no,0
2403209,boat,boundary,,0.0221,absent,no,0
2361697,boat,boundary,,0.022,absent,no,0
2344722,boat,boundary,,0.0219,absent,no,0
2403407,boat,boundary,,0.0219,absent,no,0
1592771,boat,boundary,,0.0217,absent,no,0
2366513,boat,boundary,,0.0215,absent,no,0
2368555,boat,boundary,,0.0213,absent,no,0
2403553,boat,boundary,,0.0213,absent,no,0
3302,boat,boundary,,0.0212,absent,no,0
2938,boat,boundary,,0.0211,absent,no,0
2366748,boat,boundary,,0.0208,absent,no,0
4575,boat,boundary,,0.0208,absent,no,0
2356125,boat,boundary,,0.0206,absent,no,0
2341653,boat,boundary,,0.0206,absent,no,0
2323842,boat,boundary,,0.0205,absent,no,0
2416874,boat,boundary,,0.0203,absent,no,0
2337876,boat,boundary,,0.0203,absent,no,0
2382171,boat,boundary,,0.0201,absent,no,0
614,boat,boundary,,0.0199,absent,no,0
2396004,boat,boundary,,0.0198,absent,no,0
2414448,boat,boundary,,0.0198,absent,no,0
2411445,boat,boundary,,0.0196,absent,no,0
2377571,boat,boundary,,0.0194,absent,no,0
2374587,boat,boundary,,0.0192,absent,no,0
2322028,boat,boundary,,0.0191,absent,no,0
2323703,boat,boundary,,0.0191,absent,no,0
2344364,boat,boundary,,0.019,absent,no,0
2379549,boat,boundary,,0.0189,absent,no,0
2366514,boat,boundary,,0.0189,absent,no,0
2322687,boat,boundary,,0.0187,absent,no,0
2417217,boat,boundary,,0.0184,absent,no,0
2400801,boat,boundary,,0.0183,absent,no,0
2380441,boat,boundary,,0.0183,absent,no,0
2368146,boat,boundary,,0.0183,absent,no,0
2315590,boat,boundary,,0.0182,absent,no,0
2337673,boat,boundary,,0.0182,absent,no,0
3409,boat,boundary,,0.0182,absent,no,0
110,boat,boundary,,0.0182,absent,no,0
2364342,boat,boundary,,0.0181,absent,no,0
2356909,boat,boundary,,0.018,absent,no,0
2338894,boat,boundary,,0.0179,absent,no,0
2360154,boat,boundary,,0.0178,absent,no,0
2351431,boat,boundary,,0.0178,absent,no,0
2358203,boat,boundary,,0.0177,absent,no,0
2340429,boat,boundary,,0.0175,absent,no,0
2385288,boat,boundary,,0.0175,absent,no,0
2381531,boat,boundary,,0.0175,absent,no,0
2348365,boat,boundary,,0.0174,absent,no,0
2383448,boat,boundary,,0.0174,absent,no,0
2399554,boat,boundary,,0.0173,absent,no,0
1455,boat,boundary,,0.017,absent,no,0
2321,boat,boundary,,0.0169,absent,no,0
2371261,boat,boundary,,0.0169,absent,no,0
2416141,boat,boundary,,0.0167,absent,no,0
2378783,boat,boundary,,0.0167,absent,no,0
2367143,boat,boundary,,0.0167,absent,no,0
2320605,boat,boundary,,0.0166,absent,no,0
2376318,boat,boundary,,0.0164,absent,no,0
2374274,boat,boundary,,0.0163,absent,no,0
2409347,boat,boundary,,0.0161,absent,no,0
2334641,boat,boundary,,0.0159,absent,no,0
2384073,boat,boundary,,0.0157,absent,no,0
2586,boat,boundary,,0.0156,absent,no,0
2365528,boat,boundary,,0.0155,absent,no,0
2356037,boat,boundary,,0.0154,absent,no,0
