image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2372524,book,boundary,,0.0426,absent,no,0
2392709,book,boundary,,0.0409,absent,no,0
2385956,book,boundary,,0.0282,absent,no,0
2369399,book,boundary,,0.027,absent,no,0
2391817,book,boundary,,0.0243,absent,no,0
1592623,book,boundary,,0.024,absent,no,0
2343784,book,boundary,,0.0237,absent,no,0
2416567,book,boundary,,0.0226,absent,no,0
2354324,book,boundary,,0.022,absent,no,0
2807,book,boundary,,0.0209,absent,no,0
2403463,book,boundary,,0.0209,absent,no,0
2322731,book,boundary,,0.0204,absent,no,0
2398671,book,boundary,,0.0187,absent,no,0
2362023,book,boundary,,0.0183,absent,no,0
2398578,book,boundary,,0.0168,absent,no,0
2405082,book,boundary,,0.0166,absent,no,0
2327535,book,boundary,,0.0161,absent,no,0
2386056,book,boundary,,0.0156,absent,no,0
2315437,book,boundary,,0.0153,absent,no,0
2335306,book,boundary,,0.0151,absent,no,0
2412576,book,boundary,,0.0148,absent,no,0
2341890,book,boundary,,0.0147,absent,no,0
2347667,book,boundary,,0.014,absent,no,0
3561,book,boundary,,0.0136,absent,no,0
2388287,book,boundary,,0.0136,absent,no,0
2396794,book,boundary,,0.0134,absent,no,0
2385084,book,boundary,,0.0134,absent,no,0
2391763,book,boundary,,0.0132,absent,no,0
2416141,book,boundary,,0.0132,absent,no,0
2383564,book,boundary,,0.0129,absent,no,0
2319102,book,boundary,,0.0119,absent,no,0
431,book,boundary,,0.0117,absent,no,0
2677,book,boundary,,0.0112,absent,no,0
4119,book,boundary,,0.0104,absent,no,0
2350085,book,boundary,,0.01,absent,no,0
286045,book,boundary,,0.0099,absent,no,0
2354386,book,boundary,,0.0099,absent,no,0
2374321,book,boundary,,0.0096,absent,no,0
2341514,book,boundary,,0.0094,absent,no,0
2390855,book,boundary,,0.0092,absent,no,0
2409813,book,boundary,,0.0086,absent,no,0
2369945,book,boundary,,0.0084,absent,no,0
2388433,book,boundary,,0.0079,absent,no,0
2355952,book,boundary,,0.0079,absent,no,0
3593,book,boundary,,0.0077,absent,no,0
2391445,book,boundary,,0.0069,absent,no,0
2394526,book,boundary,,0.0067,absent,no,0
2363642,book,boundary,,0.0065,absent,no,0
2380435,book,boundary,,0.0065,absent,no,0
2353441,book,boundary,,0.0055,absent,no,0
2371816,book,boundary,,0.0055,absent,no,0
2376417,book,boundary,,0.0054,absent,no,0
2317323,book,boundary,,0.0053,absent,no,0
4685,book,boundary,,0.005,absent,no,0
3839,book,boundary,,0.0046,absent,no,0
2391192,book,boundary,,0.0046,absent,no,0
2367980,book,boundary,,0.0046,absent,no,0
2346405,book,boundary,,0.0045,absent,no,0
2408107,book,boundary,,0.0045,absent,no,0
1444,book,boundary,,0.0045,absent,no,0
2391969,book,boundary,,0.0044,absent,no,0
2395403,book,boundary,,0.0037,absent,no,0
2373605,book,boundary,,0.0036,absent,no,0
2348873,book,boundary,,0.0035,absent,no,0
2359059,book,boundary,,0.0031,absent,no,0
498142,book,boundary,,0.0029,absent,no,0
3813,book,boundary,,0.0028,absent,no,0
2334042,book,boundary,,0.0027,absent,no,0
2337819,book,boundary,,0.0026,absent,no,0
2376426,book,boundary,,0.0026,absent,no,0
382,book,boundary,,0.0023,absent,no,0
2409456,book,boundary,,0.0023,absent,no,0
2377184,book,boundary,,0.0023,absent,no,0
1959,book,boundary,,0.0022,absent,no,0
2414486,book,boundary,,0.0022,absent,no,0
1986,book,boundary,,0.0022,absent,no,0
1957,book,boundary,,0.0022,absent,no,0
2335828,book,boundary,,0.0021,absent,no,0
2392030,book,boundary,,0.0019,absent,no,0
2332116,book,boundary,,0.0018,absent,no,0
2361697,book,boundary,,0.0017,absent,no,0
4248,book,boundary,,0.0017,absent,no,0
2380680,book,boundary,,0.0017,absent,no,0
2326918,book,boundary,,0.0016,absent,no,0
1990,book,boundary,,0.0016,absent,no,0
2394624,book,boundary,,0.0011,absent,no,0
2386838,book,boundary,,0.0009,absent,no,0
2350301,book,boundary,,0.0009,absent,no,0
2324180,book,boundary,,0.0003,absent,no,0
249,book,boundary,,0.0002,absent,no,0
409,book,boundary,,0.0,absent,no,0
2317732,book,boundary,,-0.0,absent,no,0
2326707,book,boundary,,-0.0001,absent,no,0
2406273,book,boundary,,-0.0002,absent,no,0
2354806,book,boundary,,-0.0002,absent,no,0
2365126,book,boundary,,-0.0006,absent,no,0
2780,book,boundary,,-0.0007,absent,no,0
2330512,book,boundary,,-0.0007,absent,no,0
1572,book,boundary,,-0.0008,absent,no,0
2368462,book,boundary,,-0.0008,absent,no,0
2401159,book,boundary,,-0.0008,absent,no,0
1965,book,boundary,,-0.001,absent,no,0
2360054,book,boundary,,-0.0011,absent,no,0
2387595,book,boundary,,-0.0013,absent,no,0
3546,book,boundary,,-0.0014,absent,no,0
2389572,book,boundary,,-0.0014,absent,no,0
4494,book,boundary,,-0.0015,absent,no,0
2334086,book,boundary,,-0.0015,absent,no,0
2352497,book,boundary,,-0.0016,absent,no,0
2336186,book,boundary,,-0.0017,absent,no,0
2378783,book,boundary,,-0.0018,absent,no,0
2341837,book,boundary,,-0.0018,absent,no,0
2315680,book,boundary,,-0.0019,absent,no,0
2410201,book,boundary,,-0.002,absent,no,0
3081,book,boundary,,-0.0023,absent,no,0
2335662,book,boundary,,-0.0024,absent,no,0
2351750,book,boundary,,-0.003,absent,no,0
1022,book,boundary,,-0.0032,absent,no,0
2388336,book,boundary,,-0.0032,absent,no,0
3851,book,boundary,,-0.0033,absent,no,0
2389707,book,boundary,,-0.0035,absent,no,0
2331421,book,boundary,,-0.0036,absent,no,0
2335738,book,boundary,,-0.0037,absent,no,0
2373367,book,boundary,,-0.0039,absent,no,0
2368073,book,boundary,,-0.004,absent,no,0
1026,book,boundary,,-0.0041,absent,no,0
2343951,book,boundary,,-0.0042,absent,no,0
2398807,book,boundary,,-0.0042,absent,no,0
2385070,book,boundary,,-0.0043,absent,no,0
2338112,book,boundary,,-0.0045,absent,no,0
2417159,book,boundary,,-0.0046,absent,no,0
2407192,book,boundary,,-0.0046,absent,no,0
2420,book,boundary,,-0.0047,absent,no,0
2396379,book,boundary,,-0.0047,absent,no,0
2376310,book,boundary,,-0.0048,absent,no,0
2331188,book,boundary,,-0.0048,absent,no,0
2321178,book,boundary,,-0.0049,absent,no,0
2397061,book,boundary,,-0.0049,absent,no,0
2334729,book,boundary,,-0.0049,absent,no,0
2382747,book,boundary,,-0.005,absent,no,0
2396167,book,boundary,,-0.0052,absent,no,0
2396473,book,boundary,,-0.0052,absent,no,0
2373602,book,boundary,,-0.0053,absent,no,0
2359135,book,boundary,,-0.0053,absent,no,0
2335210,book,boundary,,-0.0054,absent,no,0
2390985,book,boundary,,-0.0056,absent,no,0
2351017,book,boundary,,-0.0056,absent,no,0
2399554,book,boundary,,-0.0056,absent,no,0
2374526,book,boundary,,-0.0056,absent,no,0
1423,book,boundary,,-0.0056,absent,no,0
2112,book,boundary,,-0.0059,absent,no,0
3599,book,boundary,,-0.0059,absent,no,0
2328305,book,boundary,,-0.006,absent,no,0
1455,book,boundary,,-0.006,absent,no,0
2376761,book,boundary,,-0.0062,absent,no,0
2329905,book,boundary,,-0.0062,absent,no,0
655,book,boundary,,-0.0063,absent,no,0
2341082,book,boundary,,-0.0066,absent,no,0
2349157,book,boundary,,0.0309,absent,yes,0
2357779,book,boundary,,0.0289,absent,yes,0
2386526,book,boundary,,0.0237,absent,yes,0
2360389,book,boundary,,0.0233,absent,yes,0
2403589,book,boundary,,0.0222,absent,yes,0
2325847,book,boundary,,0.0215,absent,yes,0
2321640,book,boundary,,0.0205,absent,yes,0
2370407,book,boundary,,0.0195,absent,yes,0
2358000,book,boundary,,0.0191,absent,yes,0
2413302,book,boundary,,0.0191,absent,yes,0
2398959,book,boundary,,0.0182,absent,yes,0
2340056,book,boundary,,0.0181,absent,yes,0
2377105,book,boundary,,0.0178,absent,yes,0
2386460,book,boundary,,0.0157,absent,yes,0
2342883,book,boundary,,0.0121,absent,yes,0
2398070,book,boundary,,0.012,absent,yes,0
2330923,book,boundary,,0.0116,absent,yes,0
2417941,book,boundary,,0.0102,absent,yes,0
2380995,book,boundary,,0.0095,absent,yes,0
2391599,book,boundary,,0.0092,absent,yes,0
2354790,book,boundary,,0.0086,absent,yes,0
2396627,book,boundary,,0.0086,absent,yes,0
2379050,book,boundary,,0.0082,absent,yes,0
2395194,book,boundary,,0.0069,absent,yes,0
2360780,book,boundary,,0.0066,absent,yes,0
2361418,book,boundary,,0.0066,absent,yes,0
2372020,book,boundary,,0.0057,absent,yes,0
2340101,book,boundary,,0.0056,absent,yes,0
2413495,book,boundary,,0.0049,absent,yes,0
2392572,book,boundary,,0.0046,absent,yes,0
