image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
713792,bus,boundary,,0.0927,absent,no,0
2383834,bus,boundary,,0.0884,absent,no,0
2321,bus,boundary,,0.0881,absent,no,0
2378459,bus,boundary,,0.0791,absent,no,0
713503,bus,boundary,,0.0791,absent,no,0
2389485,bus,boundary,,0.076,absent,no,0
2407548,bus,boundary,,0.0729,absent,no,0
1159774,bus,boundary,,0.0728,absent,no,0
4575,bus,boundary,,0.0709,absent,no,0
2336745,bus,boundary,,0.0704,absent,no,0
2326806,bus,boundary,,0.0691,absent,no,0
3302,bus,boundary,,0.0688,absent,no,0
2330722,bus,boundary,,0.0685,absent,no,0
2396785,bus,boundary,,0.0672,absent,no,0
2340429,bus,boundary,,0.0643,absent,no,0
2329005,bus,boundary,,0.0621,absent,no,0
2346929,bus,boundary,,0.0619,absent,no,0
2429,bus,boundary,,0.0605,absent,no,0
2417856,bus,boundary,,0.0587,absent,no,0
2346624,bus,boundary,,0.0585,absent,no,0
2368262,bus,boundary,,0.057,absent,no,0
3163,bus,boundary,,0.0569,absent,no,0
2402381,bus,boundary,,0.056,absent,no,0
2415184,bus,boundary,,0.0558,absent,no,0
3409,bus,boundary,,0.0552,absent,no,0
2331463,bus,boundary,,0.0552,absent,no,0
2384073,bus,boundary,,0.054,absent,no,0
2381531,bus,boundary,,0.0536,absent,no,0
2325377,bus,boundary,,0.0535,absent,no,0
2349511,bus,boundary,,0.0532,absent,no,0
2336186,bus,boundary,,0.0531,absent,no,0
2261,bus,boundary,,0.053,absent,no,0
498142,bus,boundary,,0.052,absent,no,0
2387576,bus,boundary,,0.0519,absent,no,0
2356037,bus,boundary,,0.0518,absent,no,0
713057,bus,boundary,,0.0516,absent,no,0
2353402,bus,boundary,,0.0515,absent,no,0
2398675,bus,boundary,,0.0513,absent,no,0
148,bus,boundary,,0.0509,absent,no,0
4185,bus,boundary,,0.0507,absent,no,0
894,bus,boundary,,0.0504,absent,no,0
2391183,bus,boundary,,0.0503,absent,no,0
2386217,bus,boundary,,0.0501,absent,no,0
2324742,bus,boundary,,0.0501,absent,no,0
2400,bus,boundary,,0.05,absent,no,0
2343021,bus,boundary,,0.05,absent,no,0
834,bus,boundary,,0.0494,absent,no,0
2346598,bus,boundary,,0.0492,absent,no,0
2398041,bus,boundary,,0.0491,absent,no,0
2409,bus,boundary,,0.049,absent,no,0
2384235,bus,boundary,,0.0487,absent,no,0
2335306,bus,boundary,,0.0482,absent,no,0
2388710,bus,boundary,,0.0481,absent,no,0
713062,bus,boundary,,0.0474,absent,no,0
2334729,bus,boundary,,0.0472,absent,no,0
2389572,bus,boundary,,0.0466,absent,no,0
2349493,bus,boundary,,0.0465,absent,no,0
3081,bus,boundary,,0.0463,absent,no,0
2335149,bus,boundary,,0.0455,absent,no,0
822,bus,boundary,,0.0454,absent,no,0
2316790,bus,boundary,,0.0448,absent,no,0
2383673,bus,boundary,,0.0445,absent,no,0
1592588,bus,boundary,,0.0443,absent,no,0
2387868,bus,boundary,,0.0442,absent,no,0
1444,bus,boundary,,0.0442,absent,no,0
2402530,bus,boundary,,0.0441,absent,no,0
2398805,bus,boundary,,0.0441,absent,no,0
2397825,bus,boundary,,0.0438,absent,no,0
2326707,bus,boundary,,0.0437,absent,no,0
2336646,bus,boundary,,0.0434,absent,no,0
2367,bus,boundary,,0.0433,absent,no,0
2398275,bus,boundary,,0.0432,absent,no,0
1869,bus,boundary,,0.0431,absent,no,0
2586,bus,boundary,,0.043,absent,no,0
3228,bus,boundary,,0.043,absent,no,0
2335495,bus,boundary,,0.0428,absent,no,0
2407670,bus,boundary,,0.0426,absent,no,0
2335738,bus,boundary,,0.0424,absent,no,0
1160144,bus,boundary,,0.0423,absent,no,0
703,bus,boundary,,0.0418,absent,no,0
2320817,bus,boundary,,0.0416,absent,no,0
2330401,bus,boundary,,0.0414,absent,no,0
2412691,bus,boundary,,0.0412,absent,no,0
2386874,bus,boundary,,0.0412,absent,no,0
2345220,bus,boundary,,0.0411,absent,no,0
2387981,bus,boundary,,0.0411,absent,no,0
3402,bus,boundary,,0.0408,absent,no,0
2231,bus,boundary,,0.0408,absent,no,0
2607,bus,boundary,,0.0403,absent,no,0
2357224,bus,boundary,,0.0402,absent,no,0
1159919,bus,boundary,,0.04,absent,no,0
2408003,bus,boundary,,0.04,absent,no,0
1709,bus,boundary,,0.0398,absent,no,0
2372881,bus,boundary,,0.0396,absent,no,0
2365331,bus,boundary,,0.0394,absent,no,0
2332432,bus,boundary,,0.0394,absent,no,0
2358203,bus,boundary,,0.0394,absent,no,0
