image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2398553,clock,boundary,,0.0773,absent,no,0
2328001,clock,boundary,,0.0744,absent,no,0
2394287,clock,boundary,,0.068,absent,no,0
2414120,clock,boundary,,0.0557,absent,no,0
2333132,clock,boundary,,0.0532,absent,no,0
2396794,clock,boundary,,0.0512,absent,no,0
2392509,clock,boundary,,0.0476,absent,no,0
2416228,clock,boundary,,0.0415,absent,no,0
2346981,clock,boundary,,0.0368,absent,no,0
2393320,clock,boundary,,0.0354,absent,no,0
1986,clock,boundary,,0.0339,absent,no,0
1821,clock,boundary,,0.0316,absent,no,0
2402185,clock,boundary,,0.0309,absent,no,0
2398675,clock,boundary,,0.0281,absent,no,0
2331335,clock,boundary,,0.0279,absent,no,0
3546,clock,boundary,,0.025,absent,no,0
2324971,clock,boundary,,0.0247,absent,no,0
2340518,clock,boundary,,0.0247,absent,no,0
713057,clock,boundary,,0.0245,absent,no,0
2335210,clock,boundary,,0.0235,absent,no,0
2371208,clock,boundary,,0.0233,absent,no,0
2362023,clock,boundary,,0.023,absent,no,0
1159859,clock,boundary,,0.0223,absent,no,0
2402637,clock,boundary,,0.0217,absent,no,0
2354324,clock,boundary,,0.021,absent,no,0
2324495,clock,boundary,,0.0197,absent,no,0
2368073,clock,boundary,,0.0196,absent,no,0
2401386,clock,boundary,,0.0194,absent,no,0
2396054,clock,boundary,,0.019,absent,no,0
2411395,clock,boundary,,0.0188,absent,no,0
2324147,clock,boundary,,0.0188,absent,no,0
2367538,clock,boundary,,0.0186,absent,no,0
2318201,clock,boundary,,0.0184,absent,no,0
2397061,clock,boundary,,0.0182,absent,no,0
2354806,clock,boundary,,0.0181,absent,no,0
2396167,clock,boundary,,0.0177,absent,no,0
2393454,clock,boundary,,0.0173,absent,no,0
2391817,clock,boundary,,0.0172,absent,no,0
2335738,clock,boundary,,0.0171,absent,no,0
2400917,clock,boundary,,0.0171,absent,no,0
822,clock,boundary,,0.017,absent,no,0
2404223,clock,boundary,,0.0167,absent,no,0
2381190,clock,boundary,,0.0167,absent,no,0
1862,clock,boundary,,0.0167,absent,no,0
2341837,clock,boundary,,0.0167,absent,no,0
4185,clock,boundary,,0.0162,absent,no,0
703,clock,boundary,,0.0162,absent,no,0
2353441,clock,boundary,,0.0159,absent,no,0
2365474,clock,boundary,,0.0158,absent,no,0
2403697,clock,boundary,,0.0158,absent,no,0
2395321,clock,boundary,,0.0157,absent,no,0
2328360,clock,boundary,,0.0157,absent,no,0
1709,clock,boundary,,0.0156,absent,no,0
2404864,clock,boundary,,0.0152,absent,no,0
