image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2331560,dog,boundary,,0.0795,absent,no,0
2337963,dog,boundary,,0.0792,absent,no,0
2379075,dog,boundary,,0.0751,absent,no,0
2381036,dog,boundary,,0.0741,absent,no,0
2372586,dog,boundary,,0.074,absent,no,0
2317277,dog,boundary,,0.0702,absent,no,0
2410628,dog,boundary,,0.0695,absent,no,0
2341929,dog,boundary,,0.0652,absent,no,0
2336186,dog,boundary,,0.0645,absent,no,0
2380023,dog,boundary,,0.0641,absent,no,0
2407397,dog,boundary,,0.06,absent,no,0
2371661,dog,boundary,,0.059,absent,no,0
2327090,dog,boundary,,0.0565,absent,no,0
2350363,dog,boundary,,0.0561,absent,no,0
2409680,dog,boundary,,0.053,absent,no,0
2380441,dog,boundary,,0.0529,absent,no,0
2382665,dog,boundary,,0.0516,absent,no,0
2337146,dog,boundary,,0.0509,absent,no,0
2317623,dog,boundary,,0.0504,absent,no,0
2388574,dog,boundary,,0.0456,absent,no,0
2383448,dog,boundary,,0.0455,absent,no,0
2414617,dog,boundary,,0.0437,absent,no,0
2319243,dog,boundary,,0.041,absent,no,0
2320427,dog,boundary,,0.0406,absent,no,0
2337180,dog,boundary,,0.0403,absent,no,0
2389485,dog,boundary,,0.0401,absent,no,0
2336338,dog,boundary,,0.0399,absent,no,0
2392042,dog,boundary,,0.0395,absent,no,0
2402561,dog,boundary,,0.0394,absent,no,0
2360312,dog,boundary,,0.0393,absent,no,0
2399364,dog,boundary,,0.0392,absent,no,0
2370106,dog,boundary,,0.0383,absent,no,0
2357899,dog,boundary,,0.037,absent,no,0
2394918,dog,boundary,,0.037,absent,no,0
2348311,dog,boundary,,0.0367,absent,no,0
2409638,dog,boundary,,0.0366,absent,no,0
2375327,dog,boundary,,0.0365,absent,no,0
2344766,dog,boundary,,0.0365,absent,no,0
2398122,dog,boundary,,0.0361,absent,no,0
2417356,dog,boundary,,0.0359,absent,no,0
2331812,dog,boundary,,0.0354,absent,no,0
2356909,dog,boundary,,0.0351,absent,no,0
2357702,dog,boundary,,0.034,absent,no,0
1591864,dog,boundary,,0.034,absent,no,0
2374907,dog,boundary,,0.0336,absent,no,0
2399424,dog,boundary,,0.0335,absent,no,0
2405193,dog,boundary,,0.0333,absent,no,0
2413382,dog,boundary,,0.0333,absent,no,0
2378301,dog,boundary,,0.0332,absent,no,0
