image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2381787,kite,boundary,,0.1031,absent,no,0
2402627,kite,boundary,,0.1024,absent,no,0
2328716,kite,boundary,,0.1003,absent,no,0
2417117,kite,boundary,,0.0939,absent,no,0
2328919,kite,boundary,,0.0928,absent,no,0
2372421,kite,boundary,,0.0909,absent,no,0
2391377,kite,boundary,,0.0874,absent,no,0
2400291,kite,boundary,,0.0861,absent,no,0
2404330,kite,boundary,,0.0861,absent,no,0
2404693,kite,boundary,,0.0817,absent,no,0
2352709,kite,boundary,,0.0792,absent,no,0
2383707,kite,boundary,,0.077,absent,no,0
2331220,kite,boundary,,0.0759,absent,no,0
2367117,kite,boundary,,0.0723,absent,no,0
2369018,kite,boundary,,0.0714,absent,no,0
2316125,kite,boundary,,0.0684,absent,no,0
2325379,kite,boundary,,0.0661,absent,no,0
2400101,kite,boundary,,0.0644,absent,no,0
2353986,kite,boundary,,0.0638,absent,no,0
2323842,kite,boundary,,0.0627,absent,no,0
1159712,kite,boundary,,0.0616,absent,no,0
2388893,kite,boundary,,0.0594,absent,no,0
2321236,kite,boundary,,0.0591,absent,no,0
2375334,kite,boundary,,0.0581,absent,no,0
2329438,kite,boundary,,0.0576,absent,no,0
2411298,kite,boundary,,0.0574,absent,no,0
2414532,kite,boundary,,0.0574,absent,no,0
2399706,kite,boundary,,0.0572,absent,no,0
498364,kite,boundary,,0.0563,absent,no,0
2336837,kite,boundary,,0.0557,absent,no,0
2337876,kite,boundary,,0.0554,absent,no,0
2325253,kite,boundary,,0.0547,absent,no,0
1803,kite,boundary,,0.052,absent,no,0
2336599,kite,boundary,,0.0514,absent,no,0
2404001,kite,boundary,,0.0513,absent,no,0
2395882,kite,boundary,,0.0505,absent,no,0
2375011,kite,boundary,,0.0502,absent,no,0
2403507,kite,boundary,,0.0502,absent,no,0
2386231,kite,boundary,,0.0492,absent,no,0
2329367,kite,boundary,,0.0491,absent,no,0
3925,kite,boundary,,0.0489,absent,no,0
2379036,kite,boundary,,0.0487,absent,no,0
2350448,kite,boundary,,0.0486,absent,no,0
2356764,kite,boundary,,0.0485,absent,no,0
2366393,kite,boundary,,0.0484,absent,no,0
2385327,kite,boundary,,0.0479,absent,no,0
2369881,kite,boundary,,0.0477,absent,no,0
2358449,kite,boundary,,0.0474,absent,no,0
2321393,kite,boundary,,0.0467,absent,no,0
2362095,kite,boundary,,0.0466,absent,no,0
2372724,kite,boundary,,0.0465,absent,no,0
2360365,kite,boundary,,0.0462,absent,no,0
2319170,kite,boundary,,0.0462,absent,no,0
3032,kite,boundary,,0.0455,absent,no,0
2320605,kite,boundary,,0.0448,absent,no,0
2417658,kite,boundary,,0.0446,absent,no,0
2390822,kite,boundary,,0.0444,absent,no,0
2329621,kite,boundary,,0.0432,absent,no,0
2374274,kite,boundary,,0.0429,absent,no,0
2408005,kite,boundary,,0.0423,absent,no,0
2375344,kite,boundary,,0.0422,absent,no,0
2338258,kite,boundary,,0.0421,absent,no,0
2386082,kite,boundary,,0.042,absent,no,0
2316807,kite,boundary,,0.0418,absent,no,0
2342300,kite,boundary,,0.0416,absent,no,0
498297,kite,boundary,,0.0416,absent,no,0
2403209,kite,boundary,,0.0415,absent,no,0
2404211,kite,boundary,,0.0412,absent,no,0
2368150,kite,boundary,,0.0411,absent,no,0
2360335,kite,boundary,,0.0403,absent,no,0
2389596,kite,boundary,,0.0397,absent,no,0
2384660,kite,boundary,,0.0396,absent,no,0
2362164,kite,boundary,,0.0395,absent,no,0
2323936,kite,boundary,,0.0393,absent,no,0
2399496,kite,boundary,,0.0389,absent,no,0
2333517,kite,boundary,,0.0386,absent,no,0
2350175,kite,boundary,,0.0382,absent,no,0
2362867,kite,boundary,,0.0378,absent,no,0
1159536,kite,boundary,,0.0374,absent,no,0
2339042,kite,boundary,,0.0367,absent,no,0
2413044,kite,boundary,,0.0365,absent,no,0
2372881,kite,boundary,,0.0364,absent,no,0
2324787,kite,boundary,,0.036,absent,no,0
2315590,kite,boundary,,0.0357,absent,no,0
3721,kite,boundary,,0.0355,absent,no,0
2938,kite,boundary,,0.0349,absent,no,0
2366716,kite,boundary,,0.0349,absent,no,0
2331453,kite,boundary,,0.0348,absent,no,0
2330282,kite,boundary,,0.0346,absent,no,0
2389942,kite,boundary,,0.0346,absent,no,0
2361302,kite,boundary,,0.0343,absent,no,0
2392361,kite,boundary,,0.0342,absent,no,0
1802,kite,boundary,,0.0342,absent,no,0
2373235,kite,boundary,,0.0341,absent,no,0
713057,kite,boundary,,0.0341,absent,no,0
2339141,kite,boundary,,0.0341,absent,no,0
2341085,kite,boundary,,0.0335,absent,no,0
2379549,kite,boundary,,0.0335,absent,no,0
2340117,kite,boundary,,0.0334,absent,no,0
2354161,kite,boundary,,0.0329,absent,no,0
2365959,kite,boundary,,0.0326,absent,no,0
2346624,kite,boundary,,0.0325,absent,no,0
2328688,kite,boundary,,0.0324,absent,no,0
2374686,kite,boundary,,0.0324,absent,no,0
2398649,kite,boundary,,0.0323,absent,no,0
2326371,kite,boundary,,0.0322,absent,no,0
2324802,kite,boundary,,0.0317,absent,no,0
2328475,kite,boundary,,0.0317,absent,no,0
2406467,kite,boundary,,0.0315,absent,no,0
2350853,kite,boundary,,0.0315,absent,no,0
2359264,kite,boundary,,0.0315,absent,no,0
2414696,kite,boundary,,0.0314,absent,no,0
2401975,kite,boundary,,0.0311,absent,no,0
2348365,kite,boundary,,0.0311,absent,no,0
2358474,kite,boundary,,0.031,absent,no,0
2335210,kite,boundary,,0.0309,absent,no,0
2391693,kite,boundary,,0.0308,absent,no,0
2386661,kite,boundary,,0.0308,absent,no,0
2335749,kite,boundary,,0.0307,absent,no,0
3713,kite,boundary,,0.0306,absent,no,0
2375314,kite,boundary,,0.0304,absent,no,0
2334324,kite,boundary,,0.0303,absent,no,0
1159387,kite,boundary,,0.03,absent,no,0
2397993,kite,boundary,,0.03,absent,no,0
2340977,kite,boundary,,0.0298,absent,no,0
2385617,kite,boundary,,0.0296,absent,no,0
2351431,kite,boundary,,0.0295,absent,no,0
2412783,kite,boundary,,0.0292,absent,no,0
2320235,kite,boundary,,0.0291,absent,no,0
2325746,kite,boundary,,0.0291,absent,no,0
2375608,kite,boundary,,0.0288,absent,no,0
2349500,kite,boundary,,0.0287,absent,no,0
2410026,kite,boundary,,0.0285,absent,no,0
1592203,kite,boundary,,0.0284,absent,no,0
1159493,kite,boundary,,0.0283,absent,no,0
2316696,kite,boundary,,0.0281,absent,no,0
2416971,kite,boundary,,0.0281,absent,no,0
2349553,kite,boundary,,0.028,absent,no,0
2323145,kite,boundary,,0.028,absent,no,0
2322896,kite,boundary,,0.0279,absent,no,0
2348760,kite,boundary,,0.0279,absent,no,0
2323042,kite,boundary,,0.0278,absent,no,0
2410194,kite,boundary,,0.0278,absent,no,0
498085,kite,boundary,,0.0278,absent,no,0
2351093,kite,boundary,,0.0277,absent,no,0
2376171,kite,boundary,,0.0275,absent,no,0
2378828,kite,boundary,,0.0273,absent,no,0
2334625,kite,boundary,,0.0273,absent,no,0
713800,kite,boundary,,0.0273,absent,no,0
1592016,kite,boundary,,0.0272,absent,no,0
2352980,kite,boundary,,0.027,absent,no,0
2317584,kite,boundary,,0.027,absent,no,0
2325408,kite,boundary,,0.0269,absent,no,0
2402568,kite,boundary,,0.0268,absent,no,0
2386549,kite,boundary,,0.0268,absent,no,0
2379657,kite,boundary,,0.0268,absent,no,0
2372953,kite,boundary,,0.0266,absent,no,0
2360117,kite,boundary,,0.0912,absent,yes,0
2334934,kite,boundary,,0.0893,absent,yes,0
2322248,kite,boundary,,0.0874,absent,yes,0
2385504,kite,boundary,,0.0834,absent,yes,0
2339643,kite,boundary,,0.0827,absent,yes,0
2325700,kite,boundary,,0.0819,absent,yes,0
2394130,kite,boundary,,0.0803,absent,yes,0
2322535,kite,boundary,,0.0799,absent,yes,0
2350610,kite,boundary,,0.0745,absent,yes,0
2333001,kite,boundary,,0.0739,absent,yes,0
2349571,kite,boundary,,0.0738,absent,yes,0
2327398,kite,boundary,,0.0721,absent,yes,0
2360975,kite,boundary,,0.0656,absent,yes,0
2387602,kite,boundary,,0.0622,absent,yes,0
2380089,kite,boundary,,0.0613,absent,yes,0
2405428,kite,boundary,,0.0604,absent,yes,0
2322793,kite,boundary,,0.0592,absent,yes,0
2337541,kite,boundary,,0.0591,absent,yes,0
2370269,kite,boundary,,0.0581,absent,yes,0
2376925,kite,boundary,,0.0571,absent,yes,0
2344260,kite,boundary,,0.0557,absent,yes,0
2350334,kite,boundary,,0.0554,absent,yes,0
2406910,kite,boundary,,0.0546,absent,yes,0
2389374,kite,boundary,,0.0545,absent,yes,0
