image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2344692,knife,boundary,,0.1016,absent,no,0
2416567,knife,boundary,,0.0741,absent,no,0
2402637,knife,boundary,,0.0643,absent,no,0
2381884,knife,boundary,,0.0579,absent,no,0
2375943,knife,boundary,,0.0526,absent,no,0
2396167,knife,boundary,,0.0479,absent,no,0
2386549,knife,boundary,,0.0474,absent,no,0
2373582,knife,boundary,,0.045,absent,no,0
2407928,knife,boundary,,0.0448,absent,no,0
2383997,knife,boundary,,0.044,absent,no,0
2387439,knife,boundary,,0.0413,absent,no,0
2331937,knife,boundary,,0.041,absent,no,0
2344890,knife,boundary,,0.0407,absent,no,0
2341961,knife,boundary,,0.0405,absent,no,0
2316449,knife,boundary,,0.04,absent,no,0
2398490,knife,boundary,,0.0396,absent,no,0
2368150,knife,boundary,,0.0391,absent,no,0
2417784,knife,boundary,,0.0382,absent,no,0
2360756,knife,boundary,,0.0375,absent,no,0
2315892,knife,boundary,,0.0364,absent,no,0
2410042,knife,boundary,,0.0353,absent,no,0
2361029,knife,boundary,,0.0353,absent,no,0
2360322,knife,boundary,,0.0343,absent,no,0
2401896,knife,boundary,,0.0342,absent,no,0
2404527,knife,boundary,,0.0339,absent,no,0
3546,knife,boundary,,0.0339,absent,no,0
2396054,knife,boundary,,0.0336,absent,no,0
2318003,knife,boundary,,0.0336,absent,no,0
2401393,knife,boundary,,0.0335,absent,no,0
2343964,knife,boundary,,0.0334,absent,no,0
2385339,knife,boundary,,0.0323,absent,no,0
150287,knife,boundary,,0.0321,absent,no,0
2372457,knife,boundary,,0.032,absent,no,0
2357163,knife,boundary,,0.032,absent,no,0
2375344,knife,boundary,,0.0317,absent,no,0
2392042,knife,boundary,,0.0312,absent,no,0
2390822,knife,boundary,,0.0311,absent,no,0
3561,knife,boundary,,0.0307,absent,no,0
2398852,knife,boundary,,0.0303,absent,no,0
2319786,knife,boundary,,0.0299,absent,no,0
2372953,knife,boundary,,0.0295,absent,no,0
2392453,knife,boundary,,0.0292,absent,no,0
2406531,knife,boundary,,0.029,absent,no,0
1592829,knife,boundary,,0.0288,absent,no,0
4779,knife,boundary,,0.0285,absent,no,0
2331421,knife,boundary,,0.0285,absent,no,0
2340037,knife,boundary,,0.0278,absent,no,0
2403407,knife,boundary,,0.0277,absent,no,0
2409813,knife,boundary,,0.0277,absent,no,0
2416854,knife,boundary,,0.0272,absent,no,0
936,knife,boundary,,0.0271,absent,no,0
2345483,knife,boundary,,0.027,absent,no,0
2405346,knife,boundary,,0.027,absent,no,0
2337960,knife,boundary,,0.0268,absent,no,0
2335302,knife,boundary,,0.0268,absent,no,0
2409347,knife,boundary,,0.0267,absent,no,0
2331613,knife,boundary,,0.0267,absent,no,0
1593122,knife,boundary,,0.0265,absent,no,0
2381190,knife,boundary,,0.0263,absent,no,0
2364536,knife,boundary,,0.0261,absent,no,0
2391949,knife,boundary,,0.026,absent,no,0
2374458,knife,boundary,,0.0254,absent,no,0
2397402,knife,boundary,,0.0254,absent,no,0
498297,knife,boundary,,0.0254,absent,no,0
2384318,knife,boundary,,0.0251,absent,no,0
2349351,knife,boundary,,0.0248,absent,no,0
2329904,knife,boundary,,0.0241,absent,no,0
2395321,knife,boundary,,0.0241,absent,no,0
2416679,knife,boundary,,0.0239,absent,no,0
2315739,knife,boundary,,0.0239,absent,no,0
1159625,knife,boundary,,0.0237,absent,no,0
2356888,knife,boundary,,0.0233,absent,no,0
2361217,knife,boundary,,0.023,absent,no,0
1592985,knife,boundary,,0.0229,absent,no,0
2371955,knife,boundary,,0.0227,absent,no,0
2350175,knife,boundary,,0.0226,absent,no,0
2325504,knife,boundary,,0.0226,absent,no,0
2339026,knife,boundary,,0.0225,absent,no,0
2347060,knife,boundary,,0.0225,absent,no,0
2370714,knife,boundary,,0.0224,absent,no,0
2403305,knife,boundary,,0.0222,absent,no,0
4822,knife,boundary,,0.0216,absent,no,0
2371153,knife,boundary,,0.0214,absent,no,0
2379036,knife,boundary,,0.0212,absent,no,0
2414532,knife,boundary,,0.0212,absent,no,0
2404368,knife,boundary,,0.0211,absent,no,0
2331819,knife,boundary,,0.0211,absent,no,0
3872,knife,boundary,,0.021,absent,no,0
2392359,knife,boundary,,0.0209,absent,no,0
2403553,knife,boundary,,0.0207,absent,no,0
3599,knife,boundary,,0.0203,absent,no,0
2368262,knife,boundary,,0.0203,absent,no,0
2340746,knife,boundary,,0.0202,absent,no,0
2434,knife,boundary,,0.02,absent,no,0
2332854,knife,boundary,,0.0199,absent,no,0
2344503,knife,boundary,,0.0199,absent,no,0
2317476,knife,boundary,,0.0198,absent,no,0
2319102,knife,boundary,,0.0197,absent,no,0
2412014,knife,boundary,,0.0196,absent,no,0
2318309,knife,boundary,,0.0196,absent,no,0
2347670,knife,boundary,,0.0196,absent,no,0
