image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2397293,stop sign,boundary,,0.1223,absent,no,0
2413721,stop sign,boundary,,0.1177,absent,no,0
2354702,stop sign,boundary,,0.1172,absent,no,0
5000,stop sign,boundary,,0.1156,absent,no,0
2349493,stop sign,boundary,,0.1145,absent,no,0
2320830,stop sign,boundary,,0.113,absent,no,0
2374373,stop sign,boundary,,0.1043,absent,no,0
2321424,stop sign,boundary,,0.0992,absent,no,0
2317082,stop sign,boundary,,0.0982,absent,no,0
2395403,stop sign,boundary,,0.0982,absent,no,0
2394639,stop sign,boundary,,0.0981,absent,no,0
2373888,stop sign,boundary,,0.0969,absent,no,0
2370519,stop sign,boundary,,0.0967,absent,no,0
2327380,stop sign,boundary,,0.0967,absent,no,0
2379325,stop sign,boundary,,0.0947,absent,no,0
2396785,stop sign,boundary,,0.0908,absent,no,0
2376820,stop sign,boundary,,0.0837,absent,no,0
2386217,stop sign,boundary,,0.0837,absent,no,0
2367901,stop sign,boundary,,0.0832,absent,no,0
2318201,stop sign,boundary,,0.0804,absent,no,0
2332526,stop sign,boundary,,0.0791,absent,no,0
2330722,stop sign,boundary,,0.0785,absent,no,0
2402410,stop sign,boundary,,0.0753,absent,no,0
2392264,stop sign,boundary,,0.0734,absent,no,0
2413072,stop sign,boundary,,0.0701,absent,no,0
2351835,stop sign,boundary,,0.07,absent,no,0
2347670,stop sign,boundary,,0.0699,absent,no,0
2348108,stop sign,boundary,,0.0692,absent,no,0
1159859,stop sign,boundary,,0.0687,absent,no,0
498364,stop sign,boundary,,0.0684,absent,no,0
2413733,stop sign,boundary,,0.0681,absent,no,0
2370417,stop sign,boundary,,0.0679,absent,no,0
2375452,stop sign,boundary,,0.0676,absent,no,0
1926,stop sign,boundary,,0.0667,absent,no,0
4185,stop sign,boundary,,0.0662,absent,no,0
2368073,stop sign,boundary,,0.0661,absent,no,0
2411984,stop sign,boundary,,0.0657,absent,no,0
2355650,stop sign,boundary,,0.0656,absent,no,0
2412754,stop sign,boundary,,0.0651,absent,no,0
2393732,stop sign,boundary,,0.0648,absent,no,0
2398807,stop sign,boundary,,0.0647,absent,no,0
2360,stop sign,boundary,,0.0646,absent,no,0
2383673,stop sign,boundary,,0.064,absent,no,0
1423,stop sign,boundary,,0.0638,absent,no,0
3819,stop sign,boundary,,0.0636,absent,no,0
2373367,stop sign,boundary,,0.0633,absent,no,0
1869,stop sign,boundary,,0.0614,absent,no,0
2396794,stop sign,boundary,,0.0606,absent,no,0
2407821,stop sign,boundary,,0.0593,absent,no,0
2379130,stop sign,boundary,,0.059,absent,no,0
2318383,stop sign,boundary,,0.059,absent,no,0
2370796,stop sign,boundary,,0.0589,absent,no,0
2376310,stop sign,boundary,,0.0585,absent,no,0
2372245,stop sign,boundary,,0.0584,absent,no,0
2331335,stop sign,boundary,,0.0582,absent,no,0
2371725,stop sign,boundary,,0.0579,absent,no,0
713057,stop sign,boundary,,0.0578,absent,no,0
2367860,stop sign,boundary,,0.0569,absent,no,0
2385956,stop sign,boundary,,0.0568,absent,no,0
2350353,stop sign,boundary,,0.0566,absent,no,0
2406453,stop sign,boundary,,0.0562,absent,no,0
1862,stop sign,boundary,,0.0559,absent,no,0
2394666,stop sign,boundary,,0.0559,absent,no,0
2367739,stop sign,boundary,,0.0552,absent,no,0
2407670,stop sign,boundary,,0.055,absent,no,0
1160144,stop sign,boundary,,0.0546,absent,no,0
2346624,stop sign,boundary,,0.0544,absent,no,0
2528,stop sign,boundary,,0.0543,absent,no,0
2408522,stop sign,boundary,,0.0543,absent,no,0
1860,stop sign,boundary,,0.0542,absent,no,0
2365331,stop sign,boundary,,0.0539,absent,no,0
3517,stop sign,boundary,,0.0535,absent,no,0
2402381,stop sign,boundary,,0.0534,absent,no,0
2327394,stop sign,boundary,,0.0528,absent,no,0
2413,stop sign,boundary,,0.0526,absent,no,0
2315680,stop sign,boundary,,0.0526,absent,no,0
1592575,stop sign,boundary,,0.0526,absent,no,0
2335210,stop sign,boundary,,0.0522,absent,no,0
2325377,stop sign,boundary,,0.0517,absent,no,0
1640,stop sign,boundary,,0.0516,absent,no,0
2321704,stop sign,boundary,,0.0513,absent,no,0
2325713,stop sign,boundary,,0.0511,absent,no,0
2393454,stop sign,boundary,,0.0509,absent,no,0
2333132,stop sign,boundary,,0.0502,absent,no,0
2378474,stop sign,boundary,,0.05,absent,no,0
2403697,stop sign,boundary,,0.0496,absent,no,0
2402483,stop sign,boundary,,0.0491,absent,no,0
2348739,stop sign,boundary,,0.0489,absent,no,0
3402,stop sign,boundary,,0.0484,absent,no,0
2355752,stop sign,boundary,,0.0484,absent,no,0
3420,stop sign,boundary,,0.0482,absent,no,0
2384890,stop sign,boundary,,0.0481,absent,no,0
2412600,stop sign,boundary,,0.0479,absent,no,0
107979,stop sign,boundary,,0.0478,absent,no,0
2343021,stop sign,boundary,,0.0476,absent,no,0
2401386,stop sign,boundary,,0.0475,absent,no,0
2397932,stop sign,boundary,,0.0475,absent,no,0
2416997,stop sign,boundary,,0.0474,absent,no,0
2382826,stop sign,boundary,,0.047,absent,no,0
703,stop sign,boundary,,0.0468,absent,no,0
2380023,stop sign,boundary,,0.0466,absent,no,0
2394368,stop sign,boundary,,0.0463,absent,no,0
2400917,stop sign,boundary,,0.0461,absent,no,0
2392030,stop sign,boundary,,0.0453,absent,no,0
2382944,stop sign,boundary,,0.0448,absent,no,0
127,stop sign,boundary,,0.0447,absent,no,0
2366846,stop sign,boundary,,0.0444,absent,no,0
2335084,stop sign,boundary,,0.0442,absent,no,0
2367,stop sign,boundary,,0.044,absent,no,0
2328360,stop sign,boundary,,0.0439,absent,no,0
2326707,stop sign,boundary,,0.0437,absent,no,0
3302,stop sign,boundary,,0.0434,absent,no,0
2370170,stop sign,boundary,,0.0429,absent,no,0
2378230,stop sign,boundary,,0.0428,absent,no,0
2336186,stop sign,boundary,,0.042,absent,no,0
3409,stop sign,boundary,,0.0418,absent,no,0
2429,stop sign,boundary,,0.0418,absent,no,0
