image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes
2359098,umbrella,boundary,,0.1025,absent,no,0
2331453,umbrella,boundary,,0.0987,absent,no,0
2340429,umbrella,boundary,,0.086,absent,no,0
2318224,umbrella,boundary,,0.0847,absent,no,0
2320605,umbrella,boundary,,0.0814,absent,no,0
2417217,umbrella,boundary,,0.078,absent,no,0
2325,umbrella,boundary,,0.0751,absent,no,0
2337804,umbrella,boundary,,0.0642,absent,no,0
2410872,umbrella,boundary,,0.0629,absent,no,0
1159493,umbrella,boundary,,0.0611,absent,no,0
2393128,umbrella,boundary,,0.0572,absent,no,0
2343805,umbrella,boundary,,0.0561,absent,no,0
2341653,umbrella,boundary,,0.0557,absent,no,0
2361665,umbrella,boundary,,0.0544,absent,no,0
2370519,umbrella,boundary,,0.0533,absent,no,0
2398671,umbrella,boundary,,0.0518,absent,no,0
2361028,umbrella,boundary,,0.0511,absent,no,0
2367860,umbrella,boundary,,0.0412,absent,no,0
2379130,umbrella,boundary,,0.041,absent,no,0
127,umbrella,boundary,,0.0407,absent,no,0
498364,umbrella,boundary,,0.0401,absent,no,0
3831,umbrella,boundary,,0.0399,absent,no,0
2315405,umbrella,boundary,,0.0397,absent,no,0
2364388,umbrella,boundary,,0.0394,absent,no,0
2350085,umbrella,boundary,,0.0392,absent,no,0
2315739,umbrella,boundary,,0.0391,absent,no,0
3363,umbrella,boundary,,0.039,absent,no,0
3547,umbrella,boundary,,0.0384,absent,no,0
2403697,umbrella,boundary,,0.0381,absent,no,0
2372421,umbrella,boundary,,0.0378,absent,no,0
2411395,umbrella,boundary,,0.0374,absent,no,0
2395098,umbrella,boundary,,0.0359,absent,no,0
2399824,umbrella,boundary,,0.0358,absent,no,0
2319420,umbrella,boundary,,0.0356,absent,no,0
2383564,umbrella,boundary,,0.0352,absent,no,0
2344692,umbrella,boundary,,0.0352,absent,no,0
2351014,umbrella,boundary,,0.0351,absent,no,0
2397655,umbrella,boundary,,0.0349,absent,no,0
2340623,umbrella,boundary,,0.0344,absent,no,0
713057,umbrella,boundary,,0.034,absent,no,0
4185,umbrella,boundary,,0.034,absent,no,0
