image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2321704,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2352144,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
2329621,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2382011,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
498127,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2394433,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2391183,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
2938,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2430,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
2391557,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
1592114,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
4186,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2355311,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
1444,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
2350353,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
1159493,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2337819,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2339815,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2317323,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2403883,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2331463,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2396637,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
2346929,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2376775,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2403358,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2333359,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2392571,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2347774,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2346974,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2340623,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2417856,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2396937,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2391693,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2378783,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2366293,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2394962,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2346624,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2355650,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2397825,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
1591784,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2319420,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2381939,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
2417961,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2389591,bicycle,flag,definite,,0.0,absent,no,0,bicycle audit
2335210,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
2366193,bicycle,flag,maybe,,0.0,absent,no,0,bicycle audit
1908,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
1573,bicycle,audit,none,,0.0,absent,no,0,bicycle audit
