image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2383448,boat,audit,none,,0.0,absent,no,0,boat audit
2402628,boat,flag,maybe,,0.0,absent,no,0,boat audit
2351133,boat,flag,maybe,,0.0,absent,no,0,boat audit
2385962,boat,audit,none,,0.0,absent,no,0,boat audit
2318858,boat,audit,none,,0.0,absent,no,0,boat audit
3546,boat,audit,none,,0.0,absent,no,0,boat audit
2394765,boat,flag,maybe,,0.0,absent,no,0,boat audit
2399496,boat,audit,none,,0.0,absent,no,0,boat audit
2391847,boat,flag,maybe,,0.0,absent,no,0,boat audit
1592681,boat,flag,maybe,,0.0,absent,no,0,boat audit
2373385,boat,flag,definite,,0.0,absent,no,0,boat audit
2364954,boat,audit,none,,0.0,absent,no,0,boat audit
2324802,boat,flag,definite,,0.0,absent,no,0,boat audit
2333770,boat,flag,definite,,0.0,absent,no,0,boat audit
2328688,boat,audit,none,,0.0,absent,no,0,boat audit
2361820,boat,flag,definite,,0.0,absent,no,0,boat audit
2333386,boat,audit,none,,0.0,absent,no,0,boat audit
2356125,boat,audit,none,,0.0,absent,no,0,boat audit
2335749,boat,flag,maybe,,0.0,absent,no,0,boat audit
2404637,boat,flag,definite,,0.0,absent,no,0,boat audit
2403209,boat,audit,none,,0.0,absent,no,0,boat audit
2347874,boat,audit,none,,0.0,absent,no,0,boat audit
2352709,boat,audit,none,,0.0,absent,no,0,boat audit
2371721,boat,audit,none,,0.0,absent,no,0,boat audit
2333617,boat,audit,none,,0.0,absent,no,0,boat audit
2344364,boat,audit,none,,0.0,absent,no,0,boat audit
2402139,boat,audit,none,,0.0,absent,no,0,boat audit
2316807,boat,flag,definite,,0.0,absent,no,0,boat audit
2331543,boat,audit,none,,0.0,absent,no,0,boat audit
2366513,boat,audit,none,,0.0,absent,no,0,boat audit
2370133,boat,flag,definite,,0.0,absent,no,0,boat audit
2376791,boat,audit,none,,0.0,absent,no,0,boat audit
2417658,boat,audit,none,,0.0,absent,no,0,boat audit
