image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2354052,book,audit,none,,0.0,absent,no,0,book audit
2350085,book,flag,maybe,,0.0,absent,no,0,book audit
2416141,book,flag,maybe,,0.0,absent,no,0,book audit
2412576,book,flag,maybe,,0.0,absent,no,0,book audit
2387595,book,flag,definite,,0.0,absent,no,0,book audit
2385070,book,flag,maybe,,0.0,absent,no,0,book audit
2417658,book,audit,none,,0.0,absent,no,0,book audit
2330283,book,audit,none,,0.0,absent,no,0,book audit
2388433,book,flag,definite,,0.0,absent,no,0,book audit
2398217,book,flag,maybe,,0.0,absent,no,0,book audit
2401159,book,flag,maybe,,0.0,absent,no,0,book audit
2330923,book,flag,maybe,,0.0,absent,no,0,book audit
2348873,book,audit,none,,0.0,absent,no,0,book audit
2388336,book,audit,none,,0.0,absent,no,0,book audit
2369399,book,flag,definite,,0.0,absent,no,0,book audit
2340101,book,flag,definite,,0.0,absent,no,0,book audit
2677,book,audit,none,,0.0,absent,no,0,book audit
2387942,book,audit,none,,0.0,absent,no,0,book audit
2331516,book,audit,none,,0.0,absent,no,0,book audit
3561,book,audit,none,,0.0,absent,no,0,book audit
2315518,book,flag,maybe,,0.0,absent,no,0,book audit
249,book,flag,maybe,,0.0,absent,no,0,book audit
2379050,book,audit,none,,0.0,absent,no,0,book audit
2413601,book,audit,none,,0.0,absent,no,0,book audit
382,book,flag,definite,,0.0,absent,no,0,book audit
2403463,book,audit,none,,0.0,absent,no,0,book audit
2359130,book,audit,none,,0.0,absent,no,0,book audit
1986,book,audit,none,,0.0,absent,no,0,book audit
2330512,book,flag,definite,,0.0,absent,no,0,book audit
2390642,book,audit,none,,0.0,absent,no,0,book audit
2391817,book,flag,maybe,,0.0,absent,no,0,book audit
2391763,book,flag,definite,,0.0,absent,no,0,book audit
2315437,book,flag,definite,,0.0,absent,no,0,book audit
2320106,book,audit,none,,0.0,absent,no,0,book audit
4494,book,audit,none,,0.0,absent,no,0,book audit
2398959,book,audit,none,,0.0,absent,no,0,book audit
1592922,book,audit,none,,0.0,absent,no,0,book audit
2360389,book,audit,none,,0.0,absent,no,0,book audit
1592623,book,flag,maybe,,0.0,absent,no,0,book audit
2358000,book,flag,maybe,,0.0,absent,no,0,book audit
