image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
1591950,bus,flag,definite,,0.0,absent,no,0,bus audit
894,bus,audit,none,,0.0,absent,no,0,bus audit
1159774,bus,flag,definite,,0.0,absent,no,0,bus audit
2354476,bus,audit,none,,0.0,absent,no,0,bus audit
713503,bus,flag,definite,,0.0,absent,no,0,bus audit
2315790,bus,flag,maybe,,0.0,absent,no,0,bus audit
2374296,bus,audit,none,,0.0,absent,no,0,bus audit
2416141,bus,audit,none,,0.0,absent,no,0,bus audit
2395882,bus,audit,none,,0.0,absent,no,0,bus audit
2342219,bus,audit,none,,0.0,absent,no,0,bus audit
3163,bus,audit,none,,0.0,absent,no,0,bus audit
2365331,bus,audit,none,,0.0,absent,no,0,bus audit
2336745,bus,flag,maybe,,0.0,absent,no,0,bus audit
2340344,bus,audit,none,,0.0,absent,no,0,bus audit
2383834,bus,flag,definite,,0.0,absent,no,0,bus audit
2346598,bus,flag,maybe,,0.0,absent,no,0,bus audit
2391183,bus,audit,none,,0.0,absent,no,0,bus audit
2413721,bus,audit,none,,0.0,absent,no,0,bus audit
2371725,bus,audit,none,,0.0,absent,no,0,bus audit
2389485,bus,flag,maybe,,0.0,absent,no,0,bus audit
713792,bus,flag,definite,,0.0,absent,no,0,bus audit
3409,bus,audit,none,,0.0,absent,no,0,bus audit
1908,bus,audit,none,,0.0,absent,no,0,bus audit
2368730,bus,audit,none,,0.0,absent,no,0,bus audit
2361665,bus,audit,none,,0.0,absent,no,0,bus audit
2321,bus,flag,definite,,0.0,absent,no,0,bus audit
3851,bus,audit,none,,0.0,absent,no,0,bus audit
4575,bus,audit,none,,0.0,absent,no,0,bus audit
3464,bus,audit,none,,0.0,absent,no,0,bus audit
3819,bus,audit,none,,0.0,absent,no,0,bus audit
