image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2387439,clock,audit,none,,0.0,absent,no,0,clock audit
3524,clock,flag,maybe,,0.0,absent,no,0,clock audit
2414120,clock,flag,definite,,0.0,absent,no,0,clock audit
2404864,clock,flag,maybe,,0.0,absent,no,0,clock audit
2393320,clock,flag,definite,,0.0,absent,no,0,clock audit
4119,clock,audit,none,,0.0,absent,no,0,clock audit
2388710,clock,audit,none,,0.0,absent,no,0,clock audit
2354806,clock,audit,none,,0.0,absent,no,0,clock audit
2393732,clock,audit,none,,0.0,absent,no,0,clock audit
2415536,clock,audit,none,,0.0,absent,no,0,clock audit
2402185,clock,flag,maybe,,0.0,absent,no,0,clock audit
2328001,clock,flag,definite,,0.0,absent,no,0,clock audit
2383825,clock,audit,none,,0.0,absent,no,0,clock audit
2353391,clock,audit,none,,0.0,absent,no,0,clock audit
2320217,clock,audit,none,,0.0,absent,no,0,clock audit
2346981,clock,flag,maybe,,0.0,absent,no,0,clock audit
775,clock,flag,maybe,,0.0,absent,no,0,clock audit
2335210,clock,flag,maybe,,0.0,absent,no,0,clock audit
2338705,clock,flag,maybe,,0.0,absent,no,0,clock audit
2329367,clock,audit,none,,0.0,absent,no,0,clock audit
2329999,clock,audit,none,,0.0,absent,no,0,clock audit
2389942,clock,audit,none,,0.0,absent,no,0,clock audit
2374373,clock,audit,none,,0.0,absent,no,0,clock audit
2398553,clock,flag,definite,,0.0,absent,no,0,clock audit
2372724,clock,audit,none,,0.0,absent,no,0,clock audit
2378783,clock,audit,none,,0.0,absent,no,0,clock audit
1159859,clock,flag,definite,,0.0,absent,no,0,clock audit
1709,clock,audit,none,,0.0,absent,no,0,clock audit
2340518,clock,flag,definite,,0.0,absent,no,0,clock audit
2394287,clock,flag,definite,,0.0,absent,no,0,clock audit
1592591,clock,audit,none,,0.0,absent,no,0,clock audit
2329127,clock,flag,definite,,0.0,absent,no,0,clock audit
713057,clock,audit,none,,0.0,absent,no,0,clock audit
2394526,clock,audit,none,,0.0,absent,no,0,clock audit
2392509,clock,flag,definite,,0.0,absent,no,0,clock audit
703,clock,audit,none,,0.0,absent,no,0,clock audit
2398959,clock,flag,maybe,,0.0,absent,no,0,clock audit
