image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2337180,dog,flag,maybe,,0.0,absent,no,0,dog audit
2411661,dog,audit,none,,0.0,absent,no,0,dog audit
2372586,dog,flag,definite,,0.0,absent,no,0,dog audit
2384185,dog,audit,none,,0.0,absent,no,0,dog audit
2329492,dog,flag,maybe,,0.0,absent,no,0,dog audit
2402094,dog,flag,maybe,,0.0,absent,no,0,dog audit
2337963,dog,flag,definite,,0.0,absent,no,0,dog audit
2381036,dog,flag,definite,,0.0,absent,no,0,dog audit
2360312,dog,flag,definite,,0.0,absent,no,0,dog audit
2407397,dog,flag,definite,,0.0,absent,no,0,dog audit
2405193,dog,flag,definite,,0.0,absent,no,0,dog audit
2390162,dog,audit,none,,0.0,absent,no,0,dog audit
2388336,dog,audit,none,,0.0,absent,no,0,dog audit
2331560,dog,flag,definite,,0.0,absent,no,0,dog audit
1159712,dog,flag,maybe,,0.0,absent,no,0,dog audit
2341929,dog,flag,definite,,0.0,absent,no,0,dog audit
2324526,dog,flag,maybe,,0.0,absent,no,0,dog audit
2391183,dog,flag,maybe,,0.0,absent,no,0,dog audit
2368073,dog,audit,none,,0.0,absent,no,0,dog audit
2399424,dog,audit,none,,0.0,absent,no,0,dog audit
2365412,dog,audit,none,,0.0,absent,no,0,dog audit
2357470,dog,audit,none,,0.0,absent,no,0,dog audit
2370106,dog,flag,maybe,,0.0,absent,no,0,dog audit
2328716,dog,flag,definite,,0.0,absent,no,0,dog audit
2357604,dog,audit,none,,0.0,absent,no,0,dog audit
2348214,dog,audit,none,,0.0,absent,no,0,dog audit
2388537,dog,audit,none,,0.0,absent,no,0,dog audit
2359631,dog,audit,none,,0.0,absent,no,0,dog audit
2380023,dog,flag,maybe,,0.0,absent,no,0,dog audit
312,dog,flag,maybe,,0.0,absent,no,0,dog audit
2320217,dog,audit,none,,0.0,absent,no,0,dog audit
2392042,dog,audit,none,,0.0,absent,no,0,dog audit
2360226,dog,audit,none,,0.0,absent,no,0,dog audit
2379050,dog,flag,maybe,,0.0,absent,no,0,dog audit
2375327,dog,flag,maybe,,0.0,absent,no,0,dog audit
2348311,dog,flag,maybe,,0.0,absent,no,0,dog audit
2404884,dog,audit,none,,0.0,absent,no,0,dog audit
2317277,dog,flag,definite,,0.0,absent,no,0,dog audit
2397789,dog,audit,none,,0.0,absent,no,0,dog audit
2388574,dog,flag,maybe,,0.0,absent,no,0,dog audit
2409680,dog,flag,maybe,,0.0,absent,no,0,dog audit
2393715,dog,audit,none,,0.0,absent,no,0,dog audit
2387985,dog,flag,maybe,,0.0,absent,no,0,dog audit
2327090,dog,audit,none,,0.0,absent,no,0,dog audit
2335445,dog,audit,none,,0.0,absent,no,0,dog audit
2361435,dog,flag,definite,,0.0,absent,no,0,dog audit
