image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2411842,kite,flag,definite,,0.0,absent,no,0,kite audit
2362095,kite,flag,maybe,,0.0,absent,no,0,kite audit
2323085,kite,flag,maybe,,0.0,absent,no,0,kite audit
2386661,kite,audit,none,,0.0,absent,no,0,kite audit
2334934,kite,audit,none,,0.0,absent,no,0,kite audit
2356415,kite,audit,none,,0.0,absent,no,0,kite audit
2404330,kite,flag,definite,,0.0,absent,no,0,kite audit
2366393,kite,audit,none,,0.0,absent,no,0,kite audit
2414532,kite,audit,none,,0.0,absent,no,0,kite audit
2360117,kite,flag,maybe,,0.0,absent,no,0,kite audit
2390822,kite,audit,none,,0.0,absent,no,0,kite audit
2394130,kite,flag,maybe,,0.0,absent,no,0,kite audit
2366522,kite,flag,maybe,,0.0,absent,no,0,kite audit
2381939,kite,audit,none,,0.0,absent,no,0,kite audit
713800,kite,audit,none,,0.0,absent,no,0,kite audit
2401991,kite,audit,none,,0.0,absent,no,0,kite audit
2395882,kite,audit,none,,0.0,absent,no,0,kite audit
2417658,kite,flag,maybe,,0.0,absent,no,0,kite audit
2331453,kite,flag,maybe,,0.0,absent,no,0,kite audit
2417117,kite,flag,definite,,0.0,absent,no,0,kite audit
1803,kite,flag,maybe,,0.0,absent,no,0,kite audit
2385504,kite,flag,maybe,,0.0,absent,no,0,kite audit
2385642,kite,audit,none,,0.0,absent,no,0,kite audit
2389374,kite,flag,maybe,,0.0,absent,no,0,kite audit
1159387,kite,flag,maybe,,0.0,absent,no,0,kite audit
2400291,kite,flag,definite,,0.0,absent,no,0,kite audit
2325408,kite,audit,none,,0.0,absent,no,0,kite audit
2344260,kite,flag,maybe,,0.0,absent,no,0,kite audit
2417033,kite,audit,none,,0.0,absent,no,0,kite audit
2328716,kite,flag,definite,,0.0,absent,no,0,kite audit
2373235,kite,audit,none,,0.0,absent,no,0,kite audit
2381787,kite,flag,definite,,0.0,absent,no,0,kite audit
2404693,kite,flag,maybe,,0.0,absent,no,0,kite audit
2322248,kite,flag,maybe,,0.0,absent,no,0,kite audit
2404001,kite,audit,none,,0.0,absent,no,0,kite audit
2321236,kite,flag,maybe,,0.0,absent,no,0,kite audit
2360975,kite,flag,maybe,,0.0,absent,no,0,kite audit
2331220,kite,flag,maybe,,0.0,absent,no,0,kite audit
2315590,kite,flag,maybe,,0.0,absent,no,0,kite audit
2391377,kite,flag,maybe,,0.0,absent,no,0,kite audit
498085,kite,flag,maybe,,0.0,absent,no,0,kite audit
2350448,kite,flag,maybe,,0.0,absent,no,0,kite audit
2329438,kite,flag,maybe,,0.0,absent,no,0,kite audit
2324802,kite,audit,none,,0.0,absent,no,0,kite audit
2333001,kite,audit,none,,0.0,absent,no,0,kite audit
2372421,kite,flag,maybe,,0.0,absent,no,0,kite audit
2316125,kite,flag,maybe,,0.0,absent,no,0,kite audit
2411298,kite,audit,none,,0.0,absent,no,0,kite audit
2402627,kite,flag,definite,,0.0,absent,no,0,kite audit
2339643,kite,flag,maybe,,0.0,absent,no,0,kite audit
2406910,kite,audit,none,,0.0,absent,no,0,kite audit
2328674,kite,audit,none,,0.0,absent,no,0,kite audit
2351431,kite,flag,maybe,,0.0,absent,no,0,kite audit
2349207,kite,flag,maybe,,0.0,absent,no,0,kite audit
2328919,kite,flag,definite,,0.0,absent,no,0,kite audit
2383707,kite,flag,maybe,,0.0,absent,no,0,kite audit
2315378,kite,flag,maybe,,0.0,absent,no,0,kite audit
