image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2392453,knife,flag,maybe,,0.0,absent,no,0,knife audit
2343964,knife,flag,definite,,0.0,absent,no,0,knife audit
2407928,knife,flag,maybe,,0.0,absent,no,0,knife audit
2368150,knife,flag,maybe,,0.0,absent,no,0,knife audit
2383997,knife,flag,maybe,,0.0,absent,no,0,knife audit
2411873,knife,flag,definite,,0.0,absent,no,0,knife audit
4822,knife,flag,definite,,0.0,absent,no,0,knife audit
2398490,knife,flag,definite,,0.0,absent,no,0,knife audit
2434,knife,audit,none,,0.0,absent,no,0,knife audit
936,knife,audit,none,,0.0,absent,no,0,knife audit
2373582,knife,flag,maybe,,0.0,absent,no,0,knife audit
4779,knife,flag,definite,,0.0,absent,no,0,knife audit
2416567,knife,flag,definite,,0.0,absent,no,0,knife audit
2382747,knife,flag,maybe,,0.0,absent,no,0,knife audit
2405918,knife,audit,none,,0.0,absent,no,0,knife audit
2347670,knife,audit,none,,0.0,absent,no,0,knife audit
2391949,knife,flag,maybe,,0.0,absent,no,0,knife audit
2402637,knife,flag,definite,,0.0,absent,no,0,knife audit
2344692,knife,flag,definite,,0.0,absent,no,0,knife audit
2405346,knife,flag,definite,,0.0,absent,no,0,knife audit
2318351,knife,flag,definite,,0.0,absent,no,0,knife audit
2322204,knife,flag,definite,,0.0,absent,no,0,knife audit
2401393,knife,flag,maybe,,0.0,absent,no,0,knife audit
2341961,knife,flag,definite,,0.0,absent,no,0,knife audit
2388420,knife,audit,none,,0.0,absent,no,0,knife audit
2372525,knife,flag,maybe,,0.0,absent,no,0,knife audit
2367917,knife,audit,none,,0.0,absent,no,0,knife audit
2416854,knife,audit,none,,0.0,absent,no,0,knife audit
1159625,knife,flag,definite,,0.0,absent,no,0,knife audit
2371955,knife,audit,none,,0.0,absent,no,0,knife audit
1593072,knife,audit,none,,0.0,absent,no,0,knife audit
2318894,knife,flag,definite,,0.0,absent,no,0,knife audit
2390345,knife,flag,definite,,0.0,absent,no,0,knife audit
1159667,knife,flag,maybe,,0.0,absent,no,0,knife audit
2402058,knife,flag,maybe,,0.0,absent,no,0,knife audit
2331421,knife,audit,none,,0.0,absent,no,0,knife audit
2780,knife,audit,none,,0.0,absent,no,0,knife audit
2381884,knife,flag,definite,,0.0,absent,no,0,knife audit
2382170,knife,flag,definite,,0.0,absent,no,0,knife audit
2325472,knife,flag,maybe,,0.0,absent,no,0,knife audit
2385339,knife,flag,maybe,,0.0,absent,no,0,knife audit
2350334,knife,flag,maybe,,0.0,absent,no,0,knife audit
2397360,knife,flag,maybe,,0.0,absent,no,0,knife audit
2417271,knife,flag,maybe,,0.0,absent,no,0,knife audit
2403209,knife,audit,none,,0.0,absent,no,0,knife audit
2409347,knife,flag,maybe,,0.0,absent,no,0,knife audit
2382310,knife,flag,maybe,,0.0,absent,no,0,knife audit
2410194,knife,audit,none,,0.0,absent,no,0,knife audit
2335733,knife,flag,maybe,,0.0,absent,no,0,knife audit
2315892,knife,flag,definite,,0.0,absent,no,0,knife audit
2366560,knife,audit,none,,0.0,absent,no,0,knife audit
1592985,knife,flag,maybe,,0.0,absent,no,0,knife audit
2390905,knife,audit,none,,0.0,absent,no,0,knife audit
2357163,knife,audit,none,,0.0,absent,no,0,knife audit
2405082,knife,audit,none,,0.0,absent,no,0,knife audit
2410022,knife,audit,none,,0.0,absent,no,0,knife audit
2406531,knife,flag,maybe,,0.0,absent,no,0,knife audit
2335811,knife,flag,maybe,,0.0,absent,no,0,knife audit
2362690,knife,flag,maybe,,0.0,absent,no,0,knife audit
2413441,knife,flag,maybe,,0.0,absent,no,0,knife audit
2375344,knife,audit,none,,0.0,absent,no,0,knife audit
2377105,knife,flag,maybe,,0.0,absent,no,0,knife audit
2316113,knife,flag,maybe,,0.0,absent,no,0,knife audit
2344503,knife,flag,maybe,,0.0,absent,no,0,knife audit
2355620,knife,flag,maybe,,0.0,absent,no,0,knife audit
2370423,knife,flag,maybe,,0.0,absent,no,0,knife audit
1591784,knife,audit,none,,0.0,absent,no,0,knife audit
