image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2374373,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2379325,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2377949,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2395403,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2330522,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2413495,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2323019,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2343021,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2327380,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2380023,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2328932,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
1423,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2332526,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
5000,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
1821,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2354790,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2397293,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2320830,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2403328,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2347670,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2413072,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
1160144,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2370519,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2385956,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2376820,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2320643,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2413721,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
918,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2369709,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2351835,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2394639,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
1640,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2386217,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2373888,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2335149,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2321424,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
1860,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
2392139,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
1572,stop sign,audit,none,,0.0,absent,no,0,stop sign audit
498364,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2354702,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2355650,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2349493,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2330273,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2325713,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2338822,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2317082,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
2368478,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
2318201,stop sign,flag,definite,,0.0,absent,no,0,stop sign audit
1869,stop sign,flag,maybe,,0.0,absent,no,0,stop sign audit
