image_id,class,stratum,triage,cell,text_score,reference,exhaustive,n_boxes,detector
2341653,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2388076,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2341377,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2328305,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2325,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
3603,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2410042,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2372953,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2386874,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2361028,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
150326,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2318224,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2411936,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2315405,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2382660,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
4263,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2410872,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2360718,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2340429,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2417217,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2331453,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2366587,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
498085,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2397655,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2393128,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2400291,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2320605,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2384073,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2315675,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2316943,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2343805,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
3032,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2429,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
592,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2347237,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2359098,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2337804,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
1159493,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2376679,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2360322,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2353763,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2350003,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2372421,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2333001,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2383564,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2351014,umbrella,flag,definite,,0.0,absent,no,0,umbrella audit
2324742,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
285878,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2389942,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2402561,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
2337876,umbrella,audit,none,,0.0,absent,no,0,umbrella audit
2383834,umbrella,flag,maybe,,0.0,absent,no,0,umbrella audit
