image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2400332,backpack,positive_boxed,backpack@small,0.0,present,yes,1,backpack positives
2318811,backpack,positive_boxed,backpack@small,0.0,present,yes,1,backpack positives
2315657,backpack,positive_boxed,backpack@small,0.0,present,yes,1,backpack positives
2382120,backpack,positive_boxed,backpack@small,0.0,present,no,1,backpack positives
2342547,backpack,positive_boxed,backpack@small,0.0,present,no,1,backpack positives
2346175,backpack,positive_boxed,backpack@small,0.0,present,yes,1,backpack positives
2362719,backpack,positive_boxed,backpack@small,0.0,present,yes,1,backpack positives
2404289,backpack,positive_boxed,backpack@small,0.0,present,no,1,backpack positives
2388734,backpack,positive_boxed,backpack@small,0.0,present,yes,1,backpack positives
2358556,backpack,positive_boxed,backpack@small,0.0,present,no,1,backpack positives
1592062,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
2354933,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
2414575,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
2365838,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
2346517,backpack,positive_boxed,backpack@medium,0.0,present,no,1,backpack positives
2389758,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
2416477,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
2409434,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
2337703,backpack,positive_boxed,backpack@medium,0.0,present,yes,1,backpack positives
1592325,backpack,positive_boxed,backpack@medium,0.0,present,no,1,backpack positives
2381555,backpack,positive_boxed,backpack@large,0.0,present,yes,1,backpack positives
2322102,backpack,positive_boxed,backpack@large,0.0,present,no,1,backpack positives
2368828,backpack,positive_boxed,backpack@large,0.0,present,no,1,backpack positives
2400362,backpack,positive_boxed,backpack@large,0.0,present,no,1,backpack positives
2375989,backpack,positive_boxed,backpack@large,0.0,present,yes,1,backpack positives
2337816,backpack,positive_boxed,backpack@large,0.0,present,yes,1,backpack positives
2388880,backpack,positive_boxed,backpack@large,0.0,present,no,1,backpack positives
2373541,backpack,positive_boxed,backpack@large,0.0,present,yes,1,backpack positives
2327806,backpack,positive_boxed,backpack@large,0.0,present,no,1,backpack positives
2369887,backpack,positive_boxed,backpack@large,0.0,present,yes,1,backpack positives
