image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2332474,bicycle,positive_boxed,bicycle@small,0.0,present,yes,1,bicycle positives
2374765,bicycle,positive_boxed,bicycle@small,0.0,present,yes,1,bicycle positives
2379354,bicycle,positive_boxed,bicycle@small,0.0,present,yes,1,bicycle positives
2319032,bicycle,positive_boxed,bicycle@small,0.0,present,yes,1,bicycle positives
2346923,bicycle,positive_boxed,bicycle@small,0.0,present,no,1,bicycle positives
2379908,bicycle,positive_boxed,bicycle@small,0.0,present,no,1,bicycle positives
2343026,bicycle,positive_boxed,bicycle@small,0.0,present,no,1,bicycle positives
2383865,bicycle,positive_boxed,bicycle@small,0.0,present,yes,1,bicycle positives
2323476,bicycle,positive_boxed,bicycle@small,0.0,present,yes,1,bicycle positives
2352463,bicycle,positive_boxed,bicycle@small,0.0,present,yes,1,bicycle positives
2381204,bicycle,positive_boxed,bicycle@medium,0.0,present,yes,2,bicycle positives
61520,bicycle,positive_boxed,bicycle@medium,0.0,present,yes,1,bicycle positives
2340247,bicycle,positive_boxed,bicycle@medium,0.0,present,yes,1,bicycle positives
1592213,bicycle,positive_boxed,bicycle@medium,0.0,present,yes,1,bicycle positives
2358679,bicycle,positive_boxed,bicycle@medium,0.0,present,yes,1,bicycle positives
2369251,bicycle,positive_boxed,bicycle@medium,0.0,present,no,1,bicycle positives
2833,bicycle,positive_boxed,bicycle@medium,0.0,present,no,1,bicycle positives
2322942,bicycle,positive_boxed,bicycle@medium,0.0,present,yes,1,bicycle positives
2325292,bicycle,positive_boxed,bicycle@medium,0.0,present,no,1,bicycle positives
2372252,bicycle,positive_boxed,bicycle@medium,0.0,present,no,1,bicycle positives
2324437,bicycle,positive_boxed,bicycle@large,0.0,present,yes,2,bicycle positives
713222,bicycle,positive_boxed,bicycle@large,0.0,present,yes,1,bicycle positives
2352746,bicycle,positive_boxed,bicycle@large,0.0,present,no,1,bicycle positives
2352009,bicycle,positive_boxed,bicycle@large,0.0,present,yes,1,bicycle positives
2326519,bicycle,positive_boxed,bicycle@large,0.0,present,no,1,bicycle positives
2367129,bicycle,positive_boxed,bicycle@large,0.0,present,yes,1,bicycle positives
2353209,bicycle,positive_boxed,bicycle@large,0.0,present,yes,1,bicycle positives
2396159,bicycle,positive_boxed,bicycle@large,0.0,present,no,1,bicycle positives
498037,bicycle,positive_boxed,bicycle@large,0.0,present,yes,1,bicycle positives
2370839,bicycle,positive_boxed,bicycle@large,0.0,present,yes,1,bicycle positives
