image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2330687,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2343325,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2378987,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2414459,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2350557,bird,positive_boxed,bird@small,0.0,present,no,1,bird positives
2410241,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2401109,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2380649,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2402925,bird,positive_boxed,bird@small,0.0,present,yes,1,bird positives
2351951,bird,positive_boxed,bird@small,0.0,present,no,1,bird positives
2392231,bird,positive_boxed,bird@medium,0.0,present,yes,1,bird positives
2370546,bird,positive_boxed,bird@medium,0.0,present,no,1,bird positives
2376794,bird,positive_boxed,bird@medium,0.0,present,yes,15,bird positives
2400933,bird,positive_boxed,bird@medium,0.0,present,yes,1,bird positives
150391,bird,positive_boxed,bird@medium,0.0,present,yes,1,bird positives
2343385,bird,positive_boxed,bird@medium,0.0,present,no,1,bird positives
2400881,bird,positive_boxed,bird@medium,0.0,present,yes,1,bird positives
2341783,bird,positive_boxed,bird@medium,0.0,present,no,1,bird positives
2316277,bird,positive_boxed,bird@medium,0.0,present,no,1,bird positives
2336197,bird,positive_boxed,bird@medium,0.0,present,no,1,bird positives
2365606,bird,positive_boxed,bird@large,0.0,present,yes,1,bird positives
1591909,bird,positive_boxed,bird@large,0.0,present,yes,14,bird positives
2356531,bird,positive_boxed,bird@large,0.0,present,no,1,bird positives
2339253,bird,positive_boxed,bird@large,0.0,present,yes,1,bird positives
2374866,bird,positive_boxed,bird@large,0.0,present,yes,14,bird positives
2350692,bird,positive_boxed,bird@large,0.0,present,yes,3,bird positives
2383791,bird,positive_boxed,bird@large,0.0,present,no,1,bird positives
2407806,bird,positive_boxed,bird@large,0.0,present,yes,1,bird positives
2384401,bird,positive_boxed,bird@large,0.0,present,no,1,bird positives
2316907,bird,positive_boxed,bird@large,0.0,present,yes,1,bird positives
