image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2395308,boat,positive_boxed,boat@small,0.0,present,no,1,boat positives
2400286,boat,positive_boxed,boat@small,0.0,present,yes,1,boat positives
2321730,boat,positive_boxed,boat@small,0.0,present,no,1,boat positives
2404479,boat,positive_boxed,boat@small,0.0,present,yes,1,boat positives
2410687,boat,positive_boxed,boat@small,0.0,present,no,1,boat positives
2417174,boat,positive_boxed,boat@small,0.0,present,yes,1,boat positives
2345345,boat,positive_boxed,boat@small,0.0,present,no,1,boat positives
2324684,boat,positive_boxed,boat@small,0.0,present,no,1,boat positives
2378383,boat,positive_boxed,boat@small,0.0,present,no,1,boat positives
2375766,boat,positive_boxed,boat@small,0.0,present,yes,1,boat positives
2335315,boat,positive_boxed,boat@medium,0.0,present,yes,1,boat positives
2404582,boat,positive_boxed,boat@medium,0.0,present,yes,1,boat positives
2332287,boat,positive_boxed,boat@medium,0.0,present,yes,1,boat positives
2417403,boat,positive_boxed,boat@medium,0.0,present,no,1,boat positives
2413215,boat,positive_boxed,boat@medium,0.0,present,no,1,boat positives
2356161,boat,positive_boxed,boat@medium,0.0,present,yes,14,boat positives
2390096,boat,positive_boxed,boat@medium,0.0,present,no,1,boat positives
498379,boat,positive_boxed,boat@medium,0.0,present,yes,1,boat positives
2393447,boat,positive_boxed,boat@medium,0.0,present,yes,1,boat positives
2504,boat,positive_boxed,boat@medium,0.0,present,no,1,boat positives
2355027,boat,positive_boxed,boat@large,0.0,present,yes,1,boat positives
1592412,boat,positive_boxed,boat@large,0.0,present,yes,1,boat positives
2343537,boat,positive_boxed,boat@large,0.0,present,no,1,boat positives
2383272,boat,positive_boxed,boat@large,0.0,present,no,1,boat positives
2353728,boat,positive_boxed,boat@large,0.0,present,yes,1,boat positives
2368914,boat,positive_boxed,boat@large,0.0,present,no,1,boat positives
2382231,boat,positive_boxed,boat@large,0.0,present,yes,1,boat positives
2414652,boat,positive_boxed,boat@large,0.0,present,yes,1,boat positives
2360891,boat,positive_boxed,boat@large,0.0,present,no,1,boat positives
2412536,boat,positive_boxed,boat@large,0.0,present,no,1,boat positives
