image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2323092,book,positive_boxed,book@small,0.0,present,yes,1,book positives
2326738,book,positive_boxed,book@small,0.0,present,no,1,book positives
2404037,book,positive_boxed,book@small,0.0,present,yes,2,book positives
2374893,book,positive_boxed,book@small,0.0,present,yes,1,book positives
713886,book,positive_boxed,book@small,0.0,present,yes,2,book positives
2361398,book,positive_boxed,book@small,0.0,present,no,1,book positives
2343699,book,positive_boxed,book@small,0.0,present,yes,1,book positives
2336960,book,positive_boxed,book@small,0.0,present,yes,1,book positives
2400592,book,positive_boxed,book@small,0.0,present,no,1,book positives
2350170,book,positive_boxed,book@small,0.0,present,yes,1,book positives
2402192,book,positive_boxed,book@medium,0.0,present,yes,1,book positives
2410215,book,positive_boxed,book@medium,0.0,present,yes,1,book positives
2358767,book,positive_boxed,book@medium,0.0,present,yes,1,book positives
2357166,book,positive_boxed,book@medium,0.0,present,no,1,book positives
2412920,book,positive_boxed,book@medium,0.0,present,no,1,book positives
2339697,book,positive_boxed,book@medium,0.0,present,yes,1,book positives
2380308,book,positive_boxed,book@medium,0.0,present,yes,1,book positives
2406639,book,positive_boxed,book@medium,0.0,present,no,1,book positives
2336963,book,positive_boxed,book@medium,0.0,present,yes,1,book positives
2344508,book,positive_boxed,book@medium,0.0,present,no,1,book positives
2316453,book,positive_boxed,book@large,0.0,present,yes,13,book positives
2370705,book,positive_boxed,book@large,0.0,present,yes,1,book positives
2357483,book,positive_boxed,book@large,0.0,present,no,1,book positives
2332254,book,positive_boxed,book@large,0.0,present,yes,2,book positives
2393752,book,positive_boxed,book@large,0.0,present,yes,1,book positives
2332843,book,positive_boxed,book@large,0.0,present,yes,1,book positives
2408366,book,positive_boxed,book@large,0.0,present,yes,14,book positives
2366643,book,positive_boxed,book@large,0.0,present,no,1,book positives
2318093,book,positive_boxed,book@large,0.0,present,yes,1,book positives
713617,book,positive_boxed,book@large,0.0,present,yes,14,book positives
