image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2413443,bus,positive_boxed,bus@small,0.0,present,no,1,bus positives
2352140,bus,positive_boxed,bus@small,0.0,present,yes,1,bus positives
1159868,bus,positive_boxed,bus@small,0.0,present,yes,1,bus positives
2352602,bus,positive_boxed,bus@small,0.0,present,no,1,bus positives
2369084,bus,positive_boxed,bus@small,0.0,present,yes,1,bus positives
2319847,bus,positive_boxed,bus@small,0.0,present,yes,1,bus positives
2322164,bus,positive_boxed,bus@small,0.0,present,yes,1,bus positives
2415747,bus,positive_boxed,bus@small,0.0,present,no,1,bus positives
2338474,bus,positive_boxed,bus@small,0.0,present,yes,1,bus positives
2410527,bus,positive_boxed,bus@small,0.0,present,yes,1,bus positives
2409034,bus,positive_boxed,bus@medium,0.0,present,yes,1,bus positives
2356374,bus,positive_boxed,bus@medium,0.0,present,yes,1,bus positives
2320221,bus,positive_boxed,bus@medium,0.0,present,no,1,bus positives
2394171,bus,positive_boxed,bus@medium,0.0,present,yes,1,bus positives
2398433,bus,positive_boxed,bus@medium,0.0,present,no,1,bus positives
2357116,bus,positive_boxed,bus@medium,0.0,present,yes,1,bus positives
2325349,bus,positive_boxed,bus@medium,0.0,present,no,1,bus positives
2401612,bus,positive_boxed,bus@medium,0.0,present,no,1,bus positives
2324973,bus,positive_boxed,bus@medium,0.0,present,yes,1,bus positives
2354865,bus,positive_boxed,bus@medium,0.0,present,yes,1,bus positives
2390477,bus,positive_boxed,bus@large,0.0,present,no,1,bus positives
2368663,bus,positive_boxed,bus@large,0.0,present,yes,1,bus positives
2353651,bus,positive_boxed,bus@large,0.0,present,no,2,bus positives
2383359,bus,positive_boxed,bus@large,0.0,present,no,1,bus positives
2392288,bus,positive_boxed,bus@large,0.0,present,yes,1,bus positives
2399486,bus,positive_boxed,bus@large,0.0,present,yes,1,bus positives
2335626,bus,positive_boxed,bus@large,0.0,present,no,2,bus positives
2382611,bus,positive_boxed,bus@large,0.0,present,no,1,bus positives
2411995,bus,positive_boxed,bus@large,0.0,present,no,1,bus positives
2367982,bus,positive_boxed,bus@large,0.0,present,no,1,bus positives
