image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2351785,clock,positive_boxed,clock@small,0.0,present,yes,1,clock positives
713944,clock,positive_boxed,clock@small,0.0,present,yes,1,clock positives
2388612,clock,positive_boxed,clock@small,0.0,present,yes,1,clock positives
2368777,clock,positive_boxed,clock@small,0.0,present,yes,1,clock positives
2332290,clock,positive_boxed,clock@small,0.0,present,no,1,clock positives
2331975,clock,positive_boxed,clock@small,0.0,present,yes,1,clock positives
2386939,clock,positive_boxed,clock@small,0.0,present,no,1,clock positives
2373758,clock,positive_boxed,clock@small,0.0,present,yes,1,clock positives
2398137,clock,positive_boxed,clock@small,0.0,present,no,1,clock positives
2342543,clock,positive_boxed,clock@small,0.0,present,yes,1,clock positives
2396590,clock,positive_boxed,clock@medium,0.0,present,no,1,clock positives
2388142,clock,positive_boxed,clock@medium,0.0,present,yes,1,clock positives
2373305,clock,positive_boxed,clock@medium,0.0,present,yes,1,clock positives
2401581,clock,positive_boxed,clock@medium,0.0,present,yes,1,clock positives
2416624,clock,positive_boxed,clock@medium,0.0,present,no,1,clock positives
2356096,clock,positive_boxed,clock@medium,0.0,present,yes,1,clock positives
2389258,clock,positive_boxed,clock@medium,0.0,present,no,1,clock positives
2416801,clock,positive_boxed,clock@medium,0.0,present,no,1,clock positives
2341161,clock,positive_boxed,clock@medium,0.0,present,no,1,clock positives
2381015,clock,positive_boxed,clock@medium,0.0,present,yes,1,clock positives
2352202,clock,positive_boxed,clock@large,0.0,present,yes,1,clock positives
2347904,clock,positive_boxed,clock@large,0.0,present,no,1,clock positives
2399379,clock,positive_boxed,clock@large,0.0,present,no,1,clock positives
2326111,clock,positive_boxed,clock@large,0.0,present,no,1,clock positives
1592665,clock,positive_boxed,clock@large,0.0,present,no,2,clock positives
2410516,clock,positive_boxed,clock@large,0.0,present,no,1,clock positives
2350863,clock,positive_boxed,clock@large,0.0,present,no,1,clock positives
2375002,clock,positive_boxed,clock@large,0.0,present,no,1,clock positives
2326542,clock,positive_boxed,clock@large,0.0,present,yes,1,clock positives
2411188,clock,positive_boxed,clock@large,0.0,present,no,2,clock positives
