image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2377871,dog,positive_boxed,dog@small,0.0,present,yes,1,dog positives
2361492,dog,positive_boxed,dog@small,0.0,present,no,1,dog positives
2334452,dog,positive_boxed,dog@small,0.0,present,yes,1,dog positives
2411671,dog,positive_boxed,dog@small,0.0,present,yes,1,dog positives
2347413,dog,positive_boxed,dog@small,0.0,present,no,1,dog positives
3424,dog,positive_boxed,dog@small,0.0,present,no,2,dog positives
2350986,dog,positive_boxed,dog@small,0.0,present,yes,1,dog positives
2383001,dog,positive_boxed,dog@small,0.0,present,yes,1,dog positives
2370,dog,positive_boxed,dog@small,0.0,present,no,1,dog positives
2394890,dog,positive_boxed,dog@small,0.0,present,no,1,dog positives
2370344,dog,positive_boxed,dog@medium,0.0,present,no,2,dog positives
2406001,dog,positive_boxed,dog@medium,0.0,present,no,1,dog positives
2342285,dog,positive_boxed,dog@medium,0.0,present,no,1,dog positives
2356466,dog,positive_boxed,dog@medium,0.0,present,no,1,dog positives
2353702,dog,positive_boxed,dog@medium,0.0,present,no,1,dog positives
2369771,dog,positive_boxed,dog@medium,0.0,present,yes,1,dog positives
2336558,dog,positive_boxed,dog@medium,0.0,present,yes,1,dog positives
2344297,dog,positive_boxed,dog@medium,0.0,present,yes,1,dog positives
2387140,dog,positive_boxed,dog@medium,0.0,present,yes,1,dog positives
2337403,dog,positive_boxed,dog@medium,0.0,present,no,1,dog positives
2408268,dog,positive_boxed,dog@large,0.0,present,no,1,dog positives
2327968,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
2371528,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
2389092,dog,positive_boxed,dog@large,0.0,present,no,1,dog positives
2350951,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
2368714,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
2352448,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
2327572,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
2336693,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
2370845,dog,positive_boxed,dog@large,0.0,present,yes,1,dog positives
