image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2374800,kite,positive_boxed,kite@small,0.0,present,no,1,kite positives
2352866,kite,positive_boxed,kite@small,0.0,present,no,1,kite positives
2334591,kite,positive_boxed,kite@small,0.0,present,yes,1,kite positives
2328550,kite,positive_boxed,kite@small,0.0,present,no,1,kite positives
2394240,kite,positive_boxed,kite@small,0.0,present,yes,1,kite positives
2334962,kite,positive_boxed,kite@small,0.0,present,no,1,kite positives
2352568,kite,positive_boxed,kite@small,0.0,present,yes,1,kite positives
2403653,kite,positive_boxed,kite@small,0.0,present,yes,1,kite positives
2383505,kite,positive_boxed,kite@small,0.0,present,yes,1,kite positives
2400523,kite,positive_boxed,kite@small,0.0,present,no,1,kite positives
2356673,kite,positive_boxed,kite@medium,0.0,present,yes,1,kite positives
2392879,kite,positive_boxed,kite@medium,0.0,present,yes,1,kite positives
2372831,kite,positive_boxed,kite@medium,0.0,present,no,1,kite positives
2405287,kite,positive_boxed,kite@medium,0.0,present,yes,1,kite positives
2337808,kite,positive_boxed,kite@medium,0.0,present,yes,1,kite positives
2342192,kite,positive_boxed,kite@medium,0.0,present,no,1,kite positives
2372580,kite,positive_boxed,kite@medium,0.0,present,no,1,kite positives
2402758,kite,positive_boxed,kite@medium,0.0,present,yes,1,kite positives
2349237,kite,positive_boxed,kite@medium,0.0,present,yes,1,kite positives
2400657,kite,positive_boxed,kite@medium,0.0,present,no,1,kite positives
2330329,kite,positive_boxed,kite@large,0.0,present,no,1,kite positives
2353059,kite,positive_boxed,kite@large,0.0,present,yes,14,kite positives
713701,kite,positive_boxed,kite@large,0.0,present,no,2,kite positives
2395456,kite,positive_boxed,kite@large,0.0,present,no,1,kite positives
2367287,kite,positive_boxed,kite@large,0.0,present,no,1,kite positives
2400899,kite,positive_boxed,kite@large,0.0,present,no,1,kite positives
2376988,kite,positive_boxed,kite@large,0.0,present,no,1,kite positives
2378225,kite,positive_boxed,kite@large,0.0,present,yes,1,kite positives
2372951,kite,positive_boxed,kite@large,0.0,present,no,3,kite positives
2348707,kite,positive_boxed,kite@large,0.0,present,yes,1,kite positives
