image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
285639,knife,positive_boxed,knife@small,0.0,present,no,1,knife positives
2340216,knife,positive_boxed,knife@small,0.0,present,yes,1,knife positives
713918,knife,positive_boxed,knife@small,0.0,present,yes,1,knife positives
2339975,knife,positive_boxed,knife@small,0.0,present,yes,1,knife positives
2334896,knife,positive_boxed,knife@small,0.0,present,yes,1,knife positives
2384879,knife,positive_boxed,knife@small,0.0,present,no,1,knife positives
2379006,knife,positive_boxed,knife@small,0.0,present,yes,1,knife positives
2316675,knife,positive_boxed,knife@small,0.0,present,yes,1,knife positives
2175,knife,positive_boxed,knife@small,0.0,present,no,1,knife positives
2343166,knife,positive_boxed,knife@small,0.0,present,yes,1,knife positives
2342293,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
2406904,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
2325470,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
3390,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
2382374,knife,positive_boxed,knife@medium,0.0,present,yes,1,knife positives
2380577,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
2405048,knife,positive_boxed,knife@medium,0.0,present,yes,1,knife positives
2394863,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
713776,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
2363028,knife,positive_boxed,knife@medium,0.0,present,no,1,knife positives
2391402,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
2379926,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
2373885,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
2412481,knife,positive_boxed,knife@large,0.0,present,no,1,knife positives
2330761,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
2407849,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
2350329,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
2385740,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
2337198,knife,positive_boxed,knife@large,0.0,present,no,1,knife positives
2320348,knife,positive_boxed,knife@large,0.0,present,yes,1,knife positives
