image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2319030,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2400384,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2350501,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2386025,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2333197,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2325632,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2334776,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2372378,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2356397,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2404195,stop sign,positive_boxed,stop sign@small,0.0,present,yes,1,stop sign positives
2365149,stop sign,positive_boxed,stop sign@medium,0.0,present,no,1,stop sign positives
2359232,stop sign,positive_boxed,stop sign@medium,0.0,present,yes,1,stop sign positives
2324065,stop sign,positive_boxed,stop sign@medium,0.0,present,yes,1,stop sign positives
2373787,stop sign,positive_boxed,stop sign@medium,0.0,present,yes,1,stop sign positives
713645,stop sign,positive_boxed,stop sign@medium,0.0,present,yes,1,stop sign positives
1630,stop sign,positive_boxed,stop sign@medium,0.0,present,no,1,stop sign positives
2334751,stop sign,positive_boxed,stop sign@medium,0.0,present,no,1,stop sign positives
2399800,stop sign,positive_boxed,stop sign@medium,0.0,present,yes,1,stop sign positives
2372973,stop sign,positive_boxed,stop sign@medium,0.0,present,no,2,stop sign positives
2317403,stop sign,positive_boxed,stop sign@medium,0.0,present,no,1,stop sign positives
2364412,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2357167,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2318316,stop sign,positive_boxed,stop sign@large,0.0,present,no,1,stop sign positives
2390207,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2390576,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2348850,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2379939,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2347574,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2328272,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
2332254,stop sign,positive_boxed,stop sign@large,0.0,present,yes,1,stop sign positives
