image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
615,umbrella,positive_boxed,umbrella@small,0.0,present,no,1,umbrella positives
2309,umbrella,positive_boxed,umbrella@small,0.0,present,no,1,umbrella positives
2375908,umbrella,positive_boxed,umbrella@small,0.0,present,no,1,umbrella positives
2336633,umbrella,positive_boxed,umbrella@small,0.0,present,no,1,umbrella positives
2351365,umbrella,positive_boxed,umbrella@small,0.0,present,yes,1,umbrella positives
2374535,umbrella,positive_boxed,umbrella@small,0.0,present,yes,1,umbrella positives
2397014,umbrella,positive_boxed,umbrella@small,0.0,present,no,1,umbrella positives
2323147,umbrella,positive_boxed,umbrella@small,0.0,present,yes,1,umbrella positives
596,umbrella,positive_boxed,umbrella@small,0.0,present,no,1,umbrella positives
2413380,umbrella,positive_boxed,umbrella@small,0.0,present,yes,1,umbrella positives
2325749,umbrella,positive_boxed,umbrella@medium,0.0,present,yes,1,umbrella positives
2372162,umbrella,positive_boxed,umbrella@medium,0.0,present,no,1,umbrella positives
2400082,umbrella,positive_boxed,umbrella@medium,0.0,present,yes,1,umbrella positives
2405271,umbrella,positive_boxed,umbrella@medium,0.0,present,no,1,umbrella positives
2328892,umbrella,positive_boxed,umbrella@medium,0.0,present,no,1,umbrella positives
2341560,umbrella,positive_boxed,umbrella@medium,0.0,present,yes,1,umbrella positives
2336890,umbrella,positive_boxed,umbrella@medium,0.0,present,no,1,umbrella positives
2386803,umbrella,positive_boxed,umbrella@medium,0.0,present,yes,1,umbrella positives
2360394,umbrella,positive_boxed,umbrella@medium,0.0,present,yes,1,umbrella positives
2320452,umbrella,positive_boxed,umbrella@medium,0.0,present,no,1,umbrella positives
2342008,umbrella,positive_boxed,umbrella@large,0.0,present,no,1,umbrella positives
2364852,umbrella,positive_boxed,umbrella@large,0.0,present,no,1,umbrella positives
2338527,umbrella,positive_boxed,umbrella@large,0.0,present,yes,1,umbrella positives
2387641,umbrella,positive_boxed,umbrella@large,0.0,present,no,1,umbrella positives
2378367,umbrella,positive_boxed,umbrella@large,0.0,present,no,1,umbrella positives
2333179,umbrella,positive_boxed,umbrella@large,0.0,present,no,1,umbrella positives
2404246,umbrella,positive_boxed,umbrella@large,0.0,present,yes,1,umbrella positives
2368612,umbrella,positive_boxed,umbrella@large,0.0,present,yes,1,umbrella positives
2373213,umbrella,positive_boxed,umbrella@large,0.0,present,no,1,umbrella positives
2368114,umbrella,positive_boxed,umbrella@large,0.0,present,yes,2,umbrella positives
