image_id,class,stratum,cell,text_score,reference,exhaustive,n_boxes,detector
2372524,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2386526,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2413302,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2321640,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2412576,book,redef,,0.0,absent,no,0,book incl magazines
2340056,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2336960,book,redef,,0.0,absent,no,0,book incl magazines
2387942,book,redef,,0.0,absent,no,0,book incl magazines
2385956,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2417658,book,redef,,0.0,absent,no,0,book incl magazines
2416141,book,redef,,0.0,absent,no,0,book incl magazines
2354324,book,redef_fresh,,0.0,absent,no,0,book incl magazines
1986,book,redef,,0.0,absent,no,0,book incl magazines
2398671,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2392709,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2677,book,redef,,0.0,absent,no,0,book incl magazines
2388336,book,redef,,0.0,absent,no,0,book incl magazines
2322731,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2350085,book,redef,,0.0,absent,no,0,book incl magazines
2326738,book,redef,,0.0,absent,no,0,book incl magazines
2357779,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2330283,book,redef,,0.0,absent,no,0,book incl magazines
2390642,book,redef,,0.0,absent,no,0,book incl magazines
2370407,book,redef_fresh,,0.0,absent,no,0,book incl magazines
3561,book,redef,,0.0,absent,no,0,book incl magazines
2379050,book,redef,,0.0,absent,no,0,book incl magazines
2331516,book,redef,,0.0,absent,no,0,book incl magazines
2807,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2354052,book,redef,,0.0,absent,no,0,book incl magazines
2343784,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2349157,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2398217,book,redef,,0.0,absent,no,0,book incl magazines
2400592,book,redef,,0.0,absent,no,0,book incl magazines
2362023,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2340101,book,redef,,0.0,absent,no,0,book incl magazines
2398959,book,redef,,0.0,absent,no,0,book incl magazines
4494,book,redef,,0.0,absent,no,0,book incl magazines
2330923,book,redef,,0.0,absent,no,0,book incl magazines
2360389,book,redef,,0.0,absent,no,0,book incl magazines
2374893,book,redef,,0.0,absent,no,0,book incl magazines
249,book,redef,,0.0,absent,no,0,book incl magazines
2358000,book,redef,,0.0,absent,no,0,book incl magazines
2325847,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2377105,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2320106,book,redef,,0.0,absent,no,0,book incl magazines
2316453,book,redef,,0.0,absent,no,0,book incl magazines
2398578,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2391817,book,redef,,0.0,absent,no,0,book incl magazines
2359130,book,redef,,0.0,absent,no,0,book incl magazines
2315437,book,redef,,0.0,absent,no,0,book incl magazines
2403589,book,redef_fresh,,0.0,absent,no,0,book incl magazines
2348873,book,redef,,0.0,absent,no,0,book incl magazines
2393752,book,redef,,0.0,absent,no,0,book incl magazines
